event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-5305-0,1784505285181.2563,1784505287738,1784505316166.0,1784505317159.9255,2556.744,28428.0,993.926,1784505256166.0,31978.669
tc-2471-0,1784505285231.324,1784505287738,1784505316179.0,1784505317159.9287,2506.676,28441.0,980.929,1784505256179.0,31928.605
tc-8779-0,1784505285331.335,1784505287738,1784505316179.0,1784505317159.9294,2406.665,28441.0,980.929,1784505256179.0,31828.594
tc-614-0,1784505285531.3208,1784505287738,1784505316180.0,1784505317159.93,2206.679,28442.0,979.93,1784505256180.0,31628.609
tc-1013-0,1784505285931.3167,1784505287738,1784505316180.0,1784505317159.942,1806.683,28442.0,979.942,1784505256180.0,31228.625
tc-3374-0,1784505286731.316,1784505287738,1784505316180.0,1784505317159.9424,1006.684,28442.0,979.942,1784505256180.0,30428.626
tc-2753-0,1784505288381.3142,1784505288733,1784505316180.0,1784505317159.9426,351.686,27447.0,979.943,1784505256180.0,28778.628
tc-6008-0,1784505291631.344,1784505291884,1784505316180.0,1784505317159.9468,252.656,24296.0,979.947,1784505256180.0,25528.603
tc-8434-0,1784505298081.3135,1784505298183,1784505316180.0,1784505317159.9475,101.687,17997.0,979.948,1784505256180.0,19078.634
tc-5183-0,1784505311231.316,1784505311833,1784505316180.0,1784505317159.9482,601.684,4347.0,979.948,1784505256180.0,5928.632
tc-3970-0,1784505311281.3088,1784505311833,1784505316180.0,1784505317159.9485,551.691,4347.0,979.948,1784505256180.0,5878.64
tc-8103-0,1784505298131.318,1784505298183,1784505316180.0,1784505317160.027,51.682,17997.0,980.027,1784505256180.0,19028.709
tc-8622-0,1784505311331.314,1784505311833,1784505316180.0,1784505317160.0288,501.686,4347.0,980.029,1784505256180.0,5828.715
tc-8962-0,1784505311381.3145,1784505311833,1784505316180.0,1784505317160.0298,451.686,4347.0,980.03,1784505256180.0,5778.715
tc-2736-0,1784505291681.3132,1784505291884,1784505316180.0,1784505317160.045,202.687,24296.0,980.045,1784505256180.0,25478.732
tc-5358-0,1784505298181.3176,1784505298183,1784505316180.0,1784505317160.0457,1.682,17997.0,980.046,1784505256180.0,18978.728
tc-479-0,1784505311431.316,1784505311833,1784505316180.0,1784505317160.0466,401.684,4347.0,980.047,1784505256180.0,5728.731
tc-6747-0,1784505311481.3208,1784505311833,1784505316181.0,1784505317160.0479,351.679,4348.0,979.048,1784505256181.0,5678.727
tc-4572-0,1784505298231.3186,1784505299234,1784505316181.0,1784505317160.0603,1002.681,16947.0,979.06,1784505256181.0,18928.742
tc-1070-0,1784505315131.3152,1784505316034,1784505316181.0,1784505317160.0613,902.685,147.0,979.061,1784505256181.0,2028.746
tc-9757-0,1784505315081.3164,1784505316034,1784505316181.0,1784505317160.0967,952.684,147.0,979.097,1784505256181.0,2078.78
tc-61-0,1784505315031.3198,1784505316034,1784505316181.0,1784505317160.0974,1002.68,147.0,979.097,1784505256181.0,2128.778
tc-4515-0,1784505314981.3154,1784505314984,1784505316181.0,1784505317160.1226,2.685,1197.0,979.123,1784505256181.0,2178.807
tc-5185-0,1784505314931.3176,1784505314984,1784505316181.0,1784505317160.1235,52.682,1197.0,979.124,1784505256181.0,2228.806
tc-714-0,1784505314881.3208,1784505314984,1784505316181.0,1784505317160.1792,102.679,1197.0,979.179,1784505256181.0,2278.858
tc-5488-0,1784505314831.3167,1784505314984,1784505316181.0,1784505317160.1804,152.683,1197.0,979.18,1784505256181.0,2328.864
tc-5946-0,1784505314781.326,1784505314984,1784505316181.0,1784505317160.1875,202.674,1197.0,979.188,1784505256181.0,2378.862
tc-9922-0,1784505314731.3064,1784505314984,1784505316181.0,1784505317160.1885,252.694,1197.0,979.188,1784505256181.0,2428.882
tc-1029-0,1784505314681.314,1784505314984,1784505316181.0,1784505317160.2087,302.686,1197.0,979.209,1784505256181.0,2478.895
tc-3193-0,1784505314631.317,1784505314984,1784505316181.0,1784505317160.2095,352.683,1197.0,979.209,1784505256181.0,2528.893
tc-1015-0,1784505314581.318,1784505314984,1784505316181.0,1784505317160.2932,402.682,1197.0,979.293,1784505256181.0,2578.975
tc-7603-0,1784505314531.313,1784505314984,1784505316182.0,1784505317160.2942,452.687,1198.0,978.294,1784505256182.0,2628.981
tc-6153-0,1784505314481.3167,1784505314984,1784505316182.0,1784505317160.2952,502.683,1198.0,978.295,1784505256182.0,2678.979
tc-6631-0,1784505314431.316,1784505314984,1784505316182.0,1784505317160.3025,552.684,1198.0,978.302,1784505256182.0,2728.987
tc-6730-0,1784505314381.3154,1784505314984,1784505316182.0,1784505317160.3293,602.685,1198.0,978.329,1784505256182.0,2779.014
tc-7774-0,1784505314331.2827,1784505314984,1784505316182.0,1784505317160.337,652.717,1198.0,978.337,1784505256182.0,2829.054
tc-5297-0,1784505314281.3123,1784505314984,1784505316183.0,1784505317160.3684,702.688,1199.0,977.368,1784505256183.0,2879.056
tc-7312-0,1784505314231.312,1784505314984,1784505316183.0,1784505317160.3694,752.688,1199.0,977.369,1784505256183.0,2929.057
