event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-88-0,1784540156725.9734,1784540157729,1784540165134.0,1784540166237.3774,1003.027,7405.0,1103.377,1784540105134.0,9511.404
tc-4-0,1784540163575.9758,1784540164028,1784540165150.0,1784540166237.3816,452.024,1122.0,1087.382,1784540105150.0,2661.406
tc-96-0,1784540160075.979,1784540160879,1784540165151.0,1784540166237.3828,803.021,4272.0,1086.383,1784540105151.0,6161.404
tc-70-0,1784540163375.9717,1784540164028,1784540165151.0,1784540166237.384,652.028,1123.0,1086.384,1784540105151.0,2861.412
tc-33-0,1784540161525.9753,1784540161929,1784540165151.0,1784540166237.3855,403.025,3222.0,1086.385,1784540105151.0,4711.41
tc-28-0,1784540164125.9773,1784540165078,1784540165151.0,1784540166237.3938,952.023,73.0,1086.394,1784540105151.0,2111.417
tc-13-0,1784540162975.9797,1784540162978,1784540165151.0,1784540166237.395,2.02,2173.0,1086.395,1784540105151.0,3261.415
tc-5-0,1784540163425.9675,1784540164028,1784540165151.0,1784540166237.4004,602.032,1123.0,1086.4,1784540105151.0,2811.433
tc-32-0,1784540163725.976,1784540164028,1784540165151.0,1784540166237.4016,302.024,1123.0,1086.402,1784540105151.0,2511.426
tc-44-0,1784540158375.9685,1784540158778,1784540165151.0,1784540166237.4028,402.031,6373.0,1086.403,1784540105151.0,7861.434
tc-75-0,1784540162675.9707,1784540162978,1784540165152.0,1784540166237.4033,302.029,2174.0,1085.403,1784540105152.0,3561.433
tc-46-0,1784540162025.979,1784540162978,1784540165152.0,1784540166237.4038,952.021,2174.0,1085.404,1784540105152.0,4211.425
tc-59-0,1784540162875.9744,1784540162978,1784540165152.0,1784540166237.4043,102.026,2174.0,1085.404,1784540105152.0,3361.43
tc-66-0,1784540163075.9744,1784540164028,1784540165152.0,1784540166237.405,952.026,1124.0,1085.405,1784540105152.0,3161.431
tc-25-0,1784540158675.9802,1784540158778,1784540165152.0,1784540166237.419,102.02,6374.0,1085.419,1784540105152.0,7561.439
tc-61-0,1784540160725.9702,1784540160879,1784540165152.0,1784540166237.4197,153.03,4273.0,1085.42,1784540105152.0,5511.449
tc-0-0,1784540162725.983,1784540162978,1784540165152.0,1784540166237.4204,252.017,2174.0,1085.42,1784540105152.0,3511.438
tc-52-0,1784540161725.9902,1784540161929,1784540165152.0,1784540166237.4211,203.01,3223.0,1085.421,1784540105152.0,4511.431
tc-36-0,1784540160425.9849,1784540160879,1784540165152.0,1784540166237.4219,453.015,4273.0,1085.422,1784540105152.0,5811.437
tc-69-0,1784540151325.9724,1784540151429,1784540165152.0,1784540166237.4224,103.028,13723.0,1085.422,1784540105152.0,14911.45
