event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784419582751.3235,1784419583154,1784419597499.0,1784419598057.3672,402.677,14345.0,558.367,1784419537499.0,15306.044
tc-19-0,1784419587251.3245,1784419587353,1784419597511.0,1784419598057.3718,101.676,10158.0,546.372,1784419537511.0,10806.047
tc-9-0,1784419588151.3533,1784419588403,1784419597512.0,1784419598057.3745,251.647,9109.0,545.375,1784419537512.0,9906.021
tc-64-0,1784419585201.349,1784419585254,1784419597512.0,1784419598057.376,52.651,12258.0,545.376,1784419537512.0,12856.027
tc-80-0,1784419582001.3157,1784419582104,1784419597512.0,1784419598057.3772,102.684,15408.0,545.377,1784419537512.0,16056.062
tc-59-0,1784419587101.3396,1784419587353,1784419597512.0,1784419598057.3997,251.66,10159.0,545.4,1784419537512.0,10956.06
tc-45-0,1784419577001.347,1784419577904,1784419597512.0,1784419598057.401,902.653,19608.0,545.401,1784419537512.0,21056.054
tc-48-0,1784419586051.3354,1784419586303,1784419597512.0,1784419598057.4082,251.665,11209.0,545.408,1784419537512.0,12006.073
tc-58-0,1784419587551.3274,1784419588403,1784419597512.0,1784419598057.4097,851.673,9109.0,545.41,1784419537512.0,10506.082
tc-29-0,1784419578901.3362,1784419578954,1784419597513.0,1784419598057.4111,52.664,18559.0,544.411,1784419537513.0,19156.075
tc-84-0,1784419583501.3154,1784419584204,1784419597513.0,1784419598057.4119,702.685,13309.0,544.412,1784419537513.0,14556.096
tc-74-0,1784419588251.3647,1784419588403,1784419597513.0,1784419598057.4128,151.635,9110.0,544.413,1784419537513.0,9806.048
tc-38-0,1784419588501.3728,1784419589453,1784419597513.0,1784419598057.4207,951.627,8060.0,544.421,1784419537513.0,9556.048
tc-1-0,1784419588451.3613,1784419589453,1784419597513.0,1784419598057.4216,1001.639,8060.0,544.422,1784419537513.0,9606.06
tc-75-0,1784419586901.3135,1784419587353,1784419597513.0,1784419598057.4224,451.687,10160.0,544.422,1784419537513.0,11156.109
tc-23-0,1784419569701.3237,1784419570553,1784419597513.0,1784419598057.423,851.676,26960.0,544.423,1784419537513.0,28356.099
tc-33-0,1784419585751.3162,1784419586303,1784419597513.0,1784419598057.424,551.684,11210.0,544.424,1784419537513.0,12306.108
tc-0-0,1784419586951.3418,1784419587353,1784419597513.0,1784419598057.4297,401.658,10160.0,544.43,1784419537513.0,11106.088
tc-4-0,1784419587801.3179,1784419588403,1784419597513.0,1784419598057.4304,601.682,9110.0,544.43,1784419537513.0,10256.113
tc-6-0,1784419584451.341,1784419585254,1784419597513.0,1784419598057.4478,802.659,12259.0,544.448,1784419537513.0,13606.107
tc-10-0,1784419584151.325,1784419584204,1784419597514.0,1784419598057.4543,52.675,13310.0,543.454,1784419537514.0,13906.129
tc-47-0,1784419583801.3262,1784419584204,1784419597514.0,1784419598057.4553,402.674,13310.0,543.455,1784419537514.0,14256.129
