event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784574310929.0283,1784574311181,1784574317571.0,1784574317882.567,251.972,6390.0,311.567,1784574257571.0,6953.539
tc-19-0,1784574315429.0466,1784574316432,1784574317586.0,1784574317882.57,1002.953,1154.0,296.57,1784574257586.0,2453.523
tc-9-0,1784574316329.045,1784574316432,1784574317587.0,1784574317882.5715,102.955,1155.0,295.572,1784574257587.0,1553.527
tc-64-0,1784574313379.0464,1784574314332,1784574317587.0,1784574317882.5723,952.954,3255.0,295.572,1784574257587.0,4503.526
tc-80-0,1784574310179.045,1784574311181,1784574317587.0,1784574317882.5732,1001.955,6406.0,295.573,1784574257587.0,7703.528
tc-59-0,1784574315279.0408,1784574315382,1784574317587.0,1784574317882.574,102.959,2205.0,295.574,1784574257587.0,2603.533
tc-45-0,1784574305179.0415,1784574305931,1784574317587.0,1784574317882.5747,751.958,11656.0,295.575,1784574257587.0,12703.533
tc-48-0,1784574314229.0376,1784574314332,1784574317587.0,1784574317882.5789,102.962,3255.0,295.579,1784574257587.0,3653.541
tc-58-0,1784574315729.0352,1784574316432,1784574317588.0,1784574317882.5798,702.965,1156.0,294.58,1784574257588.0,2153.545
tc-29-0,1784574307079.0432,1784574308032,1784574317588.0,1784574317882.5806,952.957,9556.0,294.581,1784574257588.0,10803.537
tc-84-0,1784574311679.0422,1784574312232,1784574317588.0,1784574317882.586,552.958,5356.0,294.586,1784574257588.0,6203.544
tc-74-0,1784574316429.0522,1784574316432,1784574317589.0,1784574317882.5864,2.948,1157.0,293.586,1784574257589.0,1453.534
tc-38-0,1784574316679.0435,1784574317481,1784574317589.0,1784574317882.587,801.957,108.0,293.587,1784574257589.0,1203.543
tc-1-0,1784574316629.052,1784574317481,1784574317589.0,1784574317882.5872,851.948,108.0,293.587,1784574257589.0,1253.535
tc-75-0,1784574315079.041,1784574315382,1784574317589.0,1784574317882.5876,302.959,2207.0,293.588,1784574257589.0,2803.547
tc-23-0,1784574297879.0332,1784574298582,1784574317589.0,1784574317882.6074,702.967,19007.0,293.607,1784574257589.0,20003.574
tc-33-0,1784574313929.0425,1784574314332,1784574317589.0,1784574317882.6086,402.958,3257.0,293.609,1784574257589.0,3953.566
tc-52-0,1784574314129.0422,1784574314332,1784574317589.0,1784574317882.6091,202.958,3257.0,293.609,1784574257589.0,3753.567
tc-36-0,1784574312829.0452,1784574313281,1784574317590.0,1784574317882.6096,451.955,4309.0,292.61,1784574257590.0,5053.564
tc-60-0,1784574315029.0466,1784574315382,1784574317590.0,1784574317882.6099,352.953,2208.0,292.61,1784574257590.0,2853.563
tc-56-0,1784574300829.0457,1784574301732,1784574317590.0,1784574317882.6104,902.954,15858.0,292.61,1784574257590.0,17053.565
tc-37-0,1784574309629.0415,1784574310131,1784574317590.0,1784574317882.6108,501.958,7459.0,292.611,1784574257590.0,8253.569
tc-32-0,1784574316129.0435,1784574316432,1784574317590.0,1784574317882.611,302.957,1158.0,292.611,1784574257590.0,1753.568
tc-27-0,1784574314579.0469,1784574315382,1784574317590.0,1784574317882.6116,802.953,2208.0,292.612,1784574257590.0,3303.565
tc-22-0,1784574303129.0364,1784574303832,1784574317590.0,1784574317882.6123,702.964,13758.0,292.612,1784574257590.0,14753.576
tc-49-0,1784574316479.0562,1784574317481,1784574317590.0,1784574317882.6128,1001.944,109.0,292.613,1784574257590.0,1403.557
tc-78-0,1784574308529.0557,1784574309081,1784574317590.0,1784574317882.613,551.944,8509.0,292.613,1784574257590.0,9353.557
tc-25-0,1784574311079.0388,1784574311181,1784574317590.0,1784574317882.622,101.961,6409.0,292.622,1784574257590.0,6803.583
tc-92-0,1784574315579.0479,1784574316432,1784574317590.0,1784574317882.6226,852.952,1158.0,292.623,1784574257590.0,2303.575
