event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784168102545.3257,1784168104944,1784168104962.0,1784168106082.7605,2398.674,18.0,1120.76,3537.435
e-1,1784168102593.9724,1784168104944,1784168104977.0,1784168106082.7651,2350.028,33.0,1105.765,3488.793
e-2,1784168102643.9485,1784168104944,1784168104977.0,1784168106082.767,2300.052,33.0,1105.767,3438.819
e-3,1784168102693.9539,1784168104944,1784168104977.0,1784168106082.7683,2250.046,33.0,1105.768,3388.814
e-4,1784168102744.4104,1784168104944,1784168104977.0,1784168106082.801,2199.59,33.0,1105.801,3338.391
e-5,1784168102793.9746,1784168104944,1784168104978.0,1784168106082.8027,2150.025,34.0,1104.803,3288.828
e-6,1784168102843.9824,1784168104944,1784168104978.0,1784168106082.8037,2100.018,34.0,1104.804,3238.821
e-7,1784168102894.1514,1784168104944,1784168104979.0,1784168106082.8088,2049.849,35.0,1103.809,3188.657
e-8,1784168102943.948,1784168104944,1784168104979.0,1784168106082.8105,2000.052,35.0,1103.811,3138.863
e-9,1784168102993.9695,1784168104944,1784168104979.0,1784168106082.8118,1950.031,35.0,1103.812,3088.842
e-10,1784168103043.9648,1784168104944,1784168104979.0,1784168106082.8125,1900.035,35.0,1103.812,3038.848
e-11,1784168103093.9907,1784168104944,1784168104979.0,1784168106082.8135,1850.009,35.0,1103.813,2988.823
e-12,1784168103143.976,1784168104944,1784168104979.0,1784168106082.814,1800.024,35.0,1103.814,2938.838
e-13,1784168103193.9868,1784168104944,1784168104979.0,1784168106082.8147,1750.013,35.0,1103.815,2888.828
e-14,1784168103243.9663,1784168104944,1784168104980.0,1784168106082.8157,1700.034,36.0,1102.816,2838.849
e-15,1784168103293.9602,1784168104944,1784168104980.0,1784168106082.8208,1650.04,36.0,1102.821,2788.861
e-16,1784168103343.9556,1784168104944,1784168104980.0,1784168106082.8286,1600.044,36.0,1102.829,2738.873
e-17,1784168103393.9592,1784168104944,1784168104980.0,1784168106082.8296,1550.041,36.0,1102.83,2688.87
e-18,1784168103443.9539,1784168104944,1784168104980.0,1784168106082.8362,1500.046,36.0,1102.836,2638.882
e-19,1784168103493.941,1784168104944,1784168104980.0,1784168106082.837,1450.059,36.0,1102.837,2588.896
e-20,1784168103543.9636,1784168104944,1784168104980.0,1784168106082.8376,1400.036,36.0,1102.838,2538.874
e-21,1784168103593.954,1784168104944,1784168104981.0,1784168106082.8867,1350.046,37.0,1101.887,2488.933
e-22,1784168103643.94,1784168104944,1784168104981.0,1784168106082.8875,1300.06,37.0,1101.887,2438.948
e-23,1784168103693.9387,1784168104944,1784168104981.0,1784168106082.8882,1250.061,37.0,1101.888,2388.949
e-24,1784168103743.9534,1784168104944,1784168104981.0,1784168106082.889,1200.047,37.0,1101.889,2338.936
e-25,1784168103793.9585,1784168104944,1784168104981.0,1784168106082.9268,1150.042,37.0,1101.927,2288.968
e-26,1784168103843.9583,1784168104944,1784168104981.0,1784168106082.9275,1100.042,37.0,1101.927,2238.969
e-27,1784168103893.9587,1784168104944,1784168104981.0,1784168106082.9282,1050.041,37.0,1101.928,2188.969
e-28,1784168103943.9702,1784168104944,1784168104982.0,1784168106082.9287,1000.03,38.0,1100.929,2138.958
e-29,1784168103993.9749,1784168104944,1784168104982.0,1784168106082.935,950.025,38.0,1100.935,2088.96
e-30,1784168104043.974,1784168104944,1784168104982.0,1784168106082.9407,900.026,38.0,1100.941,2038.967
e-31,1784168104093.997,1784168104944,1784168104982.0,1784168106083.047,850.003,38.0,1101.047,1989.05
e-32,1784168104143.934,1784168104944,1784168104982.0,1784168106083.0488,800.066,38.0,1101.049,1939.115
e-33,1784168104193.9321,1784168104944,1784168104982.0,1784168106083.0505,750.068,38.0,1101.051,1889.118
e-34,1784168104243.931,1784168104944,1784168104982.0,1784168106083.065,700.069,38.0,1101.065,1839.134
e-35,1784168104293.93,1784168104944,1784168104983.0,1784168106083.0657,650.07,39.0,1100.066,1789.136
e-36,1784168104343.9246,1784168104944,1784168104983.0,1784168106083.0818,600.075,39.0,1100.082,1739.157
e-37,1784168104393.925,1784168104944,1784168104983.0,1784168106083.0828,550.075,39.0,1100.083,1689.158
e-38,1784168104443.931,1784168104944,1784168104983.0,1784168106083.0913,500.069,39.0,1100.091,1639.16
e-39,1784168104493.924,1784168104944,1784168104983.0,1784168106083.0918,450.076,39.0,1100.092,1589.168
e-40,1784168104543.9385,1784168104944,1784168104983.0,1784168106083.103,400.062,39.0,1100.103,1539.165
e-41,1784168104593.9407,1784168104944,1784168104984.0,1784168106083.1396,350.059,40.0,1099.14,1489.199
e-42,1784168104643.931,1784168104944,1784168104984.0,1784168106083.1409,300.069,40.0,1099.141,1439.21
e-43,1784168104693.948,1784168104944,1784168104984.0,1784168106083.1785,250.052,40.0,1099.178,1389.23
e-44,1784168104743.9543,1784168104944,1784168104984.0,1784168106083.1797,200.046,40.0,1099.18,1339.225
e-45,1784168104793.9377,1784168104944,1784168104984.0,1784168106083.1804,150.062,40.0,1099.18,1289.243
e-46,1784168104843.9548,1784168104944,1784168104984.0,1784168106083.1814,100.045,40.0,1099.181,1239.227
e-47,1784168104893.9512,1784168104944,1784168104984.0,1784168106083.1885,50.049,40.0,1099.188,1189.237
e-48,1784168104943.95,1784168105946,1784168106026.0,1784168106912.9453,1002.05,80.0,886.945,1968.995
e-49,1784168104993.9705,1784168105946,1784168106028.0,1784168106912.952,952.03,82.0,884.952,1918.981
e-50,1784168105043.9458,1784168105946,1784168106028.0,1784168106912.953,902.054,82.0,884.953,1869.007
e-51,1784168105093.9453,1784168105946,1784168106028.0,1784168106912.9534,852.055,82.0,884.953,1819.008
e-52,1784168105143.986,1784168105946,1784168106029.0,1784168106912.9536,802.014,83.0,883.954,1768.968
e-53,1784168105193.9658,1784168105946,1784168106029.0,1784168106912.9553,752.034,83.0,883.955,1718.99
e-54,1784168105243.9692,1784168105946,1784168106029.0,1784168106912.9558,702.031,83.0,883.956,1668.987
e-55,1784168105293.9536,1784168105946,1784168106029.0,1784168106912.9563,652.046,83.0,883.956,1619.003
e-56,1784168105343.9243,1784168105946,1784168106045.0,1784168106912.9568,602.076,99.0,867.957,1569.032
e-57,1784168105393.941,1784168105946,1784168106045.0,1784168106912.973,552.059,99.0,867.973,1519.032
e-58,1784168105443.94,1784168105946,1784168106045.0,1784168106912.986,502.06,99.0,867.986,1469.046
