event_id,send_time_ns,receive_time_ns,latency_ms
fm-e-0,848169926083495,848173213339278,3287.256
fm-e-1,848169950149676,848173213342918,3263.193
fm-e-3,848170000183773,848173213344198,3213.16
fm-e-4,848170025383537,848173213345288,3187.962
fm-e-5,848170050192030,848173213346828,3163.155
fm-e-8,848170125169950,848173213348088,3088.178
fm-e-9,848170150160473,848173213349178,3063.189
fm-e-10,848170175152907,848173213355068,3038.202
fm-e-11,848170200178470,848173213375858,3013.197
fm-e-12,848170225158004,848173213377298,2988.219
fm-e-13,848170250192197,848173213378138,2963.186
fm-e-15,848170300175694,848173213378888,2913.203
fm-e-16,848170325193277,848173213379588,2888.186
fm-e-17,848170350181141,848173213380228,2863.199
fm-e-21,848170450181764,848173213386798,2763.205
fm-e-23,848170500167861,848173213394638,2713.227
fm-e-28,848170625187498,848173213424198,2588.237
fm-e-30,848170675159615,848173213465509,2538.306
fm-e-31,848170700172689,848173213466509,2513.294
fm-e-33,848170750173915,848173213506719,2463.333
fm-e-34,848170775173859,848173213507229,2438.333
fm-e-38,848170875167053,848173213512969,2338.346
fm-e-39,848170900163116,848173213516229,2313.353
fm-e-42,848170975160416,848173213516609,2238.356
fm-e-44,848171025148753,848173213536029,2188.387
fm-e-45,848171050169177,848173213539779,2163.371
fm-e-46,848171075152180,848173213559199,2138.407
fm-e-47,848171100168304,848173213585169,2113.417
fm-e-48,848171125137887,848173213588379,2088.45
fm-e-49,848171150192461,848173213623479,2063.431
fm-e-50,848171175193894,848173213682319,2038.488
fm-e-56,848171325151025,848173213683719,1888.533
fm-e-57,848171350141918,848173213684539,1863.543
fm-e-58,848171375136101,848173213707419,1838.571
fm-e-59,848171400147345,848173213708319,1813.561
fm-e-60,848171425148738,848173213719049,1788.57
fm-e-61,848171450131422,848173213773959,1763.643
fm-e-64,848171525146022,848173213774719,1688.629
fm-e-65,848171550140526,848173213775429,1663.635
fm-e-66,848171575144199,848173213816929,1638.673
fm-e-67,848171600141962,848173213817849,1613.676
fm-e-77,848171850146207,848173213849590,1363.703
fm-e-78,848171875135040,848173213850130,1338.715
fm-e-80,848171925131947,848173213860370,1288.728
fm-e-81,848171950140950,848173213873770,1263.733
fm-e-83,848172000154677,848173213934290,1213.78
fm-e-84,848172025156291,848173213944700,1188.788
fm-e-85,848172050159044,848173213950850,1163.792
fm-e-86,848172075148248,848173213951660,1138.803
fm-e-90,848172175140272,848173213986250,1038.846
fm-e-91,848172200137685,848173213986870,1013.849
fm-e-92,848172225130619,848173214044900,988.914
fm-e-94,848172275169826,848173214049270,938.879
fm-e-95,848172300184819,848173214049960,913.865
fm-e-96,848172325209282,848173214096790,888.888
fm-e-97,848172350191946,848173214097170,863.905
