event_id,send_time_ns,receive_time_ns,latency_ms
fm-e-0,848216851851936,848219612926964,2761.075
fm-e-1,848216901005612,848219612929694,2711.924
fm-e-3,848217001120321,848219612930614,2611.81
fm-e-4,848217050982810,848219612931654,2561.949
fm-e-5,848217100993549,848219612932314,2511.939
fm-e-8,848217250995966,848219612933194,2361.937
fm-e-9,848217300997505,848219612933944,2311.936
fm-e-10,848217350997834,848219612954504,2261.957
fm-e-11,848217401045853,848219612955454,2211.91
fm-e-12,848217451088212,848219612956404,2161.868
fm-e-13,848217501028251,848219613065674,2112.037
fm-e-15,848217600981209,848219613067814,2012.087
fm-e-16,848217650988878,848219613068714,1962.08
fm-e-17,848217700992427,848219613069454,1912.077
fm-e-21,848217901030774,848219613070184,1712.039
fm-e-23,848218000999242,848219613070874,1612.072
fm-e-28,848218250995787,848219613071564,1362.076
fm-e-30,848218351013385,848219613072634,1262.059
fm-e-31,848218400980924,848219613073394,1212.092
fm-e-33,848218500977702,848219613074094,1112.096
fm-e-34,848218550970172,848219613074824,1062.105
fm-e-38,848218751042138,848219613108954,862.067
fm-e-39,848218800971477,848219613109804,812.138
fm-e-42,848218950982344,848219613110584,662.128
fm-e-44,848219050979533,848219613111494,562.132
fm-e-45,848219100977992,848219613121814,512.144
fm-e-46,848219150983511,848219613122474,462.139
fm-e-47,848219201030870,848220454841699,1253.811
fm-e-48,848219251017169,848220454844949,1203.828
fm-e-49,848219300993708,848220454846209,1153.853
fm-e-50,848219350979837,848220454846879,1103.867
fm-e-56,848219650967302,848220454847589,803.88
fm-e-57,848219700970431,848220454848339,753.878
fm-e-58,848219750972221,848220454850279,703.878
fm-e-59,848219801040940,848220454851039,653.81
fm-e-60,848219851026639,848220454851649,603.825
fm-e-61,848219901042838,848220454852379,553.81
fm-e-64,848220050972086,848220454853019,403.881
fm-e-65,848220100985625,848220454853619,353.868
fm-e-66,848220150973094,848220454854199,303.881
fm-e-67,848220200983673,848220454854799,253.871
fm-e-77,848220700976915,848221454193941,753.217
fm-e-78,848220750978144,848221454196981,703.219
fm-e-80,848220850962013,848221454198271,603.236
fm-e-81,848220900959712,848221454199071,553.239
fm-e-83,848221001043101,848221454212652,453.17
fm-e-84,848221051013070,848221454213582,403.201
fm-e-85,848221100996769,848221454214502,353.218
fm-e-86,848221150998878,848221454215412,303.217
fm-e-90,848221350966095,848222451806260,1100.84
fm-e-91,848221400960374,848222451808670,1050.848
fm-e-92,848221451039643,848222451809170,1000.77
fm-e-94,848221550961102,848222451809860,900.849
fm-e-95,848221600968921,848222451811580,850.843
fm-e-96,848221650990750,848222451812100,800.821
fm-e-97,848221700987629,848222451812750,750.825
