event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
tc-41-0,1784307660993.3196,1784307661765,1784307662948.0,1784307663397.6123,771.68,1183.0,449.612,2404.293
tc-19-0,1784307661893.3108,1784307662776,1784307662962.0,1784307663397.6147,882.689,186.0,435.615,1504.304
tc-9-0,1784307662073.3254,1784307662776,1784307662962.0,1784307663397.6157,702.675,186.0,435.616,1324.29
tc-64-0,1784307661483.2903,1784307661765,1784307662962.0,1784307663397.625,281.71,1197.0,435.625,1914.335
tc-80-0,1784307660843.3142,1784307661765,1784307662962.0,1784307663397.6255,921.686,1197.0,435.625,2554.311
tc-59-0,1784307661863.2915,1784307662776,1784307662962.0,1784307663397.626,912.708,186.0,435.626,1534.334
tc-45-0,1784307659843.2837,1784307660756,1784307662962.0,1784307663397.6267,912.716,2206.0,435.627,3554.343
tc-48-0,1784307661653.2944,1784307661765,1784307662963.0,1784307663397.6323,111.706,1198.0,434.632,1744.338
tc-58-0,1784307661953.2927,1784307662776,1784307662963.0,1784307663397.633,822.707,187.0,434.633,1444.34
tc-29-0,1784307660223.3264,1784307660756,1784307662963.0,1784307663397.7573,532.674,2207.0,434.757,3174.431
tc-84-0,1784307661143.2878,1784307661765,1784307662963.0,1784307663397.7593,621.712,1198.0,434.759,2254.471
tc-74-0,1784307662093.297,1784307662776,1784307662963.0,1784307663397.7603,682.703,187.0,434.76,1304.463
tc-38-0,1784307662143.305,1784307662776,1784307662963.0,1784307663397.7686,632.695,187.0,434.769,1254.464
tc-1-0,1784307662133.3018,1784307662776,1784307662964.0,1784307663397.769,642.698,188.0,433.769,1264.467
tc-75-0,1784307661823.3062,1784307662776,1784307662964.0,1784307663397.77,952.694,188.0,433.77,1574.464
tc-23-0,1784307658383.3066,1784307658756,1784307662964.0,1784307663397.7705,372.693,4208.0,433.771,5014.464
tc-33-0,1784307661593.3025,1784307661765,1784307662964.0,1784307663397.8367,171.698,1199.0,433.837,1804.534
tc-0-0,1784307661833.3174,1784307662776,1784307662964.0,1784307663397.8389,942.683,188.0,433.839,1564.521
tc-4-0,1784307662003.3174,1784307662776,1784307662964.0,1784307663397.84,772.683,188.0,433.84,1394.523
tc-6-0,1784307661333.297,1784307661765,1784307662964.0,1784307663397.8408,431.703,1199.0,433.841,2064.544
tc-10-0,1784307661273.3252,1784307661765,1784307662964.0,1784307663397.8584,491.675,1199.0,433.858,2124.533
tc-47-0,1784307661203.3103,1784307661765,1784307662965.0,1784307663397.864,561.69,1200.0,432.864,2194.554
tc-65-0,1784307661183.2878,1784307661765,1784307662965.0,1784307663397.8647,581.712,1200.0,432.865,2214.577
tc-43-0,1784307661663.2966,1784307661765,1784307662965.0,1784307663397.8655,101.703,1200.0,432.865,1734.569
tc-86-0,1784307660643.3267,1784307660756,1784307662965.0,1784307663397.9006,112.673,2209.0,432.901,2754.574
tc-61-0,1784307661433.3135,1784307661765,1784307662965.0,1784307663397.9016,331.687,1200.0,432.902,1964.588
tc-71-0,1784307658673.3257,1784307658756,1784307662965.0,1784307663397.902,82.674,4209.0,432.902,4724.576
tc-57-0,1784307661873.2932,1784307662776,1784307662965.0,1784307663397.967,902.707,189.0,432.967,1524.674
tc-26-0,1784307661263.305,1784307661765,1784307662965.0,1784307663397.9763,501.695,1200.0,432.976,2134.671
tc-20-0,1784307659773.2932,1784307660756,1784307662965.0,1784307663398.0105,982.707,2209.0,433.01,3624.717
tc-77-0,1784307660833.3252,1784307661765,1784307662965.0,1784307663398.0112,931.675,1200.0,433.011,2564.686
tc-3-0,1784307661223.308,1784307661765,1784307662966.0,1784307663398.012,541.692,1201.0,432.012,2174.704
tc-81-0,1784307662043.3096,1784307662776,1784307662966.0,1784307663398.0222,732.69,190.0,432.022,1354.713
tc-68-0,1784307660363.316,1784307660756,1784307662966.0,1784307663398.0232,392.684,2210.0,432.023,3034.707
tc-55-0,1784307657013.3403,1784307658756,1784307662966.0,1784307663398.0796,1742.66,4210.0,432.08,6384.739
tc-17-0,1784307661533.326,1784307661765,1784307662966.0,1784307663398.0808,231.674,1201.0,432.081,1864.755
tc-15-0,1784307661453.3079,1784307661765,1784307662966.0,1784307663398.0862,311.692,1201.0,432.086,1944.778
tc-44-0,1784307660963.3499,1784307661765,1784307662966.0,1784307663398.0867,801.65,1201.0,432.087,2434.737
tc-18-0,1784307660953.3467,1784307661765,1784307662966.0,1784307663398.1653,811.653,1201.0,432.165,2444.819
tc-96-0,1784307661303.3,1784307661765,1784307662966.0,1784307663398.167,461.7,1201.0,432.167,2094.867
tc-95-0,1784307660563.335,1784307660756,1784307662966.0,1784307663398.2,192.665,2210.0,432.2,2834.865
tc-94-0,1784307661393.3157,1784307661765,1784307662966.0,1784307663398.2017,371.684,1201.0,432.202,2004.886
tc-53-0,1784307661363.305,1784307661765,1784307662967.0,1784307663398.2068,401.695,1202.0,431.207,2034.902
tc-62-0,1784307660923.3123,1784307661765,1784307662967.0,1784307663398.2073,841.688,1202.0,431.207,2474.895
tc-66-0,1784307661903.2957,1784307662776,1784307662967.0,1784307663398.2783,872.704,191.0,431.278,1494.983
tc-67-0,1784307662083.2976,1784307662776,1784307662967.0,1784307663398.279,692.702,191.0,431.279,1314.981
tc-5-0,1784307661973.288,1784307662776,1784307662967.0,1784307663398.282,802.712,191.0,431.282,1424.994
tc-52-0,1784307661633.3093,1784307661765,1784307662967.0,1784307663398.2822,131.691,1202.0,431.282,1764.973
tc-36-0,1784307661373.3086,1784307661765,1784307662967.0,1784307663398.3198,391.691,1202.0,431.32,2025.011
tc-60-0,1784307661813.3015,1784307662776,1784307662967.0,1784307663398.3203,962.698,191.0,431.32,1585.019
tc-56-0,1784307658973.303,1784307659748,1784307662967.0,1784307663398.3206,774.697,3219.0,431.321,4425.018
tc-37-0,1784307660733.327,1784307660756,1784307662967.0,1784307663398.376,22.673,2211.0,431.376,2665.049
tc-32-0,1784307662033.3247,1784307662776,1784307662967.0,1784307663398.377,742.675,191.0,431.377,1365.052
tc-27-0,1784307661723.3306,1784307661765,1784307662968.0,1784307663398.3777,41.669,1203.0,430.378,1675.047
tc-22-0,1784307659433.2957,1784307659748,1784307662968.0,1784307663398.4011,314.704,3220.0,430.401,3965.105
tc-49-0,1784307662103.3098,1784307662776,1784307662968.0,1784307663398.4016,672.69,192.0,430.402,1295.092
tc-78-0,1784307660513.313,1784307660756,1784307662968.0,1784307663398.4094,242.687,2212.0,430.409,2885.096
tc-25-0,1784307661023.3022,1784307661765,1784307662968.0,1784307663398.472,741.698,1203.0,430.472,2375.17
tc-92-0,1784307661923.291,1784307662776,1784307662968.0,1784307663398.4724,852.709,192.0,430.472,1475.181
tc-30-0,1784307661583.2932,1784307661765,1784307662968.0,1784307663398.473,181.707,1203.0,430.473,1815.18
tc-82-0,1784307661933.324,1784307662776,1784307662968.0,1784307663398.4883,842.676,192.0,430.488,1465.164
tc-42-0,1784307661513.3271,1784307661765,1784307662968.0,1784307663398.4888,251.673,1203.0,430.489,1885.162
tc-8-0,1784307661063.323,1784307661765,1784307662968.0,1784307663398.5515,701.677,1203.0,430.552,2335.229
tc-69-0,1784307659553.3076,1784307659748,1784307662968.0,1784307663398.6492,194.692,3220.0,430.649,3845.342
tc-85-0,1784307661443.3237,1784307661765,1784307662968.0,1784307663398.6506,321.676,1203.0,430.651,1955.327
tc-97-0,1784307661943.3044,1784307662776,1784307662969.0,1784307663398.659,832.696,193.0,429.659,1455.354
tc-73-0,1784307656833.3274,1784307658756,1784307662969.0,1784307663398.7683,1922.673,4213.0,429.768,6565.441
tc-40-0,1784307660973.3418,1784307661765,1784307662969.0,1784307663398.7703,791.658,1204.0,429.77,2425.428
tc-88-0,1784307660633.337,1784307660756,1784307662969.0,1784307663398.7712,122.663,2213.0,429.771,2765.434
