timestamp_ms,topic,lag
1784623015786,bench-w3-latency-input,807
1784623022815,bench-w3-latency-input,505
1784623029831,bench-w3-latency-input,202
1784623036895,bench-w3-latency-input,909
1784623043864,bench-w3-latency-input,606
1784623050782,bench-w3-latency-input,303
1784623057643,bench-w3-latency-input,1010
1784623064512,bench-w3-latency-input,707
1784623071418,bench-w3-latency-input,716
1784623078236,bench-w3-latency-input,0
1784623085088,bench-w3-latency-input,0
1784623092014,bench-w3-latency-input,0
1784623098897,bench-w3-latency-input,0
1784623105782,bench-w3-latency-input,0
1784623112673,bench-w3-latency-input,0
1784623119536,bench-w3-latency-input,0
1784623126459,bench-w3-latency-input,0
1784623133286,bench-w3-latency-input,0
1784623140166,bench-w3-latency-input,0
1784623147033,bench-w3-latency-input,0
1784623153874,bench-w3-latency-input,0
1784623160727,bench-w3-latency-input,0
1784623167650,bench-w3-latency-input,0
1784623174509,bench-w3-latency-input,0
1784623181362,bench-w3-latency-input,0
1784623188223,bench-w3-latency-input,0
1784623195107,bench-w3-latency-input,0
1784623201941,bench-w3-latency-input,0
1784623208800,bench-w3-latency-input,0
1784623215670,bench-w3-latency-input,0
