event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-41-0,1784622510241.2483,1784622510813,1784622512033.0,1784622512742.1218,571.752,1220.0,709.122,1784622452033.0,2500.874
tc-19-0,1784622511141.2341,1784622511823,1784622512048.0,1784622512742.1245,681.766,225.0,694.125,1784622452048.0,1600.89
tc-9-0,1784622511321.2441,1784622511823,1784622512049.0,1784622512742.1255,501.756,226.0,693.125,1784622452049.0,1420.881
tc-64-0,1784622510731.2407,1784622510813,1784622512049.0,1784622512743.7205,81.759,1236.0,694.72,1784622452049.0,2012.48
tc-80-0,1784622510091.2458,1784622510813,1784622512049.0,1784622512743.7231,721.754,1236.0,694.723,1784622452049.0,2652.477
tc-59-0,1784622511111.2314,1784622511823,1784622512049.0,1784622512743.7378,711.769,226.0,694.738,1784622452049.0,1632.506
tc-45-0,1784622509091.2412,1784622509803,1784622512049.0,1784622512743.7393,711.759,2246.0,694.739,1784622452049.0,3652.498
tc-48-0,1784622510901.2388,1784622511823,1784622512049.0,1784622512743.7441,921.761,226.0,694.744,1784622452049.0,1842.505
tc-58-0,1784622511201.251,1784622511823,1784622512050.0,1784622512743.745,621.749,227.0,693.745,1784622452050.0,1542.494
tc-29-0,1784622509471.2415,1784622509803,1784622512050.0,1784622512743.7463,331.759,2247.0,693.746,1784622452050.0,3272.505
tc-84-0,1784622510391.2383,1784622510813,1784622512050.0,1784622512743.747,421.762,1237.0,693.747,1784622452050.0,2352.509
tc-74-0,1784622511341.2458,1784622511823,1784622512051.0,1784622512743.7473,481.754,228.0,692.747,1784622452051.0,1402.501
tc-38-0,1784622511391.252,1784622511823,1784622512051.0,1784622512743.7478,431.748,228.0,692.748,1784622452051.0,1352.496
tc-1-0,1784622511381.2324,1784622511823,1784622512051.0,1784622512743.7483,441.768,228.0,692.748,1784622452051.0,1362.516
tc-75-0,1784622511071.237,1784622511823,1784622512051.0,1784622512743.7485,751.763,228.0,692.749,1784622452051.0,1672.511
tc-23-0,1784622507631.2485,1784622507804,1784622512051.0,1784622512743.7488,172.751,4247.0,692.749,1784622452051.0,5112.5
tc-33-0,1784622510841.2542,1784622511823,1784622512051.0,1784622512743.7495,981.746,228.0,692.75,1784622452051.0,1902.495
tc-0-0,1784622511081.2314,1784622511823,1784622512051.0,1784622512743.75,741.769,228.0,692.75,1784622452051.0,1662.519
tc-4-0,1784622511251.2388,1784622511823,1784622512052.0,1784622512743.7502,571.761,229.0,691.75,1784622452052.0,1492.511
tc-6-0,1784622510581.2297,1784622510813,1784622512052.0,1784622512743.7505,231.77,1239.0,691.75,1784622452052.0,2162.521
tc-10-0,1784622510521.4475,1784622510813,1784622512052.0,1784622512743.751,291.552,1239.0,691.751,1784622452052.0,2222.303
tc-47-0,1784622510451.2378,1784622510813,1784622512052.0,1784622512743.7517,361.762,1239.0,691.752,1784622452052.0,2292.514
tc-65-0,1784622510431.2366,1784622510813,1784622512052.0,1784622512743.752,381.763,1239.0,691.752,1784622452052.0,2312.515
tc-43-0,1784622510911.2324,1784622511823,1784622512052.0,1784622512743.7524,911.768,229.0,691.752,1784622452052.0,1832.52
tc-86-0,1784622509891.2375,1784622510813,1784622512052.0,1784622512743.7527,921.762,1239.0,691.753,1784622452052.0,2852.515
tc-61-0,1784622510681.2368,1784622510813,1784622512053.0,1784622512743.7532,131.763,1240.0,690.753,1784622452053.0,2062.516
tc-71-0,1784622507921.2383,1784622508792,1784622512053.0,1784622512743.7537,870.762,3261.0,690.754,1784622452053.0,4822.515
tc-57-0,1784622511121.231,1784622511823,1784622512053.0,1784622512743.7544,701.769,230.0,690.754,1784622452053.0,1622.523
tc-26-0,1784622510511.197,1784622510813,1784622512053.0,1784622512743.759,301.803,1240.0,690.759,1784622452053.0,2232.562
tc-20-0,1784622509021.242,1784622509803,1784622512053.0,1784622512743.7595,781.758,2250.0,690.76,1784622452053.0,3722.518
tc-77-0,1784622510081.2417,1784622510813,1784622512053.0,1784622512743.76,731.758,1240.0,690.76,1784622452053.0,2662.518
tc-3-0,1784622510471.2412,1784622510813,1784622512053.0,1784622512743.7603,341.759,1240.0,690.76,1784622452053.0,2272.519
tc-81-0,1784622511291.2473,1784622511823,1784622512053.0,1784622512743.7605,531.753,230.0,690.76,1784622452053.0,1452.513
tc-68-0,1784622509611.2415,1784622509803,1784622512054.0,1784622512743.7615,191.759,2251.0,689.761,1784622452054.0,3132.52
tc-55-0,1784622506261.2644,1784622507804,1784622512054.0,1784622512743.762,1542.736,4250.0,689.762,1784622452054.0,6482.498
tc-17-0,1784622510781.236,1784622510813,1784622512054.0,1784622512743.7654,31.764,1241.0,689.765,1784622452054.0,1962.529
tc-15-0,1784622510701.249,1784622510813,1784622512054.0,1784622512743.7656,111.751,1241.0,689.766,1784622452054.0,2042.517
tc-52-0,1784622510881.2322,1784622511823,1784622512054.0,1784622512743.766,941.768,231.0,689.766,1784622452054.0,1862.534
tc-36-0,1784622510621.2422,1784622510813,1784622512054.0,1784622512743.7664,191.758,1241.0,689.766,1784622452054.0,2122.524
tc-60-0,1784622511061.2332,1784622511823,1784622512054.0,1784622512743.7668,761.767,231.0,689.767,1784622452054.0,1682.534
tc-56-0,1784622508221.2434,1784622508792,1784622512054.0,1784622512743.7673,570.757,3262.0,689.767,1784622452054.0,4522.524
tc-37-0,1784622509981.2393,1784622510813,1784622512055.0,1784622512743.768,831.761,1242.0,688.768,1784622452055.0,2762.529
tc-32-0,1784622511281.229,1784622511823,1784622512055.0,1784622512743.7686,541.771,232.0,688.769,1784622452055.0,1462.54
tc-27-0,1784622510971.2468,1784622511823,1784622512055.0,1784622512743.7693,851.753,232.0,688.769,1784622452055.0,1772.522
tc-22-0,1784622508681.2458,1784622508792,1784622512055.0,1784622512743.7698,110.754,3263.0,688.77,1784622452055.0,4062.524
tc-49-0,1784622511351.2441,1784622511823,1784622512055.0,1784622512743.77,471.756,232.0,688.77,1784622452055.0,1392.526
tc-78-0,1784622509761.2363,1784622509803,1784622512055.0,1784622512743.7703,41.764,2252.0,688.77,1784622452055.0,2982.534
tc-25-0,1784622510271.236,1784622510813,1784622512055.0,1784622512743.7708,541.764,1242.0,688.771,1784622452055.0,2472.535
tc-92-0,1784622511171.2402,1784622511823,1784622512056.0,1784622512743.771,651.76,233.0,687.771,1784622452056.0,1572.531
tc-30-0,1784622510831.2437,1784622511823,1784622512056.0,1784622512743.7715,991.756,233.0,687.771,1784622452056.0,1912.528
tc-42-0,1784622510761.237,1784622510813,1784622512056.0,1784622512743.7886,51.763,1243.0,687.789,1784622452056.0,1982.552
tc-82-0,1784622511181.2507,1784622511823,1784622512056.0,1784622512743.789,641.749,233.0,687.789,1784622452056.0,1562.538
tc-67-0,1784622511331.247,1784622511823,1784622512056.0,1784622512743.7896,491.753,233.0,687.79,1784622452056.0,1412.542
tc-66-0,1784622511151.23,1784622511823,1784622512056.0,1784622512743.7903,671.77,233.0,687.79,1784622452056.0,1592.56
tc-44-0,1784622510211.241,1784622510813,1784622512056.0,1784622512743.794,601.759,1243.0,687.794,1784622452056.0,2532.553
tc-18-0,1784622510201.247,1784622510813,1784622512056.0,1784622512743.7944,611.753,1243.0,687.794,1784622452056.0,2542.547
tc-96-0,1784622510551.2322,1784622510813,1784622512057.0,1784622512743.7947,261.768,1244.0,686.795,1784622452057.0,2192.562
tc-95-0,1784622509811.2625,1784622510813,1784622512057.0,1784622512743.795,1001.738,1244.0,686.795,1784622452057.0,2932.532
tc-94-0,1784622510641.2483,1784622510813,1784622512057.0,1784622512743.7954,171.752,1244.0,686.795,1784622452057.0,2102.547
tc-53-0,1784622510611.243,1784622510813,1784622512057.0,1784622512743.7957,201.757,1244.0,686.796,1784622452057.0,2132.553
tc-62-0,1784622510171.251,1784622510813,1784622512057.0,1784622512743.7961,641.749,1244.0,686.796,1784622452057.0,2572.545
tc-5-0,1784622511221.2458,1784622511823,1784622512057.0,1784622512743.7964,601.754,234.0,686.796,1784622452057.0,1522.551
tc-8-0,1784622510311.261,1784622510813,1784622512057.0,1784622512743.7966,501.739,1244.0,686.797,1784622452057.0,2432.536
tc-69-0,1784622508801.2175,1784622509803,1784622512057.0,1784622512743.797,1001.782,2254.0,686.797,1784622452057.0,3942.58
tc-85-0,1784622510691.2542,1784622510813,1784622512057.0,1784622512743.7976,121.746,1244.0,686.798,1784622452057.0,2052.543
tc-97-0,1784622511191.2473,1784622511823,1784622512058.0,1784622512743.7983,631.753,235.0,685.798,1784622452058.0,1552.551
tc-73-0,1784622506081.2495,1784622507804,1784622512058.0,1784622512743.7988,1722.75,4254.0,685.799,1784622452058.0,6662.549
