event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
tc-41-0,1784315323918.2905,1784315326405,1784315329106.0,1784315332060.4683,2486.709,2701.0,2954.468,8142.178
tc-0-0,1784315328817.6003,1784315328921,1784315329121.0,1784315332060.472,103.4,200.0,2939.472,3242.872
tc-33-0,1784315328767.5945,1784315328921,1784315329121.0,1784315332060.4739,153.406,200.0,2939.474,3292.879
tc-75-0,1784315328717.5972,1784315328921,1784315329122.0,1784315332060.4746,203.403,201.0,2938.475,3342.877
tc-1-0,1784315328667.591,1784315328921,1784315329122.0,1784315332060.476,253.409,201.0,2938.476,3392.885
tc-84-0,1784315328617.5942,1784315328921,1784315329122.0,1784315332060.477,303.406,201.0,2938.477,3442.883
tc-29-0,1784315328467.5903,1784315328471,1784315329122.0,1784315332060.4778,3.41,651.0,2938.478,3592.887
tc-48-0,1784315328417.5947,1784315328471,1784315329122.0,1784315332060.4832,53.405,651.0,2938.483,3642.888
tc-45-0,1784315328367.5903,1784315328471,1784315329122.0,1784315332060.7175,103.41,651.0,2938.718,3693.127
tc-90-0,1784315328317.5923,1784315328471,1784315329123.0,1784315332060.7188,153.408,652.0,2937.719,3743.126
tc-70-0,1784315328267.589,1784315328471,1784315329123.0,1784315332060.723,203.411,652.0,2937.723,3793.134
tc-35-0,1784315328117.526,1784315328471,1784315329124.0,1784315332060.7234,353.474,653.0,2936.723,3943.198
tc-51-0,1784315328067.5833,1784315328471,1784315329124.0,1784315332060.7236,403.417,653.0,2936.724,3993.14
tc-50-0,1784315327917.5955,1784315328471,1784315329124.0,1784315332060.7239,553.405,653.0,2936.724,4143.128
tc-31-0,1784315327867.602,1784315328471,1784315329124.0,1784315332060.7268,603.398,653.0,2936.727,4193.125
tc-16-0,1784315327817.6382,1784315328471,1784315329124.0,1784315332060.727,653.362,653.0,2936.727,4243.089
tc-98-0,1784315327767.5544,1784315328471,1784315329124.0,1784315332060.7275,703.446,653.0,2936.728,4293.173
tc-14-0,1784315327667.634,1784315328471,1784315329125.0,1784315332060.7278,803.366,654.0,2935.728,4393.094
tc-21-0,1784315328017.584,1784315328471,1784315329125.0,1784315332060.7283,453.416,654.0,2935.728,4043.144
tc-2-0,1784315327517.6235,1784315328471,1784315329125.0,1784315332060.7285,953.376,654.0,2935.729,4543.105
tc-39-0,1784315327267.62,1784315327419,1784315329125.0,1784315332060.729,151.38,1706.0,2935.729,4793.109
tc-93-0,1784315327217.59,1784315327419,1784315329125.0,1784315332060.7292,201.41,1706.0,2935.729,4843.139
tc-89-0,1784315327117.5962,1784315327419,1784315329125.0,1784315332060.7297,301.404,1706.0,2935.73,4943.134
tc-34-0,1784315327067.5964,1784315327419,1784315329126.0,1784315332060.73,351.404,1707.0,2934.73,4993.134
tc-76-0,1784315326867.605,1784315327419,1784315329126.0,1784315332060.7305,551.395,1707.0,2934.73,5193.125
tc-88-0,1784315326817.5476,1784315327419,1784315329126.0,1784315332060.7314,601.452,1707.0,2934.731,5243.184
tc-40-0,1784315326767.5867,1784315327419,1784315329126.0,1784315332060.7317,651.413,1707.0,2934.732,5293.145
tc-97-0,1784315326667.5964,1784315327419,1784315329126.0,1784315332060.7322,751.404,1707.0,2934.732,5393.136
tc-85-0,1784315327467.6375,1784315328471,1784315329126.0,1784315332060.7324,1003.363,655.0,2934.732,4593.095
tc-5-0,1784315326567.5989,1784315327419,1784315329126.0,1784315332060.7327,851.401,1707.0,2934.733,5493.134
tc-62-0,1784315326517.6143,1784315327419,1784315329127.0,1784315332060.7332,901.386,1708.0,2933.733,5543.119
tc-96-0,1784315326417.627,1784315327419,1784315329127.0,1784315332060.7334,1001.373,1708.0,2933.733,5643.106
tc-15-0,1784315326317.5828,1784315326405,1784315329127.0,1784315332060.7336,87.417,2722.0,2933.734,5743.151
tc-77-0,1784315326267.598,1784315326405,1784315329127.0,1784315332060.7344,137.402,2722.0,2933.734,5793.136
