event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
tc-41-0,1784315172475.3682,1784315175015,1784315177646.0,1784315177917.8298,2539.632,2631.0,271.83,5442.462
tc-0-0,1784315177374.4143,1784315177478,1784315177660.0,1784315177917.834,103.586,182.0,257.834,543.42
tc-33-0,1784315177324.4246,1784315177478,1784315177661.0,1784315177917.8352,153.575,183.0,256.835,593.411
tc-75-0,1784315177274.4268,1784315177478,1784315177661.0,1784315177917.8545,203.573,183.0,256.854,643.428
tc-1-0,1784315177224.4216,1784315177478,1784315177661.0,1784315177917.8552,253.578,183.0,256.855,693.434
tc-84-0,1784315177174.4092,1784315177478,1784315177661.0,1784315177917.856,303.591,183.0,256.856,743.447
tc-29-0,1784315177024.438,1784315177076,1784315177661.0,1784315177917.8567,51.562,585.0,256.857,893.419
tc-48-0,1784315176974.4175,1784315177076,1784315177661.0,1784315177917.861,101.583,585.0,256.861,943.444
tc-45-0,1784315176924.4448,1784315177076,1784315177662.0,1784315177917.8652,151.555,586.0,255.865,993.42
tc-90-0,1784315176874.448,1784315177076,1784315177662.0,1784315177917.8738,201.552,586.0,255.874,1043.426
tc-70-0,1784315176824.4648,1784315177076,1784315177662.0,1784315177917.8743,251.535,586.0,255.874,1093.409
tc-35-0,1784315176674.4712,1784315177076,1784315177663.0,1784315177917.8748,401.529,587.0,254.875,1243.404
tc-51-0,1784315176624.456,1784315177076,1784315177663.0,1784315177917.8752,451.544,587.0,254.875,1293.419
tc-50-0,1784315176474.3997,1784315177076,1784315177663.0,1784315177917.8782,601.6,587.0,254.878,1443.479
tc-31-0,1784315176424.413,1784315177076,1784315177663.0,1784315177917.8787,651.587,587.0,254.879,1493.466
tc-16-0,1784315176374.4097,1784315177076,1784315177663.0,1784315177917.9478,701.59,587.0,254.948,1543.538
tc-98-0,1784315176324.4172,1784315177076,1784315177663.0,1784315177917.9607,751.583,587.0,254.961,1593.543
tc-14-0,1784315176224.424,1784315177076,1784315177663.0,1784315177917.9617,851.576,587.0,254.962,1693.538
tc-21-0,1784315176574.425,1784315177076,1784315177663.0,1784315177918.045,501.575,587.0,255.045,1343.62
tc-2-0,1784315176074.4038,1784315177076,1784315177664.0,1784315177918.0474,1001.596,588.0,254.047,1843.644
tc-39-0,1784315175824.4187,1784315176027,1784315177664.0,1784315177918.0483,202.581,1637.0,254.048,2093.63
tc-93-0,1784315175774.4246,1784315176027,1784315177664.0,1784315177918.0493,252.575,1637.0,254.049,2143.625
tc-89-0,1784315175674.3975,1784315176027,1784315177664.0,1784315177918.05,352.603,1637.0,254.05,2243.653
tc-34-0,1784315175624.4097,1784315176027,1784315177664.0,1784315177918.0605,402.59,1637.0,254.061,2293.651
tc-76-0,1784315175424.4153,1784315176027,1784315177664.0,1784315177918.1377,602.585,1637.0,254.138,2493.722
tc-88-0,1784315175374.4114,1784315176027,1784315177664.0,1784315177918.1401,652.589,1637.0,254.14,2543.729
tc-40-0,1784315175324.4128,1784315176027,1784315177664.0,1784315177918.141,702.587,1637.0,254.141,2593.728
tc-97-0,1784315175224.4424,1784315176027,1784315177665.0,1784315177918.1523,802.558,1638.0,253.152,2693.71
tc-85-0,1784315176024.4111,1784315176027,1784315177665.0,1784315177918.1533,2.589,1638.0,253.153,1893.742
tc-5-0,1784315175124.4053,1784315176027,1784315177665.0,1784315177918.2097,902.595,1638.0,253.21,2793.804
tc-62-0,1784315175074.4421,1784315176027,1784315177665.0,1784315177918.2107,952.558,1638.0,253.211,2843.769
tc-96-0,1784315174974.4165,1784315175015,1784315177665.0,1784315177918.2117,40.583,2650.0,253.212,2943.795
tc-15-0,1784315174874.4077,1784315175015,1784315177665.0,1784315177918.3008,140.592,2650.0,253.301,3043.893
tc-77-0,1784315174824.419,1784315175015,1784315177666.0,1784315177918.3025,190.581,2651.0,252.302,3093.884
tc-57-0,1784315175924.4106,1784315176027,1784315177666.0,1784315177918.3103,102.589,1639.0,252.31,1993.9
tc-43-0,1784315174724.4414,1784315175015,1784315177666.0,1784315177918.311,290.559,2651.0,252.311,3193.87
tc-10-0,1784315177074.4512,1784315177076,1784315177666.0,1784315177918.3193,1.549,590.0,252.319,843.868
tc-23-0,1784315174474.43,1784315175015,1784315177666.0,1784315177918.32,540.57,2651.0,252.32,3443.89
tc-38-0,1784315174624.4363,1784315175015,1784315177666.0,1784315177918.325,390.564,2651.0,252.325,3293.889
tc-58-0,1784315175524.444,1784315176027,1784315177666.0,1784315177918.4028,502.556,1639.0,252.403,2393.959
tc-59-0,1784315176124.4077,1784315177076,1784315177667.0,1784315177918.4048,951.592,591.0,251.405,1793.997
tc-99-0,1784315174524.4514,1784315175015,1784315177667.0,1784315177918.4067,490.549,2652.0,251.407,3393.955
tc-63-0,1784315176524.4648,1784315177076,1784315177667.0,1784315177918.4197,551.535,591.0,251.42,1393.955
tc-79-0,1784315174124.403,1784315175015,1784315177667.0,1784315177918.4763,890.597,2652.0,251.476,3794.073
tc-91-0,1784315175974.4038,1784315176027,1784315177667.0,1784315177918.4773,52.596,1640.0,251.477,1944.073
tc-12-0,1784315173974.4875,1784315175015,1784315177667.0,1784315177918.5295,1040.512,2652.0,251.53,3944.042
tc-24-0,1784315173924.4172,1784315175015,1784315177667.0,1784315177918.546,1090.583,2652.0,251.546,3994.129
tc-13-0,1784315173824.413,1784315175015,1784315177668.0,1784315177918.5464,1190.587,2653.0,250.546,4094.133
tc-87-0,1784315173774.4233,1784315175015,1784315177668.0,1784315177918.5469,1240.577,2653.0,250.547,4144.124
tc-73-0,1784315175874.414,1784315176027,1784315177668.0,1784315177918.6125,152.586,1641.0,250.613,2044.198
tc-69-0,1784315173624.4478,1784315175015,1784315177668.0,1784315177918.613,1390.552,2653.0,250.613,4294.165
tc-53-0,1784315177424.4365,1784315177478,1784315177668.0,1784315177918.6409,53.563,190.0,250.641,494.204
tc-17-0,1784315176724.4639,1784315177076,1784315177668.0,1784315177918.6414,351.536,592.0,250.641,1194.177
tc-71-0,1784315173724.4333,1784315175015,1784315177668.0,1784315177918.7092,1290.567,2653.0,250.709,4194.276
tc-6-0,1784315173374.4414,1784315175015,1784315177668.0,1784315177918.7107,1640.559,2653.0,250.711,4544.269
tc-74-0,1784315175474.4395,1784315176027,1784315177669.0,1784315177918.7114,552.561,1642.0,249.711,2444.272
tc-80-0,1784315173224.454,1784315175015,1784315177669.0,1784315177918.712,1790.546,2654.0,249.712,4694.258
tc-28-0,1784315173424.4407,1784315175015,1784315177669.0,1784315177918.72,1590.559,2654.0,249.72,4494.279
tc-72-0,1784315174074.4287,1784315175015,1784315177669.0,1784315177918.7712,940.571,2654.0,249.771,3844.343
tc-54-0,1784315173074.4497,1784315175015,1784315177669.0,1784315177918.7764,1940.55,2654.0,249.776,4844.327
tc-11-0,1784315175574.4092,1784315176027,1784315177669.0,1784315177918.7769,452.591,1642.0,249.777,2344.368
tc-8-0,1784315175724.408,1784315176027,1784315177669.0,1784315177918.7773,302.592,1642.0,249.777,2194.369
tc-55-0,1784315176774.4407,1784315177076,1784315177669.0,1784315177918.7815,301.559,593.0,249.781,1144.341
tc-4-0,1784315172874.4265,1784315175015,1784315177670.0,1784315177918.8826,2140.573,2655.0,248.883,5044.456
tc-64-0,1784315172824.4304,1784315175015,1784315177670.0,1784315177918.883,2190.57,2655.0,248.883,5094.453
tc-7-0,1784315176274.3955,1784315177076,1784315177670.0,1784315177918.8872,801.604,594.0,248.887,1644.492
tc-46-0,1784315172724.591,1784315175015,1784315177670.0,1784315177918.9043,2290.409,2655.0,248.904,5194.313
tc-68-0,1784315174224.394,1784315175015,1784315177670.0,1784315177918.9487,790.606,2655.0,248.949,3694.555
tc-9-0,1784315172624.46,1784315175015,1784315177670.0,1784315177918.9492,2390.54,2655.0,248.949,5294.489
tc-83-0,1784315172574.4553,1784315175015,1784315177670.0,1784315177919.0203,2440.545,2655.0,249.02,5344.565
tc-19-0,1784315177124.4314,1784315177478,1784315177670.0,1784315177919.0208,353.569,192.0,249.021,794.589
