event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
join-l-0-r-0,1784429718865.6326,1784429720729,1784429720791.0,1784429721489.6548,1863.367,62.0,698.655,1784429718850.0,2624.022
join-l-1-r-1,1784429718465.6248,1784429720729,1784429720802.0,1784429721489.6587,2263.375,73.0,687.659,1784429719369.0,3024.034
join-l-2-r-2,1784429718765.633,1784429720729,1784429720802.0,1784429721489.6602,1963.367,73.0,687.66,1784429718921.0,2724.027
join-l-3-r-3,1784429718365.6252,1784429720729,1784429720802.0,1784429721489.6611,2363.375,73.0,687.661,1784429719502.0,3124.036
join-l-4-r-4,1784429719165.7432,1784429720729,1784429720802.0,1784429721489.6677,1563.257,73.0,687.668,1784429718539.0,2323.925
join-l-5-r-5,1784429718565.6272,1784429720729,1784429720802.0,1784429721489.669,2163.373,73.0,687.669,1784429719302.0,2924.042
join-l-6-r-6,1784429718615.636,1784429720729,1784429720802.0,1784429721489.6702,2113.364,73.0,687.67,1784429719202.0,2874.034
join-l-7-r-7,1784429718665.639,1784429720729,1784429720803.0,1784429721489.69,2063.361,74.0,686.69,1784429719103.0,2824.051
join-l-8-r-8,1784429718718.5703,1784429720729,1784429720803.0,1784429721489.6917,2010.43,74.0,686.692,1784429719003.0,2771.121
join-l-9-r-9,1784429718815.6284,1784429720729,1784429720803.0,1784429721489.6929,1913.372,74.0,686.693,1784429718903.0,2674.064
join-l-9-r-22,1784429719315.636,1784429720729,1784429720803.0,1784429721489.6936,1413.364,74.0,686.694,1784429718481.0,2174.058
join-l-10-r-10,1784429719215.635,1784429720729,1784429720803.0,1784429721489.6943,1513.365,74.0,686.694,1784429718512.0,2274.059
join-l-11-r-11,1784429719965.624,1784429720729,1784429720803.0,1784429721489.6948,763.376,74.0,686.695,1784429717763.0,1524.071
join-l-11-r-19,1784429720015.633,1784429720729,1784429720803.0,1784429721489.6956,713.367,74.0,686.696,1784429717734.0,1474.062
join-l-12-r-17,1784429719365.6323,1784429720729,1784429720803.0,1784429721489.6963,1363.368,74.0,686.696,1784429718472.0,2124.064
join-l-12-r-12,1784429719415.6104,1784429720729,1784429720803.0,1784429721489.6968,1313.39,74.0,686.697,1784429718404.0,2074.086
join-l-13-r-13,1784429720215.6274,1784429720729,1784429720804.0,1784429721489.6975,513.373,75.0,685.698,1784429717505.0,1274.07
