l-0	41	154	1000
l-1	50	49	1100
l-2	9	548	1200
l-3	12	596	1300
l-4	7	519	1400
l-5	27	88	1500
l-6	55	71	1600
l-7	30	564	1700
l-8	54	846	1800
l-9	72	970	1900
l-10	28	642	2000
l-11	74	63	2100
l-12	73	406	2200
l-13	6	226	2300
l-14	5	879	2400
l-15	17	429	2500
l-16	18	120	2600
l-17	73	573	2700
l-18	87	105	2800
l-19	74	654	2900
l-20	24	99	3000
l-21	70	64	3100
l-22	72	633	3200
l-23	26	696	3300
l-24	68	795	3400
l-25	40	599	3500
l-26	58	306	3600
l-27	31	184	3700
l-28	89	249	3800
l-29	10	307	3900
l-30	67	896	4000
l-31	43	459	4100
l-32	36	74	4200
l-33	15	428	4300
l-34	21	350	4400
l-35	19	500	4500
l-36	53	985	4600
l-37	85	782	4700
l-38	71	808	4800
l-39	40	711	4900
l-40	44	508	5000
l-41	74	467	5100
l-42	8	95	5200
l-43	34	713	5300
l-44	85	62	5400
l-45	93	317	5500
l-46	82	697	5600
l-47	57	733	5700
l-48	49	684	5800
l-49	44	963	5900
l-50	59	172	6000
l-51	78	505	6100
l-52	7	786	6200
l-53	36	756	6300
l-54	31	400	6400
l-55	63	170	6500
l-56	57	562	6600
l-57	35	140	6700
l-58	55	563	6800
l-59	35	425	6900
l-60	45	905	7000
l-61	48	236	7100
l-62	19	180	7200
l-63	19	674	7300
l-64	29	496	7400
l-65	75	269	7500
l-66	36	149	7600
l-67	53	378	7700
l-68	78	326	7800
l-69	16	879	7900
l-70	65	632	8000
l-71	83	757	8100
l-72	6	921	8200
l-73	99	895	8300
l-74	87	572	8400
l-75	50	408	8500
l-76	50	493	8600
l-77	81	63	8700
l-78	24	213	8800
l-79	56	112	8900
l-80	43	53	9000
l-81	13	580	9100
l-82	19	103	9200
l-83	46	26	9300
l-84	9	212	9400
l-85	78	152	9500
l-86	81	978	9600
l-87	44	372	9700
l-88	60	118	9800
l-89	62	491	9900
l-90	61	87	10000
l-91	18	767	10100
l-92	43	271	10200
l-93	61	708	10300
l-94	20	23	10400
l-95	26	974	10500
l-96	67	150	10600
l-97	88	936	10700
l-98	3	540	10800
l-99	38	884	10900
