event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784411829632.1714,1784411832226,1784411832261.0,1784411832694.4639,2593.829,35.0,433.464,,3062.292
e-1,1784411829681.4377,1784411832226,1784411832281.0,1784411832694.4666,2544.562,55.0,413.467,,3013.029
e-2,1784411829731.6426,1784411832226,1784411832281.0,1784411832694.467,2494.357,55.0,413.467,,2962.824
e-3,1784411829781.3179,1784411832226,1784411832281.0,1784411832694.4675,2444.682,55.0,413.468,,2913.15
e-4,1784411829831.3142,1784411832226,1784411832282.0,1784411832694.4678,2394.686,56.0,412.468,,2863.154
e-5,1784411829881.3306,1784411832226,1784411832282.0,1784411832694.4792,2344.669,56.0,412.479,,2813.149
e-6,1784411829931.3044,1784411832226,1784411832282.0,1784411832694.48,2294.696,56.0,412.48,,2763.176
e-7,1784411829981.2932,1784411832226,1784411832282.0,1784411832694.4832,2244.707,56.0,412.483,,2713.19
e-8,1784411830031.311,1784411832226,1784411832282.0,1784411832694.484,2194.689,56.0,412.484,,2663.173
e-9,1784411830081.2866,1784411832226,1784411832283.0,1784411832694.4846,2144.713,57.0,411.485,,2613.198
e-10,1784411830131.3035,1784411832226,1784411832283.0,1784411832694.4849,2094.697,57.0,411.485,,2563.181
e-11,1784411830181.5898,1784411832226,1784411832283.0,1784411832694.485,2044.41,57.0,411.485,,2512.895
e-12,1784411830231.303,1784411832226,1784411832283.0,1784411832694.4856,1994.697,57.0,411.486,,2463.183
e-13,1784411830281.3093,1784411832226,1784411832283.0,1784411832694.6292,1944.691,57.0,411.629,,2413.32
e-14,1784411830331.2935,1784411832226,1784411832284.0,1784411832694.6313,1894.707,58.0,410.631,,2363.338
e-15,1784411830381.3127,1784411832226,1784411832284.0,1784411832694.6423,1844.687,58.0,410.642,,2313.33
e-16,1784411830431.3086,1784411832226,1784411832284.0,1784411832694.6426,1794.691,58.0,410.643,,2263.334
e-17,1784411830481.3047,1784411832226,1784411832284.0,1784411832694.6438,1744.695,58.0,410.644,,2213.339
e-18,1784411830531.2898,1784411832226,1784411832284.0,1784411832694.6443,1694.71,58.0,410.644,,2163.354
e-19,1784411830581.2993,1784411832226,1784411832284.0,1784411832694.6448,1644.701,58.0,410.645,,2113.345
e-20,1784411830631.306,1784411832226,1784411832285.0,1784411832694.6453,1594.694,59.0,409.645,,2063.339
e-21,1784411830681.3005,1784411832226,1784411832285.0,1784411832694.692,1544.699,59.0,409.692,,2013.391
e-22,1784411830731.3013,1784411832226,1784411832285.0,1784411832694.6924,1494.699,59.0,409.692,,1963.391
e-23,1784411830781.325,1784411832226,1784411832285.0,1784411832694.75,1444.675,59.0,409.75,,1913.425
e-24,1784411830831.287,1784411832226,1784411832285.0,1784411832694.751,1394.713,59.0,409.751,,1863.464
e-25,1784411830881.2852,1784411832226,1784411832286.0,1784411832694.752,1344.715,60.0,408.752,,1813.467
e-26,1784411830931.3179,1784411832226,1784411832286.0,1784411832694.7524,1294.682,60.0,408.752,,1763.435
e-27,1784411830981.298,1784411832226,1784411832286.0,1784411832694.7876,1244.702,60.0,408.788,,1713.49
e-28,1784411831031.2866,1784411832226,1784411832286.0,1784411832694.788,1194.713,60.0,408.788,,1663.501
e-29,1784411831081.3018,1784411832226,1784411832286.0,1784411832694.7961,1144.698,60.0,408.796,,1613.494
e-30,1784411831131.296,1784411832226,1784411832286.0,1784411832694.8015,1094.704,60.0,408.802,,1563.506
e-31,1784411831181.3022,1784411832226,1784411832287.0,1784411832694.802,1044.698,61.0,407.802,,1513.5
e-32,1784411831231.2793,1784411832226,1784411832287.0,1784411832694.8506,994.721,61.0,407.851,,1463.571
e-33,1784411831281.3208,1784411832226,1784411832287.0,1784411832694.8862,944.679,61.0,407.886,,1413.565
e-34,1784411831331.295,1784411832226,1784411832287.0,1784411832694.8906,894.705,61.0,407.891,,1363.596
e-35,1784411831381.3037,1784411832226,1784411832287.0,1784411832694.891,844.696,61.0,407.891,,1313.587
e-36,1784411831431.2861,1784411832226,1784411832288.0,1784411832694.9214,794.714,62.0,406.921,,1263.635
e-37,1784411831481.2734,1784411832226,1784411832288.0,1784411832694.9219,744.727,62.0,406.922,,1213.648
e-38,1784411831531.281,1784411832226,1784411832288.0,1784411832694.946,694.719,62.0,406.946,,1163.665
e-39,1784411831581.2754,1784411832226,1784411832288.0,1784411832694.9465,644.725,62.0,406.947,,1113.671
e-40,1784411831631.2761,1784411832226,1784411832288.0,1784411832694.9497,594.724,62.0,406.95,,1063.674
e-41,1784411831681.275,1784411832226,1784411832288.0,1784411832695.0078,544.725,62.0,407.008,,1013.733
e-42,1784411831731.2761,1784411832226,1784411832288.0,1784411832695.0352,494.724,62.0,407.035,,963.759
e-43,1784411831781.27,1784411832226,1784411832289.0,1784411832695.036,444.73,63.0,406.036,,913.766
e-44,1784411831831.2927,1784411832226,1784411832289.0,1784411832695.0366,394.707,63.0,406.037,,863.744
e-45,1784411831881.2769,1784411832226,1784411832289.0,1784411832695.0615,344.723,63.0,406.062,,813.785
e-46,1784411831931.288,1784411832226,1784411832289.0,1784411832695.0623,294.712,63.0,406.062,,763.774
e-47,1784411831981.2644,1784411832226,1784411832289.0,1784411832695.113,244.736,63.0,406.113,,713.849
e-48,1784411832031.2954,1784411832226,1784411832289.0,1784411832695.114,194.705,63.0,406.114,,663.819
e-49,1784411832081.2766,1784411832226,1784411832290.0,1784411832695.1147,144.723,64.0,405.115,,613.838
e-50,1784411832131.285,1784411832226,1784411832290.0,1784411832695.1643,94.715,64.0,405.164,,563.879
e-51,1784411832181.271,1784411832226,1784411832290.0,1784411832695.165,44.729,64.0,405.165,,513.894
e-52,1784411832231.3008,1784411833233,1784411833241.0,1784411833778.6438,1001.699,8.0,537.644,,1547.343
e-53,1784411832281.3003,1784411833233,1784411833242.0,1784411833778.648,951.7,9.0,536.648,,1497.348
e-54,1784411832331.2803,1784411833233,1784411833242.0,1784411833778.6497,901.72,9.0,536.65,,1447.369
e-55,1784411832381.273,1784411833233,1784411833242.0,1784411833778.65,851.727,9.0,536.65,,1397.377
e-56,1784411832431.2927,1784411833233,1784411833242.0,1784411833778.661,801.707,9.0,536.661,,1347.368
e-57,1784411832481.2861,1784411833233,1784411833243.0,1784411833778.6614,751.714,10.0,535.661,,1297.375
e-58,1784411832531.275,1784411833233,1784411833243.0,1784411833778.6624,701.725,10.0,535.662,,1247.387
e-59,1784411832581.286,1784411833233,1784411833243.0,1784411833778.6626,651.714,10.0,535.663,,1197.377
e-60,1784411832631.5454,1784411833233,1784411833243.0,1784411833778.663,601.455,10.0,535.663,,1147.118
e-61,1784411832681.289,1784411833233,1784411833243.0,1784411833778.6633,551.711,10.0,535.663,,1097.374
e-62,1784411832731.2778,1784411833233,1784411833244.0,1784411833778.6636,501.722,11.0,534.664,,1047.386
e-63,1784411832781.2732,1784411833233,1784411833244.0,1784411833778.664,451.727,11.0,534.664,,997.391
e-64,1784411832831.2744,1784411833233,1784411833244.0,1784411833778.6643,401.726,11.0,534.664,,947.39
e-65,1784411832881.2664,1784411833233,1784411833245.0,1784411833778.6653,351.734,12.0,533.665,,897.399
e-66,1784411832931.2727,1784411833233,1784411833245.0,1784411833778.6658,301.727,12.0,533.666,,847.393
e-67,1784411832981.2905,1784411833233,1784411833245.0,1784411833778.666,251.709,12.0,533.666,,797.375
e-68,1784411833031.293,1784411833233,1784411833245.0,1784411833778.6846,201.707,12.0,533.685,,747.392
e-69,1784411833081.295,1784411833233,1784411833245.0,1784411833778.685,151.705,12.0,533.685,,697.39
e-70,1784411833131.2932,1784411833233,1784411833245.0,1784411833778.6887,101.707,12.0,533.689,,647.396
e-71,1784411833181.2908,1784411833233,1784411833246.0,1784411833778.7288,51.709,13.0,532.729,,597.438
e-72,1784411833231.2769,1784411833233,1784411833246.0,1784411833778.7437,1.723,13.0,532.744,,547.467
e-73,1784411833281.272,1784411834283,1784411834301.0,1784411834838.5557,1001.728,18.0,537.556,,1557.284
e-74,1784411833331.2866,1784411834283,1784411834302.0,1784411834838.5576,951.713,19.0,536.558,,1507.271
