event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784542088248.2676,1784542090635,1784542090672.0,1784542091811.9165,2386.732,37.0,1139.917,,3563.649
e-1,1784542088298.3262,1784542090635,1784542090693.0,1784542091811.92,2336.674,58.0,1118.92,,3513.594
e-2,1784542088348.3184,1784542090635,1784542090693.0,1784542091811.9207,2286.682,58.0,1118.921,,3463.602
e-3,1784542088398.3323,1784542090635,1784542090693.0,1784542091811.9211,2236.668,58.0,1118.921,,3413.589
e-4,1784542088448.323,1784542090635,1784542090694.0,1784542091811.9216,2186.677,59.0,1117.922,,3363.599
e-5,1784542088498.3184,1784542090635,1784542090694.0,1784542091811.9224,2136.682,59.0,1117.922,,3313.604
e-6,1784542088548.316,1784542090635,1784542090694.0,1784542091811.923,2086.684,59.0,1117.923,,3263.607
e-7,1784542088598.3188,1784542090635,1784542090694.0,1784542091811.9277,2036.681,59.0,1117.928,,3213.609
e-8,1784542088648.3179,1784542090635,1784542090694.0,1784542091811.9287,1986.682,59.0,1117.929,,3163.611
e-9,1784542088698.3223,1784542090635,1784542090695.0,1784542091811.9297,1936.678,60.0,1116.93,,3113.607
e-10,1784542088748.3215,1784542090635,1784542090695.0,1784542091811.9302,1886.678,60.0,1116.93,,3063.609
e-11,1784542088798.3152,1784542090635,1784542090695.0,1784542091811.942,1836.685,60.0,1116.942,,3013.627
e-12,1784542088848.316,1784542090635,1784542090695.0,1784542091811.9424,1786.684,60.0,1116.942,,2963.626
e-13,1784542088898.3281,1784542090635,1784542090695.0,1784542091811.9426,1736.672,60.0,1116.943,,2913.615
e-14,1784542088948.3176,1784542090635,1784542090696.0,1784542091811.9473,1686.682,61.0,1115.947,,2863.63
e-15,1784542088998.3267,1784542090635,1784542090696.0,1784542091811.9475,1636.673,61.0,1115.948,,2813.621
e-16,1784542089048.3154,1784542090635,1784542090696.0,1784542091811.9478,1586.685,61.0,1115.948,,2763.632
e-17,1784542089098.3203,1784542090635,1784542090696.0,1784542091811.948,1536.68,61.0,1115.948,,2713.628
e-18,1784542089148.3428,1784542090635,1784542090696.0,1784542091811.9482,1486.657,61.0,1115.948,,2663.605
e-19,1784542089198.3286,1784542090635,1784542090696.0,1784542091811.9487,1436.671,61.0,1115.949,,2613.62
e-20,1784542089248.325,1784542090635,1784542090697.0,1784542091811.9492,1386.675,62.0,1114.949,,2563.624
e-21,1784542089298.3206,1784542090635,1784542090697.0,1784542091811.9495,1336.679,62.0,1114.949,,2513.629
e-22,1784542089348.3245,1784542090635,1784542090697.0,1784542091811.95,1286.676,62.0,1114.95,,2463.625
e-23,1784542089398.3105,1784542090635,1784542090697.0,1784542091812.6785,1236.689,62.0,1115.678,,2414.368
e-24,1784542089448.317,1784542090635,1784542090697.0,1784542091812.681,1186.683,62.0,1115.681,,2364.364
e-25,1784542089498.3237,1784542090635,1784542090698.0,1784542091812.6824,1136.676,63.0,1114.682,,2314.359
e-26,1784542089548.324,1784542090635,1784542090698.0,1784542091812.6829,1086.676,63.0,1114.683,,2264.359
e-27,1784542089598.3245,1784542090635,1784542090698.0,1784542091812.6833,1036.676,63.0,1114.683,,2214.359
e-28,1784542089648.3215,1784542090635,1784542090698.0,1784542091812.6838,986.678,63.0,1114.684,,2164.362
e-29,1784542089698.3298,1784542090635,1784542090698.0,1784542091812.6934,936.67,63.0,1114.693,,2114.364
e-30,1784542089749.9917,1784542090635,1784542090699.0,1784542091812.6938,885.008,64.0,1113.694,,2062.702
e-31,1784542089798.3215,1784542090635,1784542090699.0,1784542091812.6943,836.678,64.0,1113.694,,2014.373
e-32,1784542089848.323,1784542090635,1784542090699.0,1784542091812.6948,786.677,64.0,1113.695,,1964.372
e-33,1784542089898.3142,1784542090635,1784542090699.0,1784542091812.696,736.686,64.0,1113.696,,1914.382
e-34,1784542089948.3223,1784542090635,1784542090699.0,1784542091812.6968,686.678,64.0,1113.697,,1864.375
