event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784419913851.997,1784419916395,1784419916425.0,1784419916848.9116,2543.003,30.0,423.912,,2996.915
e-1,1784419913901.267,1784419916395,1784419916446.0,1784419916848.9155,2493.733,51.0,402.916,,2947.648
e-2,1784419913951.1926,1784419916395,1784419916446.0,1784419916848.9175,2443.807,51.0,402.917,,2897.725
e-3,1784419914001.3408,1784419916395,1784419916446.0,1784419916848.9187,2393.659,51.0,402.919,,2847.578
e-4,1784419914051.1814,1784419916395,1784419916447.0,1784419916848.9197,2343.819,52.0,401.92,,2797.738
e-5,1784419914101.1816,1784419916395,1784419916447.0,1784419916848.921,2293.818,52.0,401.921,,2747.739
e-6,1784419914151.1855,1784419916395,1784419916447.0,1784419916848.9219,2243.814,52.0,401.922,,2697.736
e-7,1784419914201.1797,1784419916395,1784419916447.0,1784419916848.9275,2193.82,52.0,401.927,,2647.748
e-8,1784419914251.1926,1784419916395,1784419916448.0,1784419916848.9434,2143.807,53.0,400.943,,2597.751
e-9,1784419914301.1843,1784419916395,1784419916448.0,1784419916848.9448,2093.816,53.0,400.945,,2547.76
e-10,1784419914351.8013,1784419916395,1784419916448.0,1784419916848.9453,2043.199,53.0,400.945,,2497.144
e-11,1784419914401.2798,1784419916395,1784419916449.0,1784419916848.946,1993.72,54.0,399.946,,2447.666
e-12,1784419914451.196,1784419916395,1784419916449.0,1784419916848.9465,1943.804,54.0,399.947,,2397.75
e-13,1784419914502.2092,1784419916395,1784419916449.0,1784419916848.9534,1892.791,54.0,399.953,,2346.744
e-14,1784419914551.2024,1784419916395,1784419916449.0,1784419916848.9539,1843.798,54.0,399.954,,2297.751
e-15,1784419914601.1892,1784419916395,1784419916450.0,1784419916848.9546,1793.811,55.0,398.955,,2247.765
e-16,1784419914651.178,1784419916395,1784419916450.0,1784419916848.9875,1743.822,55.0,398.988,,2197.81
e-17,1784419914701.1567,1784419916395,1784419916450.0,1784419916848.9885,1693.843,55.0,398.989,,2147.832
e-18,1784419914751.1748,1784419916395,1784419916450.0,1784419916848.989,1643.825,55.0,398.989,,2097.814
e-19,1784419914801.1633,1784419916395,1784419916451.0,1784419916849.027,1593.837,56.0,398.027,,2047.864
e-20,1784419914851.1797,1784419916395,1784419916451.0,1784419916849.028,1543.82,56.0,398.028,,1997.848
e-21,1784419914901.1714,1784419916395,1784419916451.0,1784419916849.035,1493.829,56.0,398.035,,1947.864
e-22,1784419914951.1765,1784419916395,1784419916452.0,1784419916849.0354,1443.823,57.0,397.035,,1897.859
e-23,1784419915001.183,1784419916395,1784419916452.0,1784419916849.104,1393.817,57.0,397.104,,1847.921
e-24,1784419915051.1868,1784419916395,1784419916452.0,1784419916849.1057,1343.813,57.0,397.106,,1797.919
e-25,1784419915101.1677,1784419916395,1784419916452.0,1784419916849.1157,1293.832,57.0,397.116,,1747.948
e-26,1784419915151.1711,1784419916395,1784419916453.0,1784419916849.1165,1243.829,58.0,396.116,,1697.945
e-27,1784419915201.1887,1784419916395,1784419916453.0,1784419916849.1172,1193.811,58.0,396.117,,1647.928
e-28,1784419915251.1882,1784419916395,1784419916454.0,1784419916849.1267,1143.812,59.0,395.127,,1597.938
e-29,1784419915301.1885,1784419916395,1784419916454.0,1784419916849.1619,1093.812,59.0,395.162,,1547.973
e-30,1784419915351.3872,1784419916395,1784419916454.0,1784419916849.1626,1043.613,59.0,395.163,,1497.775
e-31,1784419915401.1912,1784419916395,1784419916454.0,1784419916849.2354,993.809,59.0,395.235,,1448.044
e-32,1784419915451.1848,1784419916395,1784419916455.0,1784419916849.2363,943.815,60.0,394.236,,1398.052
e-33,1784419915501.1907,1784419916395,1784419916455.0,1784419916849.2827,893.809,60.0,394.283,,1348.092
e-34,1784419915551.186,1784419916395,1784419916455.0,1784419916849.2886,843.814,60.0,394.289,,1298.103
e-35,1784419915601.1829,1784419916395,1784419916455.0,1784419916849.289,793.817,60.0,394.289,,1248.106
e-36,1784419915651.1702,1784419916395,1784419916456.0,1784419916849.3066,743.83,61.0,393.307,,1198.136
e-37,1784419915701.1719,1784419916395,1784419916456.0,1784419916849.3071,693.828,61.0,393.307,,1148.135
e-38,1784419915751.1868,1784419916395,1784419916456.0,1784419916849.3262,643.813,61.0,393.326,,1098.139
e-39,1784419915801.1897,1784419916395,1784419916456.0,1784419916849.3267,593.81,61.0,393.327,,1048.137
e-40,1784419915851.1577,1784419916395,1784419916457.0,1784419916849.351,543.842,62.0,392.351,,998.193
e-41,1784419915901.1802,1784419916395,1784419916457.0,1784419916849.3677,493.82,62.0,392.368,,948.188
e-42,1784419915951.164,1784419916395,1784419916457.0,1784419916849.3892,443.836,62.0,392.389,,898.225
e-43,1784419916001.1707,1784419916395,1784419916457.0,1784419916849.43,393.829,62.0,392.43,,848.259
e-44,1784419916051.167,1784419916395,1784419916458.0,1784419916849.4304,343.833,63.0,391.43,,798.263
e-45,1784419916101.1687,1784419916395,1784419916458.0,1784419916849.4714,293.831,63.0,391.471,,748.303
e-46,1784419916151.1504,1784419916395,1784419916458.0,1784419916849.4717,243.85,63.0,391.472,,698.321
e-47,1784419916201.151,1784419916395,1784419916458.0,1784419916849.4722,193.849,63.0,391.472,,648.321
e-48,1784419916251.1458,1784419916395,1784419916459.0,1784419916849.5908,143.854,64.0,390.591,,598.445
e-49,1784419916301.1836,1784419916395,1784419916459.0,1784419916849.593,93.816,64.0,390.593,,548.409
e-50,1784419916351.1526,1784419916395,1784419916459.0,1784419916849.5938,43.847,64.0,390.594,,498.441
e-51,1784419916401.1982,1784419917404,1784419917412.0,1784419917847.6536,1002.802,8.0,435.654,,1446.455
e-52,1784419916451.1855,1784419917404,1784419917413.0,1784419917847.6567,952.814,9.0,434.657,,1396.471
e-53,1784419916501.1719,1784419917404,1784419917413.0,1784419917847.6602,902.828,9.0,434.66,,1346.488
e-54,1784419916551.1753,1784419917404,1784419917413.0,1784419917847.661,852.825,9.0,434.661,,1296.486
e-55,1784419916601.1943,1784419917404,1784419917413.0,1784419917847.6616,802.806,9.0,434.662,,1246.467
e-56,1784419916651.1694,1784419917404,1784419917414.0,1784419917847.676,752.831,10.0,433.676,,1196.507
e-57,1784419916701.176,1784419917404,1784419917414.0,1784419917847.677,702.824,10.0,433.677,,1146.501
e-58,1784419916751.1782,1784419917404,1784419917414.0,1784419917847.678,652.822,10.0,433.678,,1096.5
e-59,1784419916801.1846,1784419917404,1784419917414.0,1784419917847.6787,602.815,10.0,433.679,,1046.494
e-60,1784419916851.1663,1784419917404,1784419917415.0,1784419917847.6792,552.834,11.0,432.679,,996.513
e-61,1784419916901.1487,1784419917404,1784419917415.0,1784419917847.68,502.851,11.0,432.68,,946.531
e-62,1784419916951.1482,1784419917404,1784419917415.0,1784419917847.6807,452.852,11.0,432.681,,896.532
e-63,1784419917001.1497,1784419917404,1784419917415.0,1784419917847.7004,402.85,11.0,432.7,,846.551
e-64,1784419917051.1484,1784419917404,1784419917415.0,1784419917847.7014,352.852,11.0,432.701,,796.553
e-65,1784419917101.1467,1784419917404,1784419917416.0,1784419917847.7026,302.853,12.0,431.703,,746.556
e-66,1784419917151.1519,1784419917404,1784419917416.0,1784419917847.7034,252.848,12.0,431.703,,696.552
e-67,1784419917201.1812,1784419917404,1784419917416.0,1784419917847.704,202.819,12.0,431.704,,646.523
e-68,1784419917251.147,1784419917404,1784419917416.0,1784419917847.7048,152.853,12.0,431.705,,596.558
e-69,1784419917301.1465,1784419917404,1784419917416.0,1784419917847.7056,102.854,12.0,431.706,,546.559
e-70,1784419917351.1675,1784419917404,1784419917416.0,1784419917847.7942,52.833,12.0,431.794,,496.627
e-71,1784419917401.1606,1784419917404,1784419917417.0,1784419917847.7969,2.839,13.0,430.797,,446.636
e-72,1784419917451.152,1784419918454,1784419918461.0,1784419918890.777,1002.848,7.0,429.777,,1439.625
e-73,1784419917501.1775,1784419918454,1784419918461.0,1784419918890.7805,952.823,7.0,429.781,,1389.603
e-74,1784419917551.1475,1784419918454,1784419918461.0,1784419918890.7817,902.853,7.0,429.782,,1339.634
e-75,1784419917601.185,1784419918454,1784419918461.0,1784419918890.7827,852.815,7.0,429.783,,1289.598
e-76,1784419917651.1494,1784419918454,1784419918461.0,1784419918890.7837,802.851,7.0,429.784,,1239.634
e-77,1784419917701.2063,1784419918454,1784419918461.0,1784419918890.8228,752.794,7.0,429.823,,1189.616
