event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784590964298.0085,1784590966651,1784590966689.0,1784590967344.6904,2352.991,38.0,655.69,,3046.682
e-1,1784590964348.1091,1784590966651,1784590966711.0,1784590967344.693,2302.891,60.0,633.693,,2996.584
e-2,1784590964398.0671,1784590966651,1784590966711.0,1784590967344.766,2252.933,60.0,633.766,,2946.699
e-3,1784590964448.0823,1784590966651,1784590966712.0,1784590967344.767,2202.918,61.0,632.767,,2896.685
e-4,1784590964498.0422,1784590966651,1784590966712.0,1784590967344.7676,2152.958,61.0,632.768,,2846.725
e-5,1784590964548.071,1784590966651,1784590966712.0,1784590967344.7717,2102.929,61.0,632.772,,2796.701
e-6,1784590964598.0676,1784590966651,1784590966712.0,1784590967344.7722,2052.932,61.0,632.772,,2746.705
e-7,1784590964648.0657,1784590966651,1784590966713.0,1784590967344.7764,2002.934,62.0,631.776,,2696.711
e-8,1784590964698.0679,1784590966651,1784590966713.0,1784590967344.7773,1952.932,62.0,631.777,,2646.709
e-9,1784590964748.075,1784590966651,1784590966713.0,1784590967344.778,1902.925,62.0,631.778,,2596.703
e-10,1784590964798.0718,1784590966651,1784590966713.0,1784590967344.7786,1852.928,62.0,631.779,,2546.707
e-11,1784590964848.076,1784590966651,1784590966714.0,1784590967344.779,1802.924,63.0,630.779,,2496.703
e-12,1784590964898.0686,1784590966651,1784590966714.0,1784590967344.7795,1752.931,63.0,630.78,,2446.711
e-13,1784590964948.0679,1784590966651,1784590966714.0,1784590967344.785,1702.932,63.0,630.785,,2396.717
e-14,1784590964998.074,1784590966651,1784590966714.0,1784590967344.788,1652.926,63.0,630.788,,2346.714
e-15,1784590965048.07,1784590966651,1784590966715.0,1784590967344.7886,1602.93,64.0,629.789,,2296.719
e-16,1784590965098.0713,1784590966651,1784590966715.0,1784590967344.792,1552.929,64.0,629.792,,2246.721
e-17,1784590965148.068,1784590966651,1784590966715.0,1784590967344.7947,1502.932,64.0,629.795,,2196.727
e-18,1784590965198.0776,1784590966651,1784590966715.0,1784590967344.838,1452.922,64.0,629.838,,2146.76
e-19,1784590965248.0715,1784590966651,1784590966716.0,1784590967344.8394,1402.928,65.0,628.839,,2096.768
e-20,1784590965298.0713,1784590966651,1784590966716.0,1784590967344.997,1352.929,65.0,628.997,,2046.926
e-21,1784590965348.0676,1784590966651,1784590966716.0,1784590967345.0002,1302.932,65.0,629.0,,1996.933
e-22,1784590965398.0693,1784590966651,1784590966717.0,1784590967345.0012,1252.931,66.0,628.001,,1946.932
e-23,1784590965448.0317,1784590966651,1784590966717.0,1784590967345.002,1202.968,66.0,628.002,,1896.97
e-24,1784590965498.0708,1784590966651,1784590966717.0,1784590967345.003,1152.929,66.0,628.003,,1846.932
e-25,1784590965548.0754,1784590966651,1784590966717.0,1784590967345.0203,1102.925,66.0,628.02,,1796.945
e-26,1784590965598.0737,1784590966651,1784590966718.0,1784590967345.0212,1052.926,67.0,627.021,,1746.948
e-27,1784590965648.0928,1784590966651,1784590966718.0,1784590967345.022,1002.907,67.0,627.022,,1696.929
e-28,1784590965698.0757,1784590966651,1784590966718.0,1784590967345.0227,952.924,67.0,627.023,,1646.947
e-29,1784590965748.071,1784590966651,1784590966718.0,1784590967345.0234,902.929,67.0,627.023,,1596.952
e-30,1784590965798.072,1784590966651,1784590966719.0,1784590967345.024,852.928,68.0,626.024,,1546.952
e-31,1784590965848.0728,1784590966651,1784590966719.0,1784590967345.0247,802.927,68.0,626.025,,1496.952
e-32,1784590965898.0732,1784590966651,1784590966719.0,1784590967345.0254,752.927,68.0,626.025,,1446.952
e-33,1784590965948.0735,1784590966651,1784590966719.0,1784590967345.0269,702.927,68.0,626.027,,1396.953
e-34,1784590965998.0742,1784590966651,1784590966720.0,1784590967345.0276,652.926,69.0,625.028,,1346.953
e-35,1784590966048.0762,1784590966651,1784590966720.0,1784590967345.064,602.924,69.0,625.064,,1296.988
e-36,1784590966098.072,1784590966651,1784590966720.0,1784590967345.065,552.928,69.0,625.065,,1246.993
e-37,1784590966148.0737,1784590966651,1784590966720.0,1784590967345.1262,502.926,69.0,625.126,,1197.052
e-38,1784590966198.0745,1784590966651,1784590966721.0,1784590967345.127,452.926,70.0,624.127,,1147.052
e-39,1784590966248.0706,1784590966651,1784590966721.0,1784590967345.1274,402.929,70.0,624.127,,1097.057
e-40,1784590966298.0745,1784590966651,1784590966721.0,1784590967345.1277,352.926,70.0,624.128,,1047.053
e-41,1784590966348.0713,1784590966651,1784590966721.0,1784590967345.2007,302.929,70.0,624.201,,997.129
e-42,1784590966398.0771,1784590966651,1784590966722.0,1784590967345.2021,252.923,71.0,623.202,,947.125
e-43,1784590966448.0728,1784590966651,1784590966722.0,1784590967345.2747,202.927,71.0,623.275,,897.202
e-44,1784590966498.073,1784590966651,1784590966722.0,1784590967345.2761,152.927,71.0,623.276,,847.203
e-45,1784590966548.0725,1784590966651,1784590966722.0,1784590967345.2769,102.927,71.0,623.277,,797.204
e-46,1784590966598.0764,1784590966651,1784590966722.0,1784590967345.2822,52.924,71.0,623.282,,747.206
e-47,1784590966648.0754,1784590967652,1784590967660.0,1784590968389.745,1003.925,8.0,729.745,,1741.67
e-48,1784590966698.0725,1784590967652,1784590967660.0,1784590968389.7478,953.927,8.0,729.748,,1691.675
e-49,1784590966748.0735,1784590967652,1784590967660.0,1784590968389.7485,903.927,8.0,729.749,,1641.675
e-50,1784590966798.07,1784590967652,1784590967660.0,1784590968389.749,853.93,8.0,729.749,,1591.679
e-51,1784590966848.0767,1784590967652,1784590967660.0,1784590968389.7495,803.923,8.0,729.75,,1541.673
e-52,1784590966898.0757,1784590967652,1784590967660.0,1784590968389.75,753.924,8.0,729.75,,1491.674
e-53,1784590966948.0728,1784590967652,1784590967660.0,1784590968389.7512,703.927,8.0,729.751,,1441.678
e-54,1784590966998.074,1784590967652,1784590967661.0,1784590968389.7517,653.926,9.0,728.752,,1391.678
e-55,1784590967048.0781,1784590967652,1784590967661.0,1784590968389.7654,603.922,9.0,728.765,,1341.687
e-56,1784590967098.073,1784590967652,1784590967661.0,1784590968389.7659,553.927,9.0,728.766,,1291.693
e-57,1784590967148.0762,1784590967652,1784590967661.0,1784590968389.7778,503.924,9.0,728.778,,1241.702
e-58,1784590967198.08,1784590967652,1784590967661.0,1784590968389.8425,453.92,9.0,728.843,,1191.762
e-59,1784590967248.0786,1784590967652,1784590967661.0,1784590968389.843,403.921,9.0,728.843,,1141.764
e-60,1784590967298.0786,1784590967652,1784590967661.0,1784590968389.8435,353.921,9.0,728.844,,1091.765
e-61,1784590967348.063,1784590967652,1784590967661.0,1784590968389.844,303.937,9.0,728.844,,1041.781
e-62,1784590967398.0745,1784590967652,1784590967662.0,1784590968389.8445,253.926,10.0,727.844,,991.77
e-63,1784590967448.0735,1784590967652,1784590967662.0,1784590968390.012,203.927,10.0,728.012,,941.938
e-64,1784590967498.0688,1784590967652,1784590967662.0,1784590968390.015,153.931,10.0,728.015,,891.946
e-65,1784590967548.0796,1784590967652,1784590967662.0,1784590968390.0168,103.92,10.0,728.017,,841.937
e-66,1784590967598.0713,1784590967652,1784590967662.0,1784590968390.032,53.929,10.0,728.032,,791.961
e-67,1784590967648.091,1784590967652,1784590967662.0,1784590968390.0325,3.909,10.0,728.032,,741.941
e-68,1784590967698.0728,1784590968701,1784590968707.0,1784590969442.0024,1002.927,6.0,735.002,,1743.93
e-69,1784590967748.0803,1784590968701,1784590968708.0,1784590969442.0056,952.92,7.0,734.006,,1693.925
e-70,1784590967798.0867,1784590968701,1784590968708.0,1784590969442.0066,902.913,7.0,734.007,,1643.92
e-71,1784590967848.0862,1784590968701,1784590968708.0,1784590969442.0073,852.914,7.0,734.007,,1593.921
e-72,1784590967898.08,1784590968701,1784590968709.0,1784590969442.0078,802.92,8.0,733.008,,1543.928
e-73,1784590967948.0725,1784590968701,1784590968709.0,1784590969442.0085,752.927,8.0,733.009,,1493.936
e-74,1784590967998.0754,1784590968701,1784590968709.0,1784590969442.0095,702.925,8.0,733.01,,1443.934
e-75,1784590968048.0774,1784590968701,1784590968709.0,1784590969442.0103,652.923,8.0,733.01,,1393.933
e-76,1784590968098.0723,1784590968701,1784590968709.0,1784590969442.011,602.928,8.0,733.011,,1343.939
e-77,1784590968148.0708,1784590968701,1784590968709.0,1784590969442.014,552.929,8.0,733.014,,1293.943
e-78,1784590968198.072,1784590968701,1784590968710.0,1784590969442.0437,502.928,9.0,732.044,,1243.972
e-79,1784590968248.0793,1784590968701,1784590968710.0,1784590969442.1372,452.921,9.0,732.137,,1194.058
e-80,1784590968298.0764,1784590968701,1784590968710.0,1784590969442.1384,402.924,9.0,732.138,,1144.062
e-81,1784590968348.0842,1784590968701,1784590968710.0,1784590969442.1392,352.916,9.0,732.139,,1094.055
e-82,1784590968398.064,1784590968701,1784590968710.0,1784590969442.14,302.936,9.0,732.14,,1044.076
e-83,1784590968448.0737,1784590968701,1784590968711.0,1784590969442.1404,252.926,10.0,731.14,,994.067
e-84,1784590968498.0713,1784590968701,1784590968711.0,1784590969442.141,202.929,10.0,731.141,,944.07
e-85,1784590968548.0737,1784590968701,1784590968711.0,1784590969442.19,152.926,10.0,731.19,,894.116
e-86,1784590968598.0752,1784590968701,1784590968711.0,1784590969442.191,102.925,10.0,731.191,,844.116
e-87,1784590968648.0784,1784590968701,1784590968711.0,1784590969442.1917,52.922,10.0,731.192,,794.113
e-88,1784590968698.0732,1784590968701,1784590968711.0,1784590969442.1921,2.927,10.0,731.192,,744.119
e-89,1784590968748.075,1784590969751,1784590969758.0,1784590970489.3813,1002.925,7.0,731.381,,1741.306
e-90,1784590968798.0693,1784590969751,1784590969759.0,1784590970489.385,952.931,8.0,730.385,,1691.316
e-91,1784590968848.075,1784590969751,1784590969759.0,1784590970489.386,902.925,8.0,730.386,,1641.311
e-92,1784590968898.072,1784590969751,1784590969759.0,1784590970489.387,852.928,8.0,730.387,,1591.315
e-93,1784590968948.0706,1784590969751,1784590969759.0,1784590970489.4067,802.929,8.0,730.407,,1541.336
e-94,1784590968998.071,1784590969751,1784590969760.0,1784590970489.4075,752.929,9.0,729.407,,1491.336
e-95,1784590969048.0713,1784590969751,1784590969760.0,1784590970489.4082,702.929,9.0,729.408,,1441.337
e-96,1784590969098.073,1784590969751,1784590969760.0,1784590970489.409,652.927,9.0,729.409,,1391.336
e-97,1784590969148.0737,1784590969751,1784590969760.0,1784590970489.4094,602.926,9.0,729.409,,1341.336
e-98,1784590969198.0793,1784590969751,1784590969760.0,1784590970489.4102,552.921,9.0,729.41,,1291.331
e-99,1784590969248.071,1784590969751,1784590969761.0,1784590970489.424,502.929,10.0,728.424,,1241.353
e-100,1784590969298.0679,1784590969751,1784590969761.0,1784590970489.4248,452.932,10.0,728.425,,1191.357
e-101,1784590969348.0742,1784590969751,1784590969761.0,1784590970489.4255,402.926,10.0,728.426,,1141.351
e-102,1784590969398.07,1784590969751,1784590969761.0,1784590970489.426,352.93,10.0,728.426,,1091.356
e-103,1784590969448.076,1784590969751,1784590969761.0,1784590970489.531,302.924,10.0,728.531,,1041.455
e-104,1784590969498.0698,1784590969751,1784590969762.0,1784590970489.5327,252.93,11.0,727.533,,991.463
e-105,1784590969548.0698,1784590969751,1784590969762.0,1784590970489.5334,202.93,11.0,727.533,,941.464
e-106,1784590969598.045,1784590969751,1784590969762.0,1784590970489.5342,152.955,11.0,727.534,,891.489
