event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784416985709.6272,1784416988183,1784416988212.0,1784416988623.372,2473.373,29.0,411.372,,2913.745
e-1,1784416985758.7888,1784416988183,1784416988231.0,1784416988623.3774,2424.211,48.0,392.377,,2864.589
e-2,1784416985808.8037,1784416988183,1784416988232.0,1784416988623.379,2374.196,49.0,391.379,,2814.575
e-3,1784416985858.8225,1784416988183,1784416988232.0,1784416988623.38,2324.177,49.0,391.38,,2764.557
e-4,1784416985908.8098,1784416988183,1784416988232.0,1784416988623.3809,2274.19,49.0,391.381,,2714.571
e-5,1784416985958.8142,1784416988183,1784416988232.0,1784416988623.382,2224.186,49.0,391.382,,2664.568
e-6,1784416986008.809,1784416988183,1784416988232.0,1784416988623.383,2174.191,49.0,391.383,,2614.574
e-7,1784416986058.8188,1784416988183,1784416988232.0,1784416988623.389,2124.181,49.0,391.389,,2564.57
e-8,1784416986108.8103,1784416988183,1784416988233.0,1784416988623.3906,2074.19,50.0,390.391,,2514.58
e-9,1784416986158.816,1784416988183,1784416988233.0,1784416988623.3918,2024.184,50.0,390.392,,2464.576
e-10,1784416986208.8008,1784416988183,1784416988233.0,1784416988623.3926,1974.199,50.0,390.393,,2414.592
e-11,1784416986258.81,1784416988183,1784416988233.0,1784416988623.393,1924.19,50.0,390.393,,2364.583
e-12,1784416986308.8113,1784416988183,1784416988233.0,1784416988623.4104,1874.189,50.0,390.41,,2314.599
e-13,1784416986358.974,1784416988183,1784416988233.0,1784416988623.4246,1824.026,50.0,390.425,,2264.45
e-14,1784416986408.836,1784416988183,1784416988234.0,1784416988623.4255,1774.164,51.0,389.426,,2214.59
e-15,1784416986458.8323,1784416988183,1784416988234.0,1784416988623.4263,1724.168,51.0,389.426,,2164.594
e-16,1784416986508.8123,1784416988183,1784416988234.0,1784416988623.4268,1674.188,51.0,389.427,,2114.615
e-17,1784416986558.8064,1784416988183,1784416988234.0,1784416988623.4277,1624.194,51.0,389.428,,2064.621
e-18,1784416986608.803,1784416988183,1784416988234.0,1784416988623.4285,1574.197,51.0,389.428,,2014.625
e-19,1784416986658.9734,1784416988183,1784416988234.0,1784416988623.4292,1524.027,51.0,389.429,,1964.456
e-20,1784416986708.801,1784416988183,1784416988234.0,1784416988623.4297,1474.199,51.0,389.43,,1914.629
e-21,1784416986758.8062,1784416988183,1784416988235.0,1784416988623.4304,1424.194,52.0,388.43,,1864.624
e-22,1784416986808.8042,1784416988183,1784416988235.0,1784416988623.431,1374.196,52.0,388.431,,1814.627
e-23,1784416986858.8074,1784416988183,1784416988235.0,1784416988623.4314,1324.193,52.0,388.431,,1764.624
e-24,1784416986908.8093,1784416988183,1784416988235.0,1784416988623.4321,1274.191,52.0,388.432,,1714.623
