event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784546208810.7517,1784546211204,1784546211245.0,1784546212071.0825,2393.248,41.0,826.083,,3260.331
e-1,1784546208860.8193,1784546211204,1784546211271.0,1784546212071.0857,2343.181,67.0,800.086,,3210.266
e-2,1784546208910.8242,1784546211204,1784546211271.0,1784546212071.0862,2293.176,67.0,800.086,,3160.262
e-3,1784546208960.8276,1784546211204,1784546211272.0,1784546212071.0867,2243.172,68.0,799.087,,3110.259
e-4,1784546209010.8203,1784546211204,1784546211272.0,1784546212071.087,2193.18,68.0,799.087,,3060.267
e-5,1784546209060.812,1784546211204,1784546211272.0,1784546212071.0874,2143.188,68.0,799.087,,3010.275
e-6,1784546209110.812,1784546211204,1784546211273.0,1784546212071.0876,2093.188,69.0,798.088,,2960.276
e-7,1784546209160.8232,1784546211204,1784546211273.0,1784546212071.0916,2043.177,69.0,798.092,,2910.268
e-8,1784546209210.8179,1784546211204,1784546211273.0,1784546212071.092,1993.182,69.0,798.092,,2860.274
e-9,1784546209260.8171,1784546211204,1784546211273.0,1784546212071.0925,1943.183,69.0,798.093,,2810.275
e-10,1784546209310.8208,1784546211204,1784546211274.0,1784546212071.0928,1893.179,70.0,797.093,,2760.272
e-11,1784546209360.8176,1784546211204,1784546211274.0,1784546212071.093,1843.182,70.0,797.093,,2710.275
e-12,1784546209410.8413,1784546211204,1784546211274.0,1784546212071.0933,1793.159,70.0,797.093,,2660.252
e-13,1784546209460.8206,1784546211204,1784546211274.0,1784546212071.1067,1743.179,70.0,797.107,,2610.286
e-14,1784546209510.8225,1784546211204,1784546211274.0,1784546212071.1072,1693.177,70.0,797.107,,2560.285
e-15,1784546209560.822,1784546211204,1784546211275.0,1784546212071.1074,1643.178,71.0,796.107,,2510.285
e-16,1784546209610.8186,1784546211204,1784546211275.0,1784546212071.1077,1593.181,71.0,796.108,,2460.289
e-17,1784546209660.835,1784546211204,1784546211275.0,1784546212071.1106,1543.165,71.0,796.111,,2410.276
e-18,1784546209710.818,1784546211204,1784546211275.0,1784546212071.1108,1493.182,71.0,796.111,,2360.293
