event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784554164192.8367,1784554166590,1784554166617.0,1784554167292.802,2397.163,27.0,675.802,,3099.965
e-1,1784554164242.9153,1784554166590,1784554166645.0,1784554167292.8066,2347.085,55.0,647.807,,3049.891
e-2,1784554164292.902,1784554166590,1784554166646.0,1784554167292.808,2297.098,56.0,646.808,,2999.906
e-3,1784554164342.9026,1784554166590,1784554166646.0,1784554167292.809,2247.097,56.0,646.809,,2949.906
e-4,1784554164392.8965,1784554166590,1784554166646.0,1784554167292.8103,2197.104,56.0,646.81,,2899.914
e-5,1784554164442.8945,1784554166590,1784554166646.0,1784554167292.8115,2147.105,56.0,646.812,,2849.917
e-6,1784554164492.902,1784554166590,1784554166647.0,1784554167292.8125,2097.098,57.0,645.812,,2799.91
e-7,1784554164542.893,1784554166590,1784554166647.0,1784554167292.818,2047.107,57.0,645.818,,2749.925
e-8,1784554164592.9045,1784554166590,1784554166647.0,1784554167292.8198,1997.095,57.0,645.82,,2699.915
e-9,1784554164642.8972,1784554166590,1784554166647.0,1784554167292.821,1947.103,57.0,645.821,,2649.924
e-10,1784554164692.8923,1784554166590,1784554166648.0,1784554167292.8218,1897.108,58.0,644.822,,2599.929
e-11,1784554164742.9065,1784554166590,1784554166648.0,1784554167292.8225,1847.094,58.0,644.823,,2549.916
e-12,1784554164792.8994,1784554166590,1784554166648.0,1784554167292.839,1797.101,58.0,644.839,,2499.94
e-13,1784554164842.9062,1784554166590,1784554166648.0,1784554167292.8398,1747.094,58.0,644.84,,2449.934
e-14,1784554164892.9082,1784554166590,1784554166648.0,1784554167292.847,1697.092,58.0,644.847,,2399.939
e-15,1784554164942.9048,1784554166590,1784554166649.0,1784554167292.8477,1647.095,59.0,643.848,,2349.943
e-16,1784554164992.8948,1784554166590,1784554166649.0,1784554167292.8484,1597.105,59.0,643.848,,2299.954
e-17,1784554165042.9033,1784554166590,1784554166649.0,1784554167292.8604,1547.097,59.0,643.86,,2249.957
e-18,1784554165092.8977,1784554166590,1784554166649.0,1784554167292.861,1497.102,59.0,643.861,,2199.963
e-19,1784554165142.8972,1784554166590,1784554166650.0,1784554167292.8618,1447.103,60.0,642.862,,2149.965
e-20,1784554165192.9016,1784554166590,1784554166650.0,1784554167292.8625,1397.098,60.0,642.863,,2099.961
e-21,1784554165242.9004,1784554166590,1784554166650.0,1784554167292.869,1347.1,60.0,642.869,,2049.969
e-22,1784554165292.8948,1784554166590,1784554166650.0,1784554167292.8752,1297.105,60.0,642.875,,1999.98
e-23,1784554165342.896,1784554166590,1784554166651.0,1784554167292.876,1247.104,61.0,641.876,,1949.98
e-24,1784554165392.8987,1784554166590,1784554166651.0,1784554167292.9854,1197.101,61.0,641.985,,1900.087
e-25,1784554165442.9036,1784554166590,1784554166651.0,1784554167292.987,1147.096,61.0,641.987,,1850.083
e-26,1784554165492.904,1784554166590,1784554166651.0,1784554167292.9878,1097.096,61.0,641.988,,1800.084
