event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784302896697.9824,1784302899272,1784302899285.0,1784302899666.2632,2574.018,13.0,381.263,2968.281
e-1,1784302896747.6445,1784302899272,1784302899301.0,1784302899666.2651,2524.355,29.0,365.265,2918.621
e-2,1784302896797.3616,1784302899272,1784302899301.0,1784302899666.266,2474.638,29.0,365.266,2868.905
e-3,1784302896847.3499,1784302899272,1784302899301.0,1784302899666.2666,2424.65,29.0,365.267,2818.917
e-4,1784302896897.3591,1784302899272,1784302899302.0,1784302899666.2668,2374.641,30.0,364.267,2768.908
e-5,1784302896947.3584,1784302899272,1784302899302.0,1784302899666.2673,2324.642,30.0,364.267,2718.909
e-6,1784302896997.3704,1784302899272,1784302899302.0,1784302899666.2676,2274.63,30.0,364.268,2668.897
e-7,1784302897047.3733,1784302899272,1784302899302.0,1784302899666.2712,2224.627,30.0,364.271,2618.898
e-8,1784302897097.37,1784302899272,1784302899302.0,1784302899666.2717,2174.63,30.0,364.272,2568.902
e-9,1784302897147.3584,1784302899272,1784302899302.0,1784302899666.2722,2124.642,30.0,364.272,2518.914
e-10,1784302897197.3577,1784302899272,1784302899302.0,1784302899666.2725,2074.642,30.0,364.272,2468.915
e-11,1784302897247.365,1784302899272,1784302899303.0,1784302899666.2727,2024.635,31.0,363.273,2418.908
e-12,1784302897297.3608,1784302899272,1784302899303.0,1784302899666.273,1974.639,31.0,363.273,2368.912
e-13,1784302897347.3472,1784302899272,1784302899303.0,1784302899666.2776,1924.653,31.0,363.278,2318.93
e-14,1784302897397.3806,1784302899272,1784302899303.0,1784302899666.2778,1874.619,31.0,363.278,2268.897
e-15,1784302897447.3723,1784302899272,1784302899303.0,1784302899666.278,1824.628,31.0,363.278,2218.906
e-16,1784302897497.362,1784302899272,1784302899303.0,1784302899666.2783,1774.638,31.0,363.278,2168.916
e-17,1784302897547.37,1784302899272,1784302899303.0,1784302899666.2869,1724.63,31.0,363.287,2118.917
e-18,1784302897597.3672,1784302899272,1784302899303.0,1784302899666.287,1674.633,31.0,363.287,2068.92
e-19,1784302897647.3596,1784302899272,1784302899304.0,1784302899666.2874,1624.64,32.0,362.287,2018.928
e-20,1784302897697.3591,1784302899272,1784302899304.0,1784302899666.2876,1574.641,32.0,362.288,1968.928
e-21,1784302897747.3337,1784302899272,1784302899304.0,1784302899666.2878,1524.666,32.0,362.288,1918.954
e-22,1784302897797.3413,1784302899272,1784302899304.0,1784302899666.288,1474.659,32.0,362.288,1868.947
e-23,1784302897847.3633,1784302899272,1784302899304.0,1784302899666.3306,1424.637,32.0,362.331,1818.967
e-24,1784302897897.3635,1784302899272,1784302899304.0,1784302899666.331,1374.636,32.0,362.331,1768.968
e-25,1784302897947.3735,1784302899272,1784302899304.0,1784302899666.332,1324.626,32.0,362.332,1718.958
e-26,1784302897997.3694,1784302899272,1784302899305.0,1784302899666.3323,1274.631,33.0,361.332,1668.963
e-27,1784302898047.3728,1784302899272,1784302899305.0,1784302899666.3328,1224.627,33.0,361.333,1618.96
e-28,1784302898097.3696,1784302899272,1784302899305.0,1784302899666.333,1174.63,33.0,361.333,1568.963
e-29,1784302898147.3525,1784302899272,1784302899305.0,1784302899666.3335,1124.647,33.0,361.333,1518.981
e-30,1784302898197.3691,1784302899272,1784302899305.0,1784302899666.3337,1074.631,33.0,361.334,1468.965
e-31,1784302898247.4092,1784302899272,1784302899305.0,1784302899666.3342,1024.591,33.0,361.334,1418.925
e-32,1784302898297.3513,1784302899272,1784302899305.0,1784302899666.3345,974.649,33.0,361.334,1368.983
