event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784302361214.4033,1784302363733,1784302363752.0,1784302364081.4832,2518.597,19.0,329.483,2867.08
e-1,1784302361263.685,1784302363733,1784302363775.0,1784302364081.4868,2469.315,42.0,306.487,2817.802
e-2,1784302361313.6711,1784302363733,1784302363775.0,1784302364081.4878,2419.329,42.0,306.488,2767.817
e-3,1784302361363.685,1784302363733,1784302363776.0,1784302364081.4883,2369.315,43.0,305.488,2717.803
e-4,1784302361413.6648,1784302363733,1784302363776.0,1784302364081.489,2319.335,43.0,305.489,2667.824
e-5,1784302361463.6653,1784302363733,1784302363776.0,1784302364081.4895,2269.335,43.0,305.49,2617.824
e-6,1784302361513.677,1784302363733,1784302363777.0,1784302364081.49,2219.323,44.0,304.49,2567.813
e-7,1784302361563.6738,1784302363733,1784302363777.0,1784302364081.4944,2169.326,44.0,304.494,2517.821
e-8,1784302361613.6614,1784302363733,1784302363777.0,1784302364081.495,2119.339,44.0,304.495,2467.834
e-9,1784302361663.6636,1784302363733,1784302363777.0,1784302364081.5117,2069.336,44.0,304.512,2417.848
e-10,1784302361713.6936,1784302363733,1784302363778.0,1784302364081.5122,2019.306,45.0,303.512,2367.819
e-11,1784302361763.7012,1784302363733,1784302363778.0,1784302364081.5125,1969.299,45.0,303.512,2317.811
e-12,1784302361813.7197,1784302363733,1784302363778.0,1784302364081.5127,1919.28,45.0,303.513,2267.793
e-13,1784302361863.7031,1784302363733,1784302363779.0,1784302364081.517,1869.297,46.0,302.517,2217.814
e-14,1784302361913.682,1784302363733,1784302363779.0,1784302364081.5173,1819.318,46.0,302.517,2167.835
e-15,1784302361963.6792,1784302363733,1784302363779.0,1784302364081.5176,1769.321,46.0,302.518,2117.838
e-16,1784302362013.6746,1784302363733,1784302363779.0,1784302364081.518,1719.325,46.0,302.518,2067.844
e-17,1784302362063.6868,1784302363733,1784302363780.0,1784302364081.5183,1669.313,47.0,301.518,2017.832
e-18,1784302362113.6812,1784302363733,1784302363780.0,1784302364081.5188,1619.319,47.0,301.519,1967.838
e-19,1784302362163.6829,1784302363733,1784302363780.0,1784302364081.519,1569.317,47.0,301.519,1917.836
e-20,1784302362213.6816,1784302363733,1784302363780.0,1784302364081.5193,1519.318,47.0,301.519,1867.838
e-21,1784302362263.68,1784302363733,1784302363781.0,1784302364081.5195,1469.32,48.0,300.52,1817.84
e-22,1784302362313.6736,1784302363733,1784302363781.0,1784302364081.5198,1419.326,48.0,300.52,1767.846
