event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784572445316.086,1784572447671,1784572447703.0,1784572448347.8293,2354.914,32.0,644.829,,3031.743
e-1,1784572445366.1794,1784572447671,1784572447730.0,1784572448347.8333,2304.821,59.0,617.833,,2981.654
e-2,1784572445416.1526,1784572447671,1784572447730.0,1784572448347.834,2254.847,59.0,617.834,,2931.681
e-3,1784572445466.3396,1784572447671,1784572447731.0,1784572448347.8347,2204.66,60.0,616.835,,2881.495
e-4,1784572445516.647,1784572447671,1784572447731.0,1784572448347.8352,2154.353,60.0,616.835,,2831.188
e-5,1784572445566.1504,1784572447671,1784572447732.0,1784572448347.836,2104.85,61.0,615.836,,2781.686
e-6,1784572445616.1492,1784572447671,1784572447732.0,1784572448347.8367,2054.851,61.0,615.837,,2731.688
e-7,1784572445666.1516,1784572447671,1784572447732.0,1784572448347.8416,2004.848,61.0,615.842,,2681.69
e-8,1784572445716.1482,1784572447671,1784572447732.0,1784572448347.8428,1954.852,61.0,615.843,,2631.695
e-9,1784572445766.1501,1784572447671,1784572447733.0,1784572448347.8435,1904.85,62.0,614.844,,2581.693
e-10,1784572445816.1804,1784572447671,1784572447733.0,1784572448347.8438,1854.82,62.0,614.844,,2531.663
e-11,1784572445866.1592,1784572447671,1784572447733.0,1784572448347.8442,1804.841,62.0,614.844,,2481.685
e-12,1784572445916.1519,1784572447671,1784572447734.0,1784572448347.8445,1754.848,63.0,613.844,,2431.693
e-13,1784572445966.1511,1784572447671,1784572447734.0,1784572448347.845,1704.849,63.0,613.845,,2381.694
e-14,1784572446016.1504,1784572447671,1784572447734.0,1784572448347.8499,1654.85,63.0,613.85,,2331.699
e-15,1784572446066.1538,1784572447671,1784572447735.0,1784572448347.8503,1604.846,64.0,612.85,,2281.697
e-16,1784572446116.162,1784572447671,1784572447735.0,1784572448347.8506,1554.838,64.0,612.851,,2231.688
e-17,1784572446166.166,1784572447671,1784572447735.0,1784572448347.851,1504.834,64.0,612.851,,2181.685
e-18,1784572446216.1543,1784572447671,1784572447736.0,1784572448347.8513,1454.846,65.0,611.851,,2131.697
