event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784420298165.4622,1784420300683,1784420300724.0,1784420301143.3618,2517.538,41.0,419.362,,2977.9
e-1,1784420298212.2383,1784420300683,1784420300748.0,1784420301143.3647,2470.762,65.0,395.365,,2931.126
e-2,1784420298264.5261,1784420300683,1784420300748.0,1784420301143.3657,2418.474,65.0,395.366,,2878.84
e-3,1784420298311.6582,1784420300683,1784420300748.0,1784420301143.3662,2371.342,65.0,395.366,,2831.708
e-4,1784420298361.6616,1784420300683,1784420300748.0,1784420301143.3665,2321.338,65.0,395.366,,2781.705
e-5,1784420298411.655,1784420300683,1784420300748.0,1784420301143.367,2271.345,65.0,395.367,,2731.712
e-6,1784420298461.6511,1784420300683,1784420300749.0,1784420301143.3674,2221.349,66.0,394.367,,2681.716
e-7,1784420298511.662,1784420300683,1784420300749.0,1784420301143.371,2171.338,66.0,394.371,,2631.709
e-8,1784420298561.6619,1784420300683,1784420300749.0,1784420301143.3718,2121.338,66.0,394.372,,2581.71
e-9,1784420298611.6533,1784420300683,1784420300749.0,1784420301143.3818,2071.347,66.0,394.382,,2531.729
e-10,1784420298661.659,1784420300683,1784420300749.0,1784420301143.382,2021.341,66.0,394.382,,2481.723
e-11,1784420298711.654,1784420300683,1784420300749.0,1784420301143.3826,1971.346,66.0,394.383,,2431.729
e-12,1784420298761.6528,1784420300683,1784420300750.0,1784420301143.3828,1921.347,67.0,393.383,,2381.73
e-13,1784420298811.6694,1784420300683,1784420300750.0,1784420301143.386,1871.331,67.0,393.386,,2331.717
e-14,1784420298861.707,1784420300683,1784420300750.0,1784420301143.3862,1821.293,67.0,393.386,,2281.679
e-15,1784420298911.6616,1784420300683,1784420300750.0,1784420301143.3865,1771.338,67.0,393.386,,2231.725
e-16,1784420298961.66,1784420300683,1784420300750.0,1784420301143.3867,1721.34,67.0,393.387,,2181.727
