event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784562063738.191,1784562066147,1784562066182.0,1784562067124.0234,2408.809,35.0,942.023,,3385.833
e-1,1784562063788.2725,1784562066147,1784562066212.0,1784562067124.027,2358.728,65.0,912.027,,3335.755
e-2,1784562063838.2466,1784562066147,1784562066213.0,1784562067124.0278,2308.753,66.0,911.028,,3285.781
e-3,1784562063888.2568,1784562066147,1784562066213.0,1784562067124.0283,2258.743,66.0,911.028,,3235.771
e-4,1784562063938.2527,1784562066147,1784562066213.0,1784562067124.029,2208.747,66.0,911.029,,3185.776
e-5,1784562063988.2524,1784562066147,1784562066214.0,1784562067124.0295,2158.748,67.0,910.03,,3135.777
e-6,1784562064038.2473,1784562066147,1784562066214.0,1784562067124.03,2108.753,67.0,910.03,,3085.783
e-7,1784562064088.2466,1784562066147,1784562066214.0,1784562067124.0347,2058.753,67.0,910.035,,3035.788
e-8,1784562064138.2495,1784562066147,1784562066214.0,1784562067124.0356,2008.75,67.0,910.036,,2985.786
e-9,1784562064188.2466,1784562066147,1784562066215.0,1784562067124.0415,1958.753,68.0,909.042,,2935.795
e-10,1784562064238.2588,1784562066147,1784562066215.0,1784562067124.0417,1908.741,68.0,909.042,,2885.783
e-11,1784562064288.2544,1784562066147,1784562066215.0,1784562067124.042,1858.746,68.0,909.042,,2835.788
e-12,1784562064338.2527,1784562066147,1784562066216.0,1784562067124.0425,1808.747,69.0,908.042,,2785.79
e-13,1784562064388.26,1784562066147,1784562066216.0,1784562067124.0427,1758.74,69.0,908.043,,2735.783
e-14,1784562064438.2563,1784562066147,1784562066216.0,1784562067124.0554,1708.744,69.0,908.055,,2685.799
e-15,1784562064488.249,1784562066147,1784562066217.0,1784562067124.056,1658.751,70.0,907.056,,2635.807
e-16,1784562064538.2515,1784562066147,1784562066217.0,1784562067124.0564,1608.749,70.0,907.056,,2585.805
e-17,1784562064588.2512,1784562066147,1784562066217.0,1784562067124.0566,1558.749,70.0,907.057,,2535.805
e-18,1784562064638.2473,1784562066147,1784562066217.0,1784562067124.0571,1508.753,70.0,907.057,,2485.81
e-19,1784562064688.2524,1784562066147,1784562066217.0,1784562067124.0574,1458.748,70.0,907.057,,2435.805
e-20,1784562064738.2617,1784562066147,1784562066218.0,1784562067124.0576,1408.738,71.0,906.058,,2385.796
