event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784415917769.63,1784415917921,1784415921629.0,1784415921725.827,151.37,3708.0,96.827,1784415261629.0,3956.197
ss-1-60000,1784415919269.6282,1784415919971,1784415921638.0,1784415921725.8318,701.372,1667.0,87.832,1784415261638.0,2456.204
ss-10-60000,1784415914969.6624,1784415915870,1784415921638.0,1784415921725.8337,900.338,5768.0,87.834,1784415261638.0,6756.171
ss-11-60000,1784415916469.6106,1784415916871,1784415921638.0,1784415921725.835,401.389,4767.0,87.835,1784415261638.0,5256.224
ss-12-60000,1784415902869.611,1784415903373,1784415921639.0,1784415921725.8364,503.389,18266.0,86.836,1784415261639.0,18856.225
ss-13-60000,1784415918019.6125,1784415918921,1784415921639.0,1784415921725.8381,901.387,2718.0,86.838,1784415261639.0,3706.226
ss-14-60000,1784415918919.629,1784415918921,1784415921639.0,1784415921725.8396,1.371,2718.0,86.84,1784415261639.0,2806.211
ss-15-60000,1784415915869.63,1784415916871,1784415921639.0,1784415921725.8462,1001.37,4768.0,86.846,1784415261639.0,5856.216
ss-16-60000,1784415918719.616,1784415918921,1784415921639.0,1784415921725.8481,201.384,2718.0,86.848,1784415261639.0,3006.232
ss-17-60000,1784415916269.6445,1784415916871,1784415921639.0,1784415921725.8496,601.355,4768.0,86.85,1784415261639.0,5456.205
ss-18-60000,1784415913369.6206,1784415913771,1784415921639.0,1784415921725.8677,401.379,7868.0,86.868,1784415261639.0,8356.247
ss-19-60000,1784415918069.6335,1784415918921,1784415921639.0,1784415921725.8687,851.366,2718.0,86.869,1784415261639.0,3656.235
ss-2-60000,1784415917519.656,1784415917921,1784415921639.0,1784415921725.8699,401.344,3718.0,86.87,1784415261639.0,4206.214
ss-20-60000,1784415907469.6304,1784415907521,1784415921639.0,1784415921725.8706,51.37,14118.0,86.871,1784415261639.0,14256.24
ss-21-60000,1784415915369.6118,1784415915870,1784415921639.0,1784415921726.3813,500.388,5769.0,87.381,1784415261639.0,6356.77
ss-22-60000,1784415905769.62,1784415906472,1784415921639.0,1784415921726.3835,702.38,15167.0,87.384,1784415261639.0,15956.763
ss-23-60000,1784415900519.6086,1784415901321,1784415921639.0,1784415921726.3845,801.391,20318.0,87.385,1784415261639.0,21206.776
ss-24-60000,1784415916319.6243,1784415916871,1784415921640.0,1784415921726.386,551.376,4769.0,86.386,1784415261640.0,5406.762
ss-25-60000,1784415913719.6326,1784415913771,1784415921640.0,1784415921726.393,51.367,7869.0,86.393,1784415261640.0,8006.76
ss-26-60000,1784415914919.6467,1784415915870,1784415921640.0,1784415921726.394,950.353,5770.0,86.394,1784415261640.0,6806.747
ss-27-60000,1784415917219.6465,1784415917921,1784415921640.0,1784415921726.395,701.354,3719.0,86.395,1784415261640.0,4506.749
ss-28-60000,1784415919169.618,1784415919971,1784415921640.0,1784415921726.3958,801.382,1669.0,86.396,1784415261640.0,2556.778
ss-29-60000,1784415909719.6162,1784415910621,1784415921640.0,1784415921726.3967,901.384,11019.0,86.397,1784415261640.0,12006.781
ss-3-60000,1784415914719.6262,1784415914821,1784415921640.0,1784415921726.3975,101.374,6819.0,86.397,1784415261640.0,7006.771
ss-30-60000,1784415916519.6072,1784415916871,1784415921640.0,1784415921726.3984,351.393,4769.0,86.398,1784415261640.0,5206.791
ss-31-60000,1784415917319.657,1784415917921,1784415921640.0,1784415921726.3994,601.343,3719.0,86.399,1784415261640.0,4406.742
ss-32-60000,1784415918769.6396,1784415918921,1784415921640.0,1784415921726.4001,151.36,2719.0,86.4,1784415261640.0,2956.76
ss-33-60000,1784415916569.6116,1784415916871,1784415921640.0,1784415921726.4016,301.388,4769.0,86.402,1784415261640.0,5156.79
ss-34-60000,1784415917269.6167,1784415917921,1784415921640.0,1784415921726.4026,651.383,3719.0,86.403,1784415261640.0,4456.786
ss-35-60000,1784415917019.6523,1784415917921,1784415921640.0,1784415921726.4033,901.348,3719.0,86.403,1784415261640.0,4706.751
ss-36-60000,1784415915469.6143,1784415915870,1784415921641.0,1784415921726.404,400.386,5771.0,85.404,1784415261641.0,6256.79
ss-37-60000,1784415912269.6255,1784415912721,1784415921641.0,1784415921726.405,451.375,8920.0,85.405,1784415261641.0,9456.78
ss-38-60000,1784415919319.6084,1784415919971,1784415921641.0,1784415921726.4058,651.392,1670.0,85.406,1784415261641.0,2406.797
ss-39-60000,1784415917469.6318,1784415917921,1784415921641.0,1784415921726.407,451.368,3720.0,85.407,1784415261641.0,4256.775
ss-4-60000,1784415918619.624,1784415918921,1784415921641.0,1784415921726.408,301.376,2720.0,85.408,1784415261641.0,3106.784
ss-40-60000,1784415913469.6238,1784415913771,1784415921641.0,1784415921726.4087,301.376,7870.0,85.409,1784415261641.0,8256.785
ss-41-60000,1784415913569.6204,1784415913771,1784415921641.0,1784415921726.414,201.38,7870.0,85.414,1784415261641.0,8156.794
ss-42-60000,1784415916169.6125,1784415916871,1784415921641.0,1784415921726.415,701.387,4770.0,85.415,1784415261641.0,5556.802
ss-43-60000,1784415916919.6064,1784415917921,1784415921641.0,1784415921726.4158,1001.394,3720.0,85.416,1784415261641.0,4806.809
ss-44-60000,1784415913419.6147,1784415913771,1784415921641.0,1784415921726.4165,351.385,7870.0,85.417,1784415261641.0,8306.802
ss-45-60000,1784415907819.6326,1784415908571,1784415921641.0,1784415921726.4172,751.367,13070.0,85.417,1784415261641.0,13906.785
ss-46-60000,1784415917069.643,1784415917921,1784415921641.0,1784415921726.4187,851.357,3720.0,85.419,1784415261641.0,4656.776
ss-47-60000,1784415914619.6162,1784415914821,1784415921641.0,1784415921726.4197,201.384,6820.0,85.42,1784415261641.0,7106.803
ss-48-60000,1784415916869.6096,1784415916871,1784415921641.0,1784415921726.4204,1.39,4770.0,85.42,1784415261641.0,4856.811
ss-49-60000,1784415919119.638,1784415919971,1784415921641.0,1784415921726.4211,851.362,1670.0,85.421,1784415261641.0,2606.783
ss-5-60000,1784415918469.6274,1784415918921,1784415921642.0,1784415921726.4219,451.373,2721.0,84.422,1784415261642.0,3256.794
ss-50-60000,1784415917819.6243,1784415917921,1784415921642.0,1784415921726.4226,101.376,3721.0,84.423,1784415261642.0,3906.798
ss-51-60000,1784415917369.6638,1784415917921,1784415921642.0,1784415921726.4233,551.336,3721.0,84.423,1784415261642.0,4356.76
ss-52-60000,1784415916769.6265,1784415916871,1784415921642.0,1784415921726.424,101.374,4771.0,84.424,1784415261642.0,4956.798
ss-53-60000,1784415915419.611,1784415915870,1784415921642.0,1784415921726.4246,450.389,5772.0,84.425,1784415261642.0,6306.813
ss-54-60000,1784415914669.6174,1784415914821,1784415921642.0,1784415921726.4253,151.383,6821.0,84.425,1784415261642.0,7056.808
ss-55-60000,1784415893669.625,1784415894022,1784415921642.0,1784415921726.426,352.375,27620.0,84.426,1784415261642.0,28056.801
ss-56-60000,1784415903469.6223,1784415904422,1784415921642.0,1784415921726.4268,952.378,17220.0,84.427,1784415261642.0,18256.804
ss-57-60000,1784415917969.612,1784415918921,1784415921642.0,1784415921726.428,951.388,2721.0,84.428,1784415261642.0,3756.816
ss-58-60000,1784415918369.617,1784415918921,1784415921642.0,1784415921726.4287,551.383,2721.0,84.429,1784415261642.0,3356.812
ss-59-60000,1784415917919.6187,1784415918921,1784415921642.0,1784415921726.4294,1001.381,2721.0,84.429,1784415261642.0,3806.811
ss-6-60000,1784415915269.6409,1784415915870,1784415921642.0,1784415921726.4302,600.359,5772.0,84.43,1784415261642.0,6456.789
ss-60-60000,1784415917669.607,1784415917921,1784415921642.0,1784415921726.4312,251.393,3721.0,84.431,1784415261642.0,4056.824
ss-61-60000,1784415915769.6572,1784415915870,1784415921642.0,1784415921726.454,100.343,5772.0,84.454,1784415261642.0,5956.797
ss-62-60000,1784415913219.6157,1784415913771,1784415921643.0,1784415921726.455,551.384,7872.0,83.455,1784415261643.0,8506.839
ss-63-60000,1784415916069.626,1784415916871,1784415921643.0,1784415921726.467,801.374,4772.0,83.467,1784415261643.0,5656.841
ss-64-60000,1784415916019.6104,1784415916871,1784415921643.0,1784415921726.468,851.39,4772.0,83.468,1784415261643.0,5706.858
ss-65-60000,1784415914519.6223,1784415914821,1784415921643.0,1784415921726.4688,301.378,6822.0,83.469,1784415261643.0,7206.846
ss-66-60000,1784415918119.6292,1784415918921,1784415921643.0,1784415921726.5183,801.371,2722.0,83.518,1784415261643.0,3606.889
ss-67-60000,1784415919019.6235,1784415919971,1784415921643.0,1784415921726.527,951.376,1672.0,83.527,1784415261643.0,2706.904
ss-68-60000,1784415910419.6165,1784415910621,1784415921643.0,1784415921726.5283,201.384,11022.0,83.528,1784415261643.0,11306.912
ss-69-60000,1784415906369.6094,1784415906472,1784415921643.0,1784415921726.5415,102.391,15171.0,83.542,1784415261643.0,15356.932
