event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784549640545.1772,1784549640747,1784549651560.0,1784549651694.6013,201.823,10813.0,134.601,1784548991560.0,11149.424
ss-1-60000,1784549642045.1738,1784549642847,1784549651568.0,1784549651694.6067,801.826,8721.0,126.607,1784548991568.0,9649.433
ss-10-60000,1784549637745.1807,1784549638647,1784549651568.0,1784549651694.6074,901.819,12921.0,126.607,1784548991568.0,13949.427
ss-11-60000,1784549639245.1807,1784549639697,1784549651569.0,1784549651694.6082,451.819,11872.0,125.608,1784548991569.0,12449.427
ss-12-60000,1784549625645.1802,1784549626047,1784549651569.0,1784549651694.6091,401.82,25522.0,125.609,1784548991569.0,26049.429
ss-13-60000,1784549640795.1836,1784549641798,1784549651569.0,1784549651694.83,1002.816,9771.0,125.83,1784548991569.0,10899.646
ss-14-60000,1784549641695.187,1784549641798,1784549651569.0,1784549651694.8315,102.813,9771.0,125.832,1784548991569.0,9999.645
ss-15-60000,1784549638645.188,1784549638647,1784549651569.0,1784549651694.8362,1.812,12922.0,125.836,1784548991569.0,13049.648
ss-16-60000,1784549641495.1772,1784549641798,1784549651569.0,1784549651694.8376,302.823,9771.0,125.838,1784548991569.0,10199.66
ss-17-60000,1784549639045.177,1784549639697,1784549651569.0,1784549651694.8386,651.823,11872.0,125.839,1784548991569.0,12649.662
ss-18-60000,1784549636145.1917,1784549636548,1784549651569.0,1784549651694.8389,402.808,15021.0,125.839,1784548991569.0,15549.647
ss-19-60000,1784549640845.1807,1784549641798,1784549651569.0,1784549651694.8394,952.819,9771.0,125.839,1784548991569.0,10849.659
ss-2-60000,1784549640295.1829,1784549640747,1784549651569.0,1784549651694.8452,451.817,10822.0,125.845,1784548991569.0,11399.662
ss-20-60000,1784549630245.1802,1784549630248,1784549651569.0,1784549651694.8457,2.82,21321.0,125.846,1784548991569.0,21449.666
ss-21-60000,1784549638145.1877,1784549638647,1784549651569.0,1784549651694.846,501.812,12922.0,125.846,1784548991569.0,13549.658
ss-22-60000,1784549628545.204,1784549629198,1784549651569.0,1784549651694.847,652.796,22371.0,125.847,1784548991569.0,23149.643
ss-23-60000,1784549623295.1804,1784549623948,1784549651569.0,1784549651694.8474,652.82,27621.0,125.847,1784548991569.0,28399.667
ss-24-60000,1784549639095.1824,1784549639697,1784549651569.0,1784549651694.8516,601.818,11872.0,125.852,1784548991569.0,12599.669
ss-25-60000,1784549636495.1719,1784549636548,1784549651569.0,1784549651694.8547,52.828,15021.0,125.855,1784548991569.0,15199.683
ss-26-60000,1784549637695.1777,1784549638647,1784549651569.0,1784549651694.8552,951.822,12922.0,125.855,1784548991569.0,13999.677
ss-27-60000,1784549639995.1792,1784549640747,1784549651570.0,1784549651694.8557,751.821,10823.0,124.856,1784548991570.0,11699.677
ss-28-60000,1784549641945.1812,1784549642847,1784549651570.0,1784549651694.856,901.819,8723.0,124.856,1784548991570.0,9749.675
ss-29-60000,1784549632495.1885,1784549633398,1784549651570.0,1784549651694.8562,902.812,18172.0,124.856,1784548991570.0,19199.668
ss-3-60000,1784549637495.179,1784549637597,1784549651570.0,1784549651694.8567,101.821,13973.0,124.857,1784548991570.0,14199.678
ss-30-60000,1784549639295.183,1784549639697,1784549651570.0,1784549651694.8572,401.817,11873.0,124.857,1784548991570.0,12399.674
