event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784422590662.3774,1784422590965,1784422595147.0,1784422595258.5652,302.623,4182.0,111.565,1784421935147.0,4596.188
ss-1-60000,1784422592162.3645,1784422593064,1784422595156.0,1784422595258.5703,901.635,2092.0,102.57,1784421935156.0,3096.206
ss-10-60000,1784422587862.3333,1784422588864,1784422595156.0,1784422595258.5723,1001.667,6292.0,102.572,1784421935156.0,7396.239
ss-11-60000,1784422589362.3335,1784422589914,1784422595156.0,1784422595258.5735,551.667,5242.0,102.573,1784421935156.0,5896.24
ss-12-60000,1784422575762.372,1784422576314,1784422595156.0,1784422595258.575,551.628,18842.0,102.575,1784421935156.0,19496.203
ss-13-60000,1784422590912.3672,1784422590965,1784422595156.0,1784422595258.5762,52.633,4191.0,102.576,1784421935156.0,4346.209
ss-14-60000,1784422591812.342,1784422592015,1784422595156.0,1784422595258.5774,202.658,3141.0,102.577,1784421935156.0,3446.235
ss-15-60000,1784422588762.3462,1784422588864,1784422595156.0,1784422595258.5835,101.654,6292.0,102.583,1784421935156.0,6496.237
ss-16-60000,1784422591612.344,1784422592015,1784422595157.0,1784422595258.5857,402.656,3142.0,101.586,1784421935157.0,3646.242
ss-17-60000,1784422589162.3347,1784422589914,1784422595157.0,1784422595258.587,751.665,5243.0,101.587,1784421935157.0,6096.252
ss-18-60000,1784422586262.343,1784422586765,1784422595157.0,1784422595258.5876,502.657,8392.0,101.588,1784421935157.0,8996.245
ss-19-60000,1784422590962.3787,1784422590965,1784422595157.0,1784422595258.5884,2.621,4192.0,101.588,1784421935157.0,4296.21
ss-2-60000,1784422590412.3726,1784422590965,1784422595157.0,1784422595258.5896,552.627,4192.0,101.59,1784421935157.0,4846.217
ss-20-60000,1784422580362.3442,1784422580465,1784422595157.0,1784422595258.5903,102.656,14692.0,101.59,1784421935157.0,14896.246
ss-21-60000,1784422588262.3357,1784422588864,1784422595157.0,1784422595258.5913,601.664,6293.0,101.591,1784421935157.0,6996.256
ss-22-60000,1784422578662.331,1784422579464,1784422595157.0,1784422595258.5925,801.669,15693.0,101.593,1784421935157.0,16596.261
ss-23-60000,1784422573412.3503,1784422574213,1784422595157.0,1784422595258.5933,800.65,20944.0,101.593,1784421935157.0,21846.243
ss-24-60000,1784422589212.3396,1784422589914,1784422595157.0,1784422595258.5942,701.66,5243.0,101.594,1784421935157.0,6046.255
ss-25-60000,1784422586612.3345,1784422586765,1784422595157.0,1784422595258.6013,152.666,8392.0,101.601,1784421935157.0,8646.267
ss-26-60000,1784422587812.341,1784422587814,1784422595157.0,1784422595258.6023,1.659,7343.0,101.602,1784421935157.0,7446.261
ss-27-60000,1784422590112.3577,1784422590965,1784422595157.0,1784422595258.6033,852.642,4192.0,101.603,1784421935157.0,5146.246
ss-28-60000,1784422592062.3572,1784422593064,1784422595158.0,1784422595258.604,1001.643,2094.0,100.604,1784421935158.0,3196.247
ss-29-60000,1784422582612.3235,1784422583615,1784422595158.0,1784422595258.6045,1002.677,11543.0,100.604,1784421935158.0,12646.281
ss-3-60000,1784422587612.3606,1784422587814,1784422595158.0,1784422595258.6052,201.639,7344.0,100.605,1784421935158.0,7646.245
ss-30-60000,1784422589412.3662,1784422589914,1784422595158.0,1784422595258.606,501.634,5244.0,100.606,1784421935158.0,5846.24
ss-31-60000,1784422590212.3284,1784422590965,1784422595158.0,1784422595258.6067,752.672,4193.0,100.607,1784421935158.0,5046.278
ss-32-60000,1784422591662.35,1784422592015,1784422595158.0,1784422595258.6077,352.65,3143.0,100.608,1784421935158.0,3596.258
ss-33-60000,1784422589462.338,1784422589914,1784422595158.0,1784422595258.609,451.662,5244.0,100.609,1784421935158.0,5796.271
ss-34-60000,1784422590162.3481,1784422590965,1784422595158.0,1784422595258.6096,802.652,4193.0,100.61,1784421935158.0,5096.261
