event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784564440897.2852,1784564441099,1784564444960.0,1784564445044.9497,201.715,3861.0,84.95,1784563784960.0,4147.665
ss-1-60000,1784564442397.28,1784564443199,1784564444969.0,1784564445044.955,801.72,1770.0,75.955,1784563784969.0,2647.675
ss-10-60000,1784564438097.2842,1784564439000,1784564444969.0,1784564445044.9565,902.716,5969.0,75.957,1784563784969.0,6947.672
ss-11-60000,1784564439597.2847,1784564440050,1784564444969.0,1784564445044.9575,452.715,4919.0,75.958,1784563784969.0,5447.673
ss-12-60000,1784564425997.2783,1784564426400,1784564444969.0,1784564445044.959,402.722,18569.0,75.959,1784563784969.0,19047.681
ss-13-60000,1784564441147.2803,1784564442149,1784564444969.0,1784564445044.98,1001.72,2820.0,75.98,1784563784969.0,3897.7
ss-14-60000,1784564442047.2898,1784564442149,1784564444969.0,1784564445044.9814,101.71,2820.0,75.981,1784563784969.0,2997.692
ss-15-60000,1784564438997.2974,1784564439000,1784564444969.0,1784564445044.988,2.703,5969.0,75.988,1784563784969.0,6047.691
ss-16-60000,1784564441847.286,1784564442149,1784564444970.0,1784564445044.9907,301.714,2821.0,74.991,1784563784970.0,3197.705
ss-17-60000,1784564439397.2852,1784564440050,1784564444970.0,1784564445044.9932,652.715,4920.0,74.993,1784563784970.0,5647.708
ss-18-60000,1784564436497.286,1784564436900,1784564444970.0,1784564445044.9944,402.714,8070.0,74.994,1784563784970.0,8547.708
ss-19-60000,1784564441197.2832,1784564442149,1784564444970.0,1784564445044.9956,951.717,2821.0,74.996,1784563784970.0,3847.712
ss-2-60000,1784564440647.2915,1784564441099,1784564444970.0,1784564445045.0095,451.708,3871.0,75.01,1784563784970.0,4397.718
ss-20-60000,1784564430597.287,1784564430600,1784564444970.0,1784564445045.0107,2.713,14370.0,75.011,1784563784970.0,14447.724
ss-21-60000,1784564438497.2898,1784564439000,1784564444970.0,1784564445045.0122,502.71,5970.0,75.012,1784563784970.0,6547.722
ss-22-60000,1784564428897.2952,1784564429550,1784564444970.0,1784564445045.0308,652.705,15420.0,75.031,1784563784970.0,16147.736
