event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784507156279.4504,1784507156481,1784507181790.0,1784507181888.7239,201.55,25309.0,98.724,1784506521790.0,25609.273
ss-1-60000,1784507170379.4512,1784507171033,1784507181799.0,1784507181888.728,653.549,10766.0,89.728,1784506521799.0,11509.277
ss-101-60000,1784507174579.4446,1784507175230,1784507181800.0,1784507181888.729,650.555,6570.0,88.729,1784506521800.0,7309.284
ss-103-60000,1784507156379.4795,1784507156481,1784507181800.0,1784507181888.7297,101.521,25319.0,88.73,1784506521800.0,25509.25
ss-104-60000,1784507177329.442,1784507178332,1784507181800.0,1784507181888.7305,1002.558,3468.0,88.73,1784506521800.0,4559.289
ss-105-60000,1784507161029.4465,1784507161682,1784507181800.0,1784507181888.7314,652.553,20118.0,88.731,1784506521800.0,20859.285
ss-108-60000,1784507168529.4495,1784507168980,1784507181800.0,1784507181888.7324,450.551,12820.0,88.732,1784506521800.0,13359.283
ss-11-60000,1784507167279.4497,1784507167931,1784507181800.0,1784507181888.7393,651.55,13869.0,88.739,1784506521800.0,14609.29
ss-112-60000,1784507167629.482,1784507167931,1784507181800.0,1784507181888.7407,301.518,13869.0,88.741,1784506521800.0,14259.259
ss-115-60000,1784507175880.5437,1784507176281,1784507181800.0,1784507181888.7417,400.456,5519.0,88.742,1784506521800.0,6008.198
ss-119-60000,1784507153879.4646,1784507154382,1784507181800.0,1784507181888.7424,502.535,27418.0,88.742,1784506521800.0,28009.278
ss-12-60000,1784507176829.4534,1784507177280,1784507181800.0,1784507181888.7432,450.547,4520.0,88.743,1784506521800.0,5059.29
ss-120-60000,1784507151129.4434,1784507152337,1784507181800.0,1784507181888.7437,1207.557,29463.0,88.744,1784506521800.0,30759.3
ss-122-60000,1784507159679.458,1784507160631,1784507181800.0,1784507181888.7444,951.542,21169.0,88.744,1784506521800.0,22209.286
ss-123-60000,1784507176479.4575,1784507177280,1784507181800.0,1784507181888.745,800.542,4520.0,88.745,1784506521800.0,5409.288
ss-124-60000,1784507167229.4634,1784507167931,1784507181800.0,1784507181888.7505,701.537,13869.0,88.75,1784506521800.0,14659.287
ss-125-60000,1784507156829.4707,1784507157483,1784507181800.0,1784507181888.751,653.529,24317.0,88.751,1784506521800.0,25059.28
ss-126-60000,1784507150579.4397,1784507152337,1784507181800.0,1784507181888.7515,1757.56,29463.0,88.751,1784506521800.0,31309.312
ss-128-60000,1784507155330.5386,1784507155432,1784507181801.0,1784507181888.7522,101.461,26369.0,87.752,1784506521801.0,26558.214
ss-130-60000,1784507178579.4485,1784507179382,1784507181801.0,1784507181888.7527,802.552,2419.0,87.753,1784506521801.0,3309.304
ss-132-60000,1784507167479.4514,1784507167931,1784507181801.0,1784507181888.7532,451.549,13870.0,87.753,1784506521801.0,14409.302
ss-134-60000,1784507161629.4412,1784507161682,1784507181801.0,1784507181888.7537,52.559,20119.0,87.754,1784506521801.0,20259.312
ss-136-60000,1784507174379.443,1784507175230,1784507181801.0,1784507181888.7544,850.557,6571.0,87.754,1784506521801.0,7509.311
ss-14-60000,1784507169279.4592,1784507169981,1784507181801.0,1784507181888.7546,701.541,11820.0,87.755,1784506521801.0,12609.295
ss-140-60000,1784507164079.442,1784507164781,1784507181801.0,1784507181888.7551,701.558,17020.0,87.755,1784506521801.0,17809.313
ss-142-60000,1784507161129.4443,1784507161682,1784507181801.0,1784507181888.7563,552.556,20119.0,87.756,1784506521801.0,20759.312
ss-143-60000,1784507169129.455,1784507169981,1784507181801.0,1784507181888.7568,851.545,11820.0,87.757,1784506521801.0,12759.302
ss-146-60000,1784507164679.4443,1784507164781,1784507181801.0,1784507181888.7793,101.556,17020.0,87.779,1784506521801.0,17209.335
ss-147-60000,1784507151079.4456,1784507152337,1784507181801.0,1784507181888.7798,1257.554,29464.0,87.78,1784506521801.0,30809.334
ss-148-60000,1784507171629.461,1784507172081,1784507181801.0,1784507181888.7803,451.539,9720.0,87.78,1784506521801.0,10259.319
ss-149-60000,1784507160579.4424,1784507160631,1784507181801.0,1784507181888.784,51.558,21170.0,87.784,1784506521801.0,21309.342
ss-150-60000,1784507157479.438,1784507157483,1784507181801.0,1784507181888.7844,3.562,24318.0,87.784,1784506521801.0,24409.346
ss-152-60000,1784507156630.541,1784507157483,1784507181801.0,1784507181888.7847,852.459,24318.0,87.785,1784506521801.0,25258.244
ss-154-60000,1784507160429.4387,1784507160631,1784507181801.0,1784507181888.786,201.561,21170.0,87.786,1784506521801.0,21459.347
ss-158-60000,1784507164529.48,1784507164781,1784507181801.0,1784507181888.7864,251.52,17020.0,87.786,1784506521801.0,17359.306
ss-159-60000,1784507160779.4434,1784507161682,1784507181801.0,1784507181888.7893,902.557,20119.0,87.789,1784506521801.0,21109.346
ss-16-60000,1784507172179.4478,1784507173131,1784507181802.0,1784507181888.7898,951.552,8671.0,86.79,1784506521802.0,9709.342
ss-162-60000,1784507176129.4531,1784507176281,1784507181802.0,1784507181888.79,151.547,5521.0,86.79,1784506521802.0,5759.337
ss-165-60000,1784507179179.4387,1784507179382,1784507181802.0,1784507181888.7908,202.561,2420.0,86.791,1784506521802.0,2709.352
ss-166-60000,1784507156129.4429,1784507156481,1784507181802.0,1784507181888.791,351.557,25321.0,86.791,1784506521802.0,25759.348
