event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784609988216.2114,1784609988417,1784610029787.0,1784610029937.1523,200.789,41370.0,150.152,1784609369787.0,41720.941
ss-1-60000,1784609989716.2056,1784609990518,1784610029798.0,1784610029937.156,801.794,39280.0,139.156,1784609369798.0,40220.95
ss-10-60000,1784609985416.211,1784609986318,1784610029799.0,1784610029937.157,901.789,43481.0,138.157,1784609369799.0,44520.946
ss-11-60000,1784609986916.2136,1784609987368,1784610029799.0,1784610029937.1577,451.786,42431.0,138.158,1784609369799.0,43020.944
ss-12-60000,1784609973316.216,1784609973718,1784610029799.0,1784610029937.1587,401.784,56081.0,138.159,1784609369799.0,56620.943
ss-13-60000,1784609988466.2146,1784609989468,1784610029799.0,1784610029937.16,1001.785,40331.0,138.16,1784609369799.0,41470.945
ss-14-60000,1784609989366.207,1784609989468,1784610029799.0,1784610029937.1611,101.793,40331.0,138.161,1784609369799.0,40570.954
ss-15-60000,1784609986316.2085,1784609986318,1784610029800.0,1784610029937.1667,1.792,43482.0,137.167,1784609369800.0,43620.958
ss-16-60000,1784609989166.2056,1784609989468,1784610029800.0,1784610029937.1687,301.794,40332.0,137.169,1784609369800.0,40770.963
ss-17-60000,1784609986716.2175,1784609987368,1784610029800.0,1784610029937.17,651.782,42432.0,137.17,1784609369800.0,43220.952
ss-18-60000,1784609983816.228,1784609984219,1784610029800.0,1784610029937.171,402.772,45581.0,137.171,1784609369800.0,46120.943
ss-19-60000,1784609988516.2144,1784609989468,1784610029800.0,1784610029937.1716,951.786,40332.0,137.172,1784609369800.0,41420.957
ss-2-60000,1784609987966.214,1784609988417,1784610029800.0,1784610029937.187,450.786,41383.0,137.187,1784609369800.0,41970.973
ss-20-60000,1784609977916.2117,1784609977918,1784610029801.0,1784610029937.1875,1.788,51883.0,136.188,1784609369801.0,52020.976
ss-21-60000,1784609985816.2292,1784609986318,1784610029801.0,1784610029937.188,501.771,43483.0,136.188,1784609369801.0,44120.959
