event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784420711831.245,1784420712283,1784420715545.0,1784420715683.7046,451.755,3262.0,138.705,1784420055545.0,3852.459
ss-1-60000,1784420713331.2537,1784420713333,1784420715553.0,1784420715683.709,1.746,2220.0,130.709,1784420055553.0,2352.455
ss-10-60000,1784420709031.2366,1784420709133,1784420715553.0,1784420715683.711,101.763,6420.0,130.711,1784420055553.0,6652.474
ss-11-60000,1784420710531.2544,1784420711233,1784420715553.0,1784420715683.7122,701.746,4320.0,130.712,1784420055553.0,5152.458
ss-12-60000,1784420696931.2341,1784420697585,1784420715553.0,1784420715683.7136,653.766,17968.0,130.714,1784420055553.0,18752.479
ss-13-60000,1784420712081.2346,1784420712283,1784420715554.0,1784420715683.715,201.765,3271.0,129.715,1784420055554.0,3602.48
ss-14-60000,1784420712981.2375,1784420713333,1784420715554.0,1784420715683.7166,351.762,2221.0,129.717,1784420055554.0,2702.479
ss-15-60000,1784420709931.2356,1784420710183,1784420715554.0,1784420715683.7222,251.764,5371.0,129.722,1784420055554.0,5752.487
ss-16-60000,1784420712781.23,1784420713333,1784420715554.0,1784420715683.724,551.77,2221.0,129.724,1784420055554.0,2902.494
ss-17-60000,1784420710331.27,1784420711233,1784420715554.0,1784420715683.7253,901.73,4321.0,129.725,1784420055554.0,5352.455
ss-18-60000,1784420707431.2275,1784420708083,1784420715554.0,1784420715683.726,651.772,7471.0,129.726,1784420055554.0,8252.499
ss-19-60000,1784420712131.244,1784420712283,1784420715554.0,1784420715683.727,151.756,3271.0,129.727,1784420055554.0,3552.483
ss-2-60000,1784420711581.233,1784420712283,1784420715554.0,1784420715683.7285,701.767,3271.0,129.729,1784420055554.0,4102.496
ss-20-60000,1784420701531.2957,1784420701785,1784420715554.0,1784420715683.735,253.704,13769.0,129.735,1784420055554.0,14152.439
ss-21-60000,1784420709431.237,1784420710183,1784420715554.0,1784420715683.736,751.763,5371.0,129.736,1784420055554.0,6252.499
ss-22-60000,1784420699831.268,1784420700734,1784420715554.0,1784420715683.7373,902.732,14820.0,129.737,1784420055554.0,15852.469
ss-23-60000,1784420694581.2654,1784420695484,1784420715554.0,1784420715683.738,902.735,20070.0,129.738,1784420055554.0,21102.473
ss-24-60000,1784420710381.237,1784420711233,1784420715555.0,1784420715683.7388,851.763,4322.0,128.739,1784420055555.0,5302.502
ss-25-60000,1784420707781.2383,1784420708083,1784420715555.0,1784420715683.7444,301.762,7472.0,128.744,1784420055555.0,7902.506
ss-26-60000,1784420708981.2393,1784420709133,1784420715555.0,1784420715683.745,151.761,6422.0,128.745,1784420055555.0,6702.506
ss-27-60000,1784420711281.258,1784420712283,1784420715555.0,1784420715683.746,1001.742,3272.0,128.746,1784420055555.0,4402.488
ss-28-60000,1784420713231.2344,1784420713333,1784420715555.0,1784420715683.7468,101.766,2222.0,128.747,1784420055555.0,2452.512
ss-29-60000,1784420703781.2354,1784420703884,1784420715555.0,1784420715683.7476,102.765,11671.0,128.748,1784420055555.0,11902.512
ss-3-60000,1784420708781.2302,1784420709133,1784420715555.0,1784420715683.7483,351.77,6422.0,128.748,1784420055555.0,6902.518
ss-30-60000,1784420710581.2349,1784420711233,1784420715555.0,1784420715683.7493,651.765,4322.0,128.749,1784420055555.0,5102.514
ss-31-60000,1784420711381.2651,1784420712283,1784420715555.0,1784420715683.7502,901.735,3272.0,128.75,1784420055555.0,4302.485
ss-32-60000,1784420712831.2485,1784420713333,1784420715555.0,1784420715683.751,501.751,2222.0,128.751,1784420055555.0,2852.502
ss-33-60000,1784420710631.2375,1784420711233,1784420715555.0,1784420715683.7524,601.762,4322.0,128.752,1784420055555.0,5052.515
ss-34-60000,1784420711331.2725,1784420712283,1784420715555.0,1784420715683.7532,951.728,3272.0,128.753,1784420055555.0,4352.481
ss-35-60000,1784420711081.2344,1784420711233,1784420715555.0,1784420715683.754,151.766,4322.0,128.754,1784420055555.0,4602.52
ss-36-60000,1784420709531.2437,1784420710183,1784420715555.0,1784420715683.7546,651.756,5372.0,128.755,1784420055555.0,6152.511
ss-37-60000,1784420706331.2585,1784420707034,1784420715556.0,1784420715683.7554,702.741,8522.0,127.755,1784420055556.0,9352.497
ss-38-60000,1784420713381.2373,1784420714384,1784420715556.0,1784420715683.756,1002.763,1172.0,127.756,1784420055556.0,2302.519
ss-39-60000,1784420711531.2551,1784420712283,1784420715556.0,1784420715683.7793,751.745,3273.0,127.779,1784420055556.0,4152.524
ss-4-60000,1784420712681.2283,1784420713333,1784420715556.0,1784420715683.78,651.772,2223.0,127.78,1784420055556.0,3002.552
ss-40-60000,1784420707531.2312,1784420708083,1784420715556.0,1784420715683.7808,551.769,7473.0,127.781,1784420055556.0,8152.55
ss-41-60000,1784420707631.2341,1784420708083,1784420715556.0,1784420715683.7815,451.766,7473.0,127.781,1784420055556.0,8052.547
ss-42-60000,1784420710231.237,1784420711233,1784420715556.0,1784420715683.7822,1001.763,4323.0,127.782,1784420055556.0,5452.545
ss-43-60000,1784420710981.2378,1784420711233,1784420715556.0,1784420715683.7832,251.762,4323.0,127.783,1784420055556.0,4702.545
ss-44-60000,1784420707481.234,1784420708083,1784420715556.0,1784420715683.784,601.766,7473.0,127.784,1784420055556.0,8202.55
ss-45-60000,1784420701881.2422,1784420702834,1784420715556.0,1784420715683.7847,952.758,12722.0,127.785,1784420055556.0,13802.542
ss-46-60000,1784420711131.2776,1784420711233,1784420715556.0,1784420715683.786,101.722,4323.0,127.786,1784420055556.0,4552.508
ss-47-60000,1784420708681.2617,1784420709133,1784420715556.0,1784420715683.7866,451.738,6423.0,127.787,1784420055556.0,7002.525
ss-48-60000,1784420710931.2415,1784420711233,1784420715556.0,1784420715683.7876,301.759,4323.0,127.788,1784420055556.0,4752.546
ss-49-60000,1784420713181.228,1784420713333,1784420715556.0,1784420715683.7883,151.772,2223.0,127.788,1784420055556.0,2502.56
ss-5-60000,1784420712531.2678,1784420713333,1784420715556.0,1784420715683.789,801.732,2223.0,127.789,1784420055556.0,3152.521
ss-50-60000,1784420711881.251,1784420712283,1784420715556.0,1784420715683.7898,401.749,3273.0,127.79,1784420055556.0,3802.539
ss-51-60000,1784420711431.2693,1784420712283,1784420715557.0,1784420715683.7905,851.731,3274.0,126.791,1784420055557.0,4252.521
ss-52-60000,1784420710831.2654,1784420711233,1784420715557.0,1784420715683.7913,401.735,4324.0,126.791,1784420055557.0,4852.526
ss-53-60000,1784420709481.248,1784420710183,1784420715557.0,1784420715683.7922,701.752,5374.0,126.792,1784420055557.0,6202.544
ss-54-60000,1784420708731.2527,1784420709133,1784420715557.0,1784420715683.793,401.747,6424.0,126.793,1784420055557.0,6952.54
ss-55-60000,1784420687731.2288,1784420688134,1784420715557.0,1784420715683.7937,402.771,27423.0,126.794,1784420055557.0,27952.565
ss-56-60000,1784420697531.2373,1784420697585,1784420715557.0,1784420715683.7944,53.763,17972.0,126.794,1784420055557.0,18152.557
ss-57-60000,1784420712031.2285,1784420712283,1784420715557.0,1784420715683.7957,251.771,3274.0,126.796,1784420055557.0,3652.567
ss-58-60000,1784420712431.2732,1784420713333,1784420715557.0,1784420715683.7964,901.727,2224.0,126.796,1784420055557.0,3252.523
ss-59-60000,1784420711981.2273,1784420712283,1784420715557.0,1784420715683.797,301.773,3274.0,126.797,1784420055557.0,3702.57
ss-6-60000,1784420709331.2473,1784420710183,1784420715557.0,1784420715683.7976,851.753,5374.0,126.798,1784420055557.0,6352.55
ss-60-60000,1784420711731.2551,1784420712283,1784420715557.0,1784420715683.805,551.745,3274.0,126.805,1784420055557.0,3952.55
ss-61-60000,1784420709831.2424,1784420710183,1784420715557.0,1784420715683.8108,351.758,5374.0,126.811,1784420055557.0,5852.568
ss-62-60000,1784420707281.2485,1784420708083,1784420715557.0,1784420715683.8115,801.751,7474.0,126.812,1784420055557.0,8402.563
ss-63-60000,1784420710131.2346,1784420710183,1784420715557.0,1784420715683.9329,51.765,5374.0,126.933,1784420055557.0,5552.698
ss-64-60000,1784420710081.238,1784420710183,1784420715558.0,1784420715683.935,101.762,5375.0,125.935,1784420055558.0,5602.697
ss-65-60000,1784420708581.2327,1784420709133,1784420715558.0,1784420715683.936,551.767,6425.0,125.936,1784420055558.0,7102.703
ss-66-60000,1784420712181.2356,1784420712283,1784420715558.0,1784420715683.949,101.764,3275.0,125.949,1784420055558.0,3502.713
ss-67-60000,1784420713081.2346,1784420713333,1784420715558.0,1784420715683.95,251.765,2225.0,125.95,1784420055558.0,2602.715
ss-68-60000,1784420704481.2512,1784420704933,1784420715558.0,1784420715683.952,451.749,10625.0,125.952,1784420055558.0,11202.701
ss-69-60000,1784420700431.2449,1784420700734,1784420715558.0,1784420715683.9578,302.755,14824.0,125.958,1784420055558.0,15252.713
