event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784560225286.6333,1784560226239,1784560237051.0,1784560237193.9058,952.367,10812.0,142.906,1784559577051.0,11907.272
ss-1-60000,1784560226786.6216,1784560227288,1784560237064.0,1784560237193.9104,501.378,9776.0,129.91,1784559577064.0,10407.289
ss-10-60000,1784560222486.62,1784560223138,1784560237065.0,1784560237193.9119,651.38,13927.0,128.912,1784559577065.0,14707.292
ss-11-60000,1784560223986.616,1784560224187,1784560237065.0,1784560237193.913,200.384,12878.0,128.913,1784559577065.0,13207.297
ss-12-60000,1784560210386.6257,1784560210739,1784560237065.0,1784560237193.9148,352.374,26326.0,128.915,1784559577065.0,26807.289
ss-13-60000,1784560225536.6262,1784560226239,1784560237065.0,1784560237193.916,702.374,10826.0,128.916,1784559577065.0,11657.29
ss-14-60000,1784560226436.6255,1784560227288,1784560237065.0,1784560237193.9175,851.375,9777.0,128.917,1784559577065.0,10757.292
ss-15-60000,1784560223386.6365,1784560224187,1784560237065.0,1784560237193.9233,800.364,12878.0,128.923,1784559577065.0,13807.287
ss-16-60000,1784560226236.6184,1784560226239,1784560237065.0,1784560237193.9255,2.382,10826.0,128.926,1784559577065.0,10957.307
ss-17-60000,1784560223786.6316,1784560224187,1784560237065.0,1784560237193.9275,400.368,12878.0,128.927,1784559577065.0,13407.296
ss-18-60000,1784560220886.6267,1784560221087,1784560237065.0,1784560237193.9282,200.373,15978.0,128.928,1784559577065.0,16307.302
ss-19-60000,1784560225586.6204,1784560226239,1784560237065.0,1784560237193.929,652.38,10826.0,128.929,1784559577065.0,11607.309
ss-2-60000,1784560225036.619,1784560225188,1784560237065.0,1784560237193.9302,151.381,11877.0,128.93,1784559577065.0,12157.311
ss-20-60000,1784560214986.6226,1784560215938,1784560237066.0,1784560237193.931,951.377,21128.0,127.931,1784559577066.0,22207.308
ss-21-60000,1784560222886.6194,1784560223138,1784560237066.0,1784560237193.932,251.381,13928.0,127.932,1784559577066.0,14307.312
ss-22-60000,1784560213286.6182,1784560213888,1784560237066.0,1784560237193.9492,601.382,23178.0,127.949,1784559577066.0,23907.331
ss-23-60000,1784560208036.6208,1784560208688,1784560237066.0,1784560237193.95,651.379,28378.0,127.95,1784559577066.0,29157.329
ss-24-60000,1784560223836.6218,1784560224187,1784560237066.0,1784560237193.9512,350.378,12879.0,127.951,1784559577066.0,13357.329
ss-25-60000,1784560221236.6245,1784560222110,1784560237066.0,1784560237193.959,873.375,14956.0,127.959,1784559577066.0,15957.334
ss-26-60000,1784560222436.6243,1784560223138,1784560237066.0,1784560237193.96,701.376,13928.0,127.96,1784559577066.0,14757.336
ss-27-60000,1784560224736.6213,1784560225188,1784560237066.0,1784560237193.9607,451.379,11878.0,127.961,1784559577066.0,12457.339
ss-28-60000,1784560226686.625,1784560227288,1784560237066.0,1784560237193.9614,601.375,9778.0,127.961,1784559577066.0,10507.336
ss-29-60000,1784560217236.6267,1784560217989,1784560237067.0,1784560237193.9622,752.373,19078.0,126.962,1784559577067.0,19957.335
ss-3-60000,1784560222236.6204,1784560223138,1784560237067.0,1784560237193.963,901.38,13929.0,126.963,1784559577067.0,14957.343
ss-30-60000,1784560224036.6294,1784560224187,1784560237067.0,1784560237193.9639,150.371,12880.0,126.964,1784559577067.0,13157.334
ss-31-60000,1784560224836.6396,1784560225188,1784560237067.0,1784560237193.9646,351.36,11879.0,126.965,1784559577067.0,12357.325
ss-32-60000,1784560226286.6184,1784560227288,1784560237067.0,1784560237193.972,1001.382,9779.0,126.972,1784559577067.0,10907.354
ss-33-60000,1784560224086.6313,1784560224187,1784560237067.0,1784560237194.0151,100.369,12880.0,127.015,1784559577067.0,13107.384
ss-34-60000,1784560224786.627,1784560225188,1784560237067.0,1784560237194.0159,401.373,11879.0,127.016,1784559577067.0,12407.389
ss-35-60000,1784560224536.6326,1784560225188,1784560237067.0,1784560237194.0662,651.367,11879.0,127.066,1784559577067.0,12657.434
ss-36-60000,1784560222986.6187,1784560223138,1784560237067.0,1784560237194.068,151.381,13929.0,127.068,1784559577067.0,14207.449
ss-37-60000,1784560219786.6199,1784560220038,1784560237067.0,1784560237194.089,251.38,17029.0,127.089,1784559577067.0,17407.469
ss-38-60000,1784560226836.624,1784560227288,1784560237067.0,1784560237194.09,451.376,9779.0,127.09,1784559577067.0,10357.466
ss-39-60000,1784560224986.626,1784560225188,1784560237068.0,1784560237194.119,201.374,11880.0,126.119,1784559577068.0,12207.493
ss-4-60000,1784560226136.624,1784560226239,1784560237068.0,1784560237194.1196,102.376,10829.0,126.12,1784559577068.0,11057.496
ss-40-60000,1784560220986.6265,1784560221087,1784560237068.0,1784560237194.12,100.374,15981.0,126.12,1784559577068.0,16207.494
ss-41-60000,1784560221086.627,1784560222110,1784560237068.0,1784560237194.1204,1023.373,14958.0,126.12,1784559577068.0,16107.493
ss-42-60000,1784560223686.6296,1784560224187,1784560237068.0,1784560237194.1487,500.37,12881.0,126.149,1784559577068.0,13507.519
ss-43-60000,1784560224436.6272,1784560225188,1784560237068.0,1784560237194.15,751.373,11880.0,126.15,1784559577068.0,12757.523
