event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784512553244.717,1784512553397,1784512579105.0,1784512579216.6926,152.283,25708.0,111.693,1784511919105.0,25971.976
ss-1-60000,1784512567344.7139,1784512567998,1784512579113.0,1784512579216.6975,653.286,11115.0,103.698,1784511919113.0,11871.984
ss-101-60000,1784512571544.715,1784512572146,1784512579113.0,1784512579216.6985,601.285,6967.0,103.698,1784511919113.0,7671.983
ss-103-60000,1784512553344.7324,1784512553397,1784512579113.0,1784512579216.699,52.268,25716.0,103.699,1784511919113.0,25871.967
ss-104-60000,1784512574294.7146,1784512575296,1784512579113.0,1784512579216.6997,1001.285,3817.0,103.7,1784511919113.0,4921.985
ss-105-60000,1784512557994.72,1784512558647,1784512579113.0,1784512579216.7002,652.28,20466.0,103.7,1784511919113.0,21221.98
ss-108-60000,1784512565494.7136,1784512565896,1784512579113.0,1784512579216.7007,401.286,13217.0,103.701,1784511919113.0,13721.987
ss-11-60000,1784512564246.4902,1784512564895,1784512579113.0,1784512579216.7063,648.51,14218.0,103.706,1784511919113.0,14970.216
ss-112-60000,1784512564594.7153,1784512564895,1784512579114.0,1784512579216.7073,300.285,14219.0,102.707,1784511919114.0,14621.992
ss-115-60000,1784512572844.719,1784512573196,1784512579114.0,1784512579216.708,351.281,5918.0,102.708,1784511919114.0,6371.989
ss-119-60000,1784512550844.7156,1784512551297,1784512579114.0,1784512579216.7083,452.284,27817.0,102.708,1784511919114.0,28371.993
ss-12-60000,1784512573794.7153,1784512574246,1784512579114.0,1784512579216.7087,451.285,4868.0,102.709,1784511919114.0,5421.993
ss-120-60000,1784512548094.718,1784512549220,1784512579114.0,1784512579216.7092,1125.282,29894.0,102.709,1784511919114.0,31121.991
ss-122-60000,1784512556644.717,1784512557597,1784512579114.0,1784512579216.71,952.283,21517.0,102.71,1784511919114.0,22571.993
ss-123-60000,1784512573444.7114,1784512574246,1784512579114.0,1784512579216.7104,801.289,4868.0,102.71,1784511919114.0,5771.999
ss-124-60000,1784512564194.721,1784512564895,1784512579114.0,1784512579216.7148,700.279,14219.0,102.715,1784511919114.0,15021.994
ss-125-60000,1784512553794.721,1784512554448,1784512579114.0,1784512579216.7153,653.279,24666.0,102.715,1784511919114.0,25421.994
ss-126-60000,1784512547544.7134,1784512549220,1784512579114.0,1784512579216.7156,1675.287,29894.0,102.716,1784511919114.0,31672.002
ss-128-60000,1784512552294.7148,1784512552347,1784512579114.0,1784512579216.7158,52.285,26767.0,102.716,1784511919114.0,26922.001
ss-130-60000,1784512575544.715,1784512576345,1784512579114.0,1784512579216.716,800.285,2769.0,102.716,1784511919114.0,3672.001
ss-132-60000,1784512564444.715,1784512564895,1784512579114.0,1784512579216.7163,450.285,14219.0,102.716,1784511919114.0,14772.001
ss-134-60000,1784512558594.7183,1784512558647,1784512579114.0,1784512579216.7166,52.282,20467.0,102.717,1784511919114.0,20621.998
