event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784612201615.0925,1784612201768,1784612243980.0,1784612244084.9272,152.907,42212.0,104.927,1784611583980.0,42469.835
ss-1-60000,1784612203115.091,1784612203867,1784612243987.0,1784612244084.9312,751.909,40120.0,97.931,1784611583987.0,40969.84
ss-10-60000,1784612198815.091,1784612199668,1784612243987.0,1784612244084.932,852.909,44319.0,97.932,1784611583987.0,45269.841
ss-11-60000,1784612200315.082,1784612200718,1784612243987.0,1784612244084.9324,402.918,43269.0,97.932,1784611583987.0,43769.85
ss-12-60000,1784612186715.0854,1784612187068,1784612243987.0,1784612244084.9333,352.915,56919.0,97.933,1784611583987.0,57369.848
ss-13-60000,1784612201865.0913,1784612202818,1784612243987.0,1784612244084.9338,952.909,41169.0,97.934,1784611583987.0,42219.843
ss-14-60000,1784612202765.0908,1784612202818,1784612243987.0,1784612244084.9346,52.909,41169.0,97.935,1784611583987.0,41319.844
ss-15-60000,1784612199715.105,1784612200718,1784612243987.0,1784612244084.9395,1002.895,43269.0,97.939,1784611583987.0,44369.834
ss-16-60000,1784612202565.0916,1784612202818,1784612243987.0,1784612244084.9407,252.908,41169.0,97.941,1784611583987.0,41519.849
ss-17-60000,1784612200115.087,1784612200718,1784612243988.0,1784612244084.9414,602.913,43270.0,96.941,1784611583988.0,43969.854
ss-18-60000,1784612197215.0974,1784612197567,1784612243988.0,1784612244084.9417,351.903,46421.0,96.942,1784611583988.0,46869.844
ss-19-60000,1784612201915.0884,1784612202818,1784612243988.0,1784612244084.9421,902.912,41170.0,96.942,1784611583988.0,42169.854
ss-2-60000,1784612201365.0828,1784612201768,1784612243988.0,1784612244084.9429,402.917,42220.0,96.943,1784611583988.0,42719.86
ss-20-60000,1784612191315.083,1784612192318,1784612243988.0,1784612244084.9434,1002.917,51670.0,96.943,1784611583988.0,52769.86
