event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784417370384.5105,1784417371188,1784417374297.0,1784417374389.0273,803.49,3109.0,92.027,1784416714297.0,4004.517
ss-1-60000,1784417371884.4954,1784417372235,1784417374304.0,1784417374389.0317,350.505,2069.0,85.032,1784416714304.0,2504.536
ss-10-60000,1784417367584.5254,1784417368136,1784417374304.0,1784417374389.033,551.475,6168.0,85.033,1784416714304.0,6804.508
ss-11-60000,1784417369084.4946,1784417369137,1784417374304.0,1784417374389.034,52.505,5167.0,85.034,1784416714304.0,5304.539
ss-12-60000,1784417355484.5154,1784417355786,1784417374305.0,1784417374389.0354,301.485,18519.0,84.035,1784416714305.0,18904.52
ss-13-60000,1784417370634.4905,1784417371188,1784417374305.0,1784417374389.0364,553.51,3117.0,84.036,1784416714305.0,3754.546
ss-14-60000,1784417371534.5393,1784417372235,1784417374305.0,1784417374389.041,700.461,2070.0,84.041,1784416714305.0,2854.502
ss-15-60000,1784417368484.5427,1784417369137,1784417374305.0,1784417374389.0469,652.457,5168.0,84.047,1784416714305.0,5904.504
ss-16-60000,1784417371334.5376,1784417372235,1784417374305.0,1784417374389.0488,900.462,2070.0,84.049,1784416714305.0,3054.511
ss-17-60000,1784417368884.4683,1784417369137,1784417374305.0,1784417374389.05,252.532,5168.0,84.05,1784416714305.0,5504.582
ss-18-60000,1784417365984.5122,1784417366085,1784417374305.0,1784417374389.0505,100.488,8220.0,84.051,1784416714305.0,8404.538
ss-19-60000,1784417370684.5142,1784417371188,1784417374305.0,1784417374389.0513,503.486,3117.0,84.051,1784416714305.0,3704.537
ss-2-60000,1784417370134.5134,1784417370185,1784417374305.0,1784417374389.0525,50.487,4120.0,84.052,1784416714305.0,4254.539
ss-20-60000,1784417360084.5232,1784417360986,1784417374305.0,1784417374389.0532,901.477,13319.0,84.053,1784416714305.0,14304.53
ss-21-60000,1784417367984.554,1784417368136,1784417374305.0,1784417374389.0535,151.446,6169.0,84.053,1784416714305.0,6404.5
ss-22-60000,1784417358384.4902,1784417358936,1784417374305.0,1784417374389.0547,551.51,15369.0,84.055,1784416714305.0,16004.564
ss-23-60000,1784417353134.5288,1784417353736,1784417374305.0,1784417374389.0552,601.471,20569.0,84.055,1784416714305.0,21254.526
ss-24-60000,1784417368934.4915,1784417369137,1784417374305.0,1784417374389.056,202.509,5168.0,84.056,1784416714305.0,5454.564
ss-25-60000,1784417366334.49,1784417367085,1784417374305.0,1784417374389.0732,750.51,7220.0,84.073,1784416714305.0,8054.583
ss-26-60000,1784417367534.4863,1784417368136,1784417374305.0,1784417374389.0737,601.514,6169.0,84.074,1784416714305.0,6854.587
ss-27-60000,1784417369834.523,1784417370185,1784417374305.0,1784417374389.0745,350.477,4120.0,84.074,1784416714305.0,4554.552
