event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
ss-0-60000,1784558723685.7957,1784558723888,1784558727945.0,1784558728065.4133,202.204,4057.0,120.413,1784558067945.0,4379.618
ss-1-60000,1784558725185.794,1784558725987,1784558727952.0,1784558728065.417,801.206,1965.0,113.417,1784558067952.0,2879.623
ss-10-60000,1784558720885.7842,1784558721787,1784558727952.0,1784558728065.4177,901.216,6165.0,113.418,1784558067952.0,7179.634
ss-11-60000,1784558722385.8013,1784558722837,1784558727952.0,1784558728065.4182,451.199,5115.0,113.418,1784558067952.0,5679.617
ss-12-60000,1784558708785.7847,1784558709188,1784558727952.0,1784558728065.4192,402.215,18764.0,113.419,1784558067952.0,19279.635
ss-13-60000,1784558723935.7866,1784558724938,1784558727952.0,1784558728065.42,1002.213,3014.0,113.42,1784558067952.0,4129.633
ss-14-60000,1784558724835.791,1784558724938,1784558727952.0,1784558728065.4207,102.209,3014.0,113.421,1784558067952.0,3229.63
ss-15-60000,1784558721785.785,1784558721787,1784558727952.0,1784558728065.425,1.215,6165.0,113.425,1784558067952.0,6279.64
ss-16-60000,1784558724635.7856,1784558724938,1784558727953.0,1784558728065.4268,302.214,3015.0,112.427,1784558067953.0,3429.641
ss-17-60000,1784558722185.7935,1784558722837,1784558727953.0,1784558728065.4275,651.207,5116.0,112.427,1784558067953.0,5879.634
ss-18-60000,1784558719285.7861,1784558719687,1784558727953.0,1784558728065.428,401.214,8266.0,112.428,1784558067953.0,8779.642
ss-19-60000,1784558723985.788,1784558724938,1784558727953.0,1784558728065.4282,952.212,3015.0,112.428,1784558067953.0,4079.64
ss-2-60000,1784558723435.7898,1784558723888,1784558727953.0,1784558728065.4292,452.21,4065.0,112.429,1784558067953.0,4629.639
ss-20-60000,1784558713385.7976,1784558713388,1784558727953.0,1784558728065.4297,2.202,14565.0,112.43,1784558067953.0,14679.632
ss-21-60000,1784558721285.7957,1784558721787,1784558727953.0,1784558728065.4302,501.204,6166.0,112.43,1784558067953.0,6779.635
ss-22-60000,1784558711685.7837,1784558712338,1784558727953.0,1784558728065.431,652.216,15615.0,112.431,1784558067953.0,16379.647
ss-23-60000,1784558706435.796,1784558707087,1784558727953.0,1784558728065.4312,651.204,20866.0,112.431,1784558067953.0,21629.635
ss-24-60000,1784558722235.7903,1784558722837,1784558727953.0,1784558728065.432,601.21,5116.0,112.432,1784558067953.0,5829.642
ss-25-60000,1784558719635.7883,1784558719687,1784558727953.0,1784558728065.4368,51.212,8266.0,112.437,1784558067953.0,8429.648
ss-26-60000,1784558720835.7905,1784558721787,1784558727953.0,1784558728065.437,951.209,6166.0,112.437,1784558067953.0,7229.646
ss-27-60000,1784558723135.7935,1784558723888,1784558727953.0,1784558728065.4375,752.207,4065.0,112.438,1784558067953.0,4929.644
ss-28-60000,1784558725085.7861,1784558725987,1784558727953.0,1784558728065.438,901.214,1966.0,112.438,1784558067953.0,2979.652
ss-29-60000,1784558715635.784,1784558716539,1784558727953.0,1784558728065.4485,903.216,11414.0,112.448,1784558067953.0,12429.665
ss-3-60000,1784558720635.7883,1784558720738,1784558727953.0,1784558728065.449,102.212,7215.0,112.449,1784558067953.0,7429.661
ss-30-60000,1784558722435.7974,1784558722837,1784558727953.0,1784558728065.4495,401.203,5116.0,112.449,1784558067953.0,5629.652
ss-31-60000,1784558723235.7883,1784558723888,1784558727953.0,1784558728065.45,652.212,4065.0,112.45,1784558067953.0,4829.662
ss-32-60000,1784558724686.5325,1784558724938,1784558727953.0,1784558728065.4502,251.468,3015.0,112.45,1784558067953.0,3378.918
ss-33-60000,1784558722485.7974,1784558722837,1784558727953.0,1784558728065.451,351.203,5116.0,112.451,1784558067953.0,5579.654
ss-34-60000,1784558723185.7961,1784558723888,1784558727953.0,1784558728065.4514,702.204,4065.0,112.451,1784558067953.0,4879.655
ss-35-60000,1784558722935.7969,1784558723888,1784558727953.0,1784558728065.452,952.203,4065.0,112.452,1784558067953.0,5129.655
ss-36-60000,1784558721385.798,1784558721787,1784558727954.0,1784558728065.4521,401.202,6167.0,111.452,1784558067954.0,6679.654
ss-37-60000,1784558718185.7917,1784558718637,1784558727954.0,1784558728065.4524,451.208,9317.0,111.452,1784558067954.0,9879.661
ss-38-60000,1784558725235.7935,1784558725987,1784558727954.0,1784558728065.453,751.207,1967.0,111.453,1784558067954.0,2829.659
ss-39-60000,1784558723385.788,1784558723888,1784558727954.0,1784558728065.4536,502.212,4066.0,111.454,1784558067954.0,4679.666
ss-4-60000,1784558724535.789,1784558724938,1784558727954.0,1784558728065.454,402.211,3016.0,111.454,1784558067954.0,3529.665
ss-40-60000,1784558719385.7883,1784558719687,1784558727954.0,1784558728065.4543,301.212,8267.0,111.454,1784558067954.0,8679.666
ss-41-60000,1784558719485.7874,1784558719687,1784558727954.0,1784558728065.4548,201.213,8267.0,111.455,1784558067954.0,8579.667
ss-42-60000,1784558722085.7896,1784558722837,1784558727954.0,1784558728065.455,751.21,5117.0,111.455,1784558067954.0,5979.666
ss-43-60000,1784558722835.7927,1784558722837,1784558727954.0,1784558728065.5222,1.207,5117.0,111.522,1784558067954.0,5229.729
ss-44-60000,1784558719335.783,1784558719687,1784558727954.0,1784558728065.5227,351.217,8267.0,111.523,1784558067954.0,8729.74
ss-45-60000,1784558713735.7864,1784558714438,1784558727954.0,1784558728065.5232,702.214,13516.0,111.523,1784558067954.0,14329.737
ss-46-60000,1784558722985.7969,1784558723888,1784558727954.0,1784558728065.5273,902.203,4066.0,111.527,1784558067954.0,5079.73
ss-47-60000,1784558720535.788,1784558720738,1784558727954.0,1784558728065.528,202.212,7216.0,111.528,1784558067954.0,7529.74
ss-48-60000,1784558722785.7883,1784558722837,1784558727954.0,1784558728065.5283,51.212,5117.0,111.528,1784558067954.0,5279.74
ss-49-60000,1784558725035.7964,1784558725987,1784558727954.0,1784558728065.531,951.204,1967.0,111.531,1784558067954.0,3029.735
ss-5-60000,1784558724385.7832,1784558724938,1784558727954.0,1784558728065.5315,552.217,3016.0,111.531,1784558067954.0,3679.748
ss-50-60000,1784558723735.7827,1784558723888,1784558727954.0,1784558728065.5317,152.217,4066.0,111.532,1784558067954.0,4329.749
ss-51-60000,1784558723285.785,1784558723888,1784558727954.0,1784558728065.5322,602.215,4066.0,111.532,1784558067954.0,4779.747
ss-52-60000,1784558722685.7913,1784558722837,1784558727954.0,1784558728065.5325,151.209,5117.0,111.532,1784558067954.0,5379.741
ss-53-60000,1784558721335.7925,1784558721787,1784558727954.0,1784558728065.5366,451.208,6167.0,111.537,1784558067954.0,6729.744
ss-54-60000,1784558720585.7615,1784558720738,1784558727954.0,1784558728065.5369,152.239,7216.0,111.537,1784558067954.0,7479.775
ss-55-60000,1784558699585.7837,1784558699739,1784558727954.0,1784558728065.5374,153.216,28215.0,111.537,1784558067954.0,28479.754
ss-56-60000,1784558709385.788,1784558710239,1784558727954.0,1784558728065.5967,853.212,17715.0,111.597,1784558067954.0,18679.809
ss-57-60000,1784558723885.7952,1784558723888,1784558727954.0,1784558728065.599,2.205,4066.0,111.599,1784558067954.0,4179.804
ss-58-60000,1784558724285.785,1784558724938,1784558727954.0,1784558728065.6,652.215,3016.0,111.6,1784558067954.0,3779.815
ss-59-60000,1784558723835.787,1784558723888,1784558727954.0,1784558728065.6008,52.213,4066.0,111.601,1784558067954.0,4229.814
ss-6-60000,1784558721185.7922,1784558721787,1784558727955.0,1784558728065.6018,601.208,6168.0,110.602,1784558067955.0,6879.81
ss-60-60000,1784558723585.78,1784558723888,1784558727955.0,1784558728066.577,302.22,4067.0,111.577,1784558067955.0,4480.797
ss-61-60000,1784558721685.7854,1784558721787,1784558727955.0,1784558728066.58,101.215,6168.0,111.58,1784558067955.0,6380.795
ss-62-60000,1784558719135.7888,1784558719687,1784558727955.0,1784558728066.5806,551.211,8268.0,111.581,1784558067955.0,8930.792
ss-63-60000,1784558721985.7944,1784558722837,1784558727955.0,1784558728066.5808,851.206,5118.0,111.581,1784558067955.0,6080.786
ss-64-60000,1784558721935.7842,1784558722837,1784558727955.0,1784558728066.5813,901.216,5118.0,111.581,1784558067955.0,6130.797
ss-65-60000,1784558720435.7896,1784558720738,1784558727955.0,1784558728066.5818,302.21,7217.0,111.582,1784558067955.0,7630.792
ss-66-60000,1784558724035.792,1784558724938,1784558727955.0,1784558728066.5857,902.208,3017.0,111.586,1784558067955.0,4030.794
ss-67-60000,1784558724935.7898,1784558724938,1784558727955.0,1784558728066.586,2.21,3017.0,111.586,1784558067955.0,3130.796
ss-68-60000,1784558716335.7866,1784558716539,1784558727955.0,1784558728066.5867,203.213,11416.0,111.587,1784558067955.0,11730.8
