event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784421096399.8264,1784421096702,1784421099880.0,1784421099966.295,302.174,3178.0,86.295,1784421039880.0,3566.469
tc-1-0,1784421097899.84,1784421098802,1784421099886.0,1784421099966.299,902.16,1084.0,80.299,1784421039886.0,2066.459
tc-10-0,1784421093599.8596,1784421094602,1784421099887.0,1784421099966.3005,1002.14,5285.0,79.301,1784421039887.0,6366.441
tc-11-0,1784421095099.8296,1784421095652,1784421099887.0,1784421099966.3013,552.17,4235.0,79.301,1784421039887.0,4866.472
tc-12-0,1784421081499.8374,1784421082003,1784421099887.0,1784421099966.3025,503.163,17884.0,79.302,1784421039887.0,18466.465
tc-13-0,1784421096649.843,1784421096702,1784421099887.0,1784421099966.3037,52.157,3185.0,79.304,1784421039887.0,3316.461
tc-14-0,1784421097549.8638,1784421097752,1784421099887.0,1784421099966.3044,202.136,2135.0,79.304,1784421039887.0,2416.441
tc-15-0,1784421094499.8625,1784421094602,1784421099887.0,1784421099966.3093,102.137,5285.0,79.309,1784421039887.0,5466.447
tc-16-0,1784421097349.8516,1784421097752,1784421099887.0,1784421099966.311,402.148,2135.0,79.311,1784421039887.0,2616.459
tc-17-0,1784421094899.86,1784421095652,1784421099887.0,1784421099966.325,752.14,4235.0,79.325,1784421039887.0,5066.465
tc-18-0,1784421091999.8586,1784421092503,1784421099887.0,1784421099966.3254,503.141,7384.0,79.325,1784421039887.0,7966.467
tc-19-0,1784421096699.8289,1784421096702,1784421099888.0,1784421099966.3262,2.171,3186.0,78.326,1784421039888.0,3266.497
tc-2-0,1784421096149.8477,1784421096702,1784421099888.0,1784421099966.405,552.152,3186.0,78.405,1784421039888.0,3816.557
tc-20-0,1784421086099.839,1784421086203,1784421099888.0,1784421099966.406,103.161,13685.0,78.406,1784421039888.0,13866.567
tc-21-0,1784421093999.8308,1784421094602,1784421099888.0,1784421099966.4067,602.169,5286.0,78.407,1784421039888.0,5966.576
tc-22-0,1784421084399.8423,1784421085152,1784421099888.0,1784421099966.4075,752.158,14736.0,78.407,1784421039888.0,15566.565
tc-23-0,1784421079149.834,1784421079902,1784421099888.0,1784421099966.4084,752.166,19986.0,78.408,1784421039888.0,20816.574
tc-24-0,1784421094949.8362,1784421095652,1784421099888.0,1784421099966.4094,702.164,4236.0,78.409,1784421039888.0,5016.573
tc-25-0,1784421092349.8362,1784421092503,1784421099888.0,1784421099966.422,153.164,7385.0,78.422,1784421039888.0,7616.586
tc-26-0,1784421093549.8462,1784421093552,1784421099888.0,1784421099966.424,2.154,6336.0,78.424,1784421039888.0,6416.578
tc-27-0,1784421095849.8333,1784421096702,1784421099888.0,1784421099966.5974,852.167,3186.0,78.597,1784421039888.0,4116.764
tc-28-0,1784421097799.8628,1784421098802,1784421099888.0,1784421099966.5996,1002.137,1086.0,78.6,1784421039888.0,2166.737
tc-29-0,1784421088349.872,1784421089352,1784421099889.0,1784421099966.6003,1002.128,10537.0,77.6,1784421039889.0,11616.728
tc-3-0,1784421093349.8506,1784421093552,1784421099889.0,1784421099966.601,202.149,6337.0,77.601,1784421039889.0,6616.75
tc-30-0,1784421095149.8513,1784421095652,1784421099889.0,1784421099966.61,502.149,4237.0,77.61,1784421039889.0,4816.759
tc-31-0,1784421095949.8499,1784421096702,1784421099889.0,1784421099966.624,752.15,3187.0,77.624,1784421039889.0,4016.774
tc-32-0,1784421097399.845,1784421097752,1784421099889.0,1784421099966.6245,352.155,2137.0,77.625,1784421039889.0,2566.78
tc-33-0,1784421095199.8274,1784421095652,1784421099889.0,1784421099966.6543,452.173,4237.0,77.654,1784421039889.0,4766.827
tc-34-0,1784421095899.8296,1784421096702,1784421099889.0,1784421099966.655,802.17,3187.0,77.655,1784421039889.0,4066.825
tc-35-0,1784421095649.8555,1784421095652,1784421099889.0,1784421099966.6553,2.145,4237.0,77.655,1784421039889.0,4316.8
tc-36-0,1784421094099.8296,1784421094602,1784421099889.0,1784421099966.656,502.17,5287.0,77.656,1784421039889.0,5866.826
tc-37-0,1784421090899.84,1784421091453,1784421099890.0,1784421099966.6565,553.16,8437.0,76.656,1784421039890.0,9066.816
tc-38-0,1784421097949.829,1784421098802,1784421099890.0,1784421099966.6567,852.171,1088.0,76.657,1784421039890.0,2016.828
tc-39-0,1784421096099.828,1784421096702,1784421099890.0,1784421099966.706,602.172,3188.0,76.706,1784421039890.0,3866.878
tc-4-0,1784421097249.8523,1784421097752,1784421099890.0,1784421099966.7065,502.148,2138.0,76.707,1784421039890.0,2716.854
tc-40-0,1784421092099.8586,1784421092503,1784421099890.0,1784421099966.8337,403.141,7387.0,76.834,1784421039890.0,7866.975
tc-41-0,1784421092199.8416,1784421092503,1784421099890.0,1784421099966.8357,303.158,7387.0,76.836,1784421039890.0,7766.994
tc-42-0,1784421094799.879,1784421095652,1784421099890.0,1784421099966.8367,852.121,4238.0,76.837,1784421039890.0,5166.958
tc-43-0,1784421095549.8389,1784421095652,1784421099890.0,1784421099966.8374,102.161,4238.0,76.837,1784421039890.0,4416.999
tc-44-0,1784421092049.8406,1784421092503,1784421099890.0,1784421099966.8484,453.159,7387.0,76.848,1784421039890.0,7917.008
tc-45-0,1784421086449.8376,1784421087253,1784421099890.0,1784421099966.8496,803.162,12637.0,76.85,1784421039890.0,13517.012
tc-46-0,1784421095699.8552,1784421096702,1784421099890.0,1784421099966.8555,1002.145,3188.0,76.855,1784421039890.0,4267.0
tc-47-0,1784421093249.83,1784421093552,1784421099891.0,1784421099966.8564,302.17,6339.0,75.856,1784421039891.0,6717.026
tc-48-0,1784421095499.8396,1784421095652,1784421099891.0,1784421099966.8572,152.16,4239.0,75.857,1784421039891.0,4467.018
tc-49-0,1784421097749.857,1784421097752,1784421099891.0,1784421099966.858,2.143,2139.0,75.858,1784421039891.0,2217.001
tc-5-0,1784421097099.8296,1784421097752,1784421099891.0,1784421099966.8586,652.17,2139.0,75.859,1784421039891.0,2867.029
tc-50-0,1784421096449.8303,1784421096702,1784421099891.0,1784421099966.87,252.17,3189.0,75.87,1784421039891.0,3517.04
tc-51-0,1784421095999.8416,1784421096702,1784421099891.0,1784421099966.898,702.158,3189.0,75.898,1784421039891.0,3967.056
tc-52-0,1784421095399.8254,1784421095652,1784421099891.0,1784421099966.8987,252.175,4239.0,75.899,1784421039891.0,4567.073
tc-53-0,1784421094049.8284,1784421094602,1784421099891.0,1784421099966.9238,552.172,5289.0,75.924,1784421039891.0,5917.095
tc-54-0,1784421093299.828,1784421093552,1784421099891.0,1784421099966.993,252.172,6339.0,75.993,1784421039891.0,6667.165
tc-55-0,1784421072299.8308,1784421072553,1784421099891.0,1784421099966.994,253.169,27338.0,75.994,1784421039891.0,27667.163
tc-56-0,1784421082099.8433,1784421083053,1784421099891.0,1784421099966.9944,953.157,16838.0,75.994,1784421039891.0,17867.151
tc-57-0,1784421096599.821,1784421096702,1784421099892.0,1784421099966.9956,102.179,3190.0,74.996,1784421039892.0,3367.175
tc-58-0,1784421096999.835,1784421097752,1784421099892.0,1784421099966.996,752.165,2140.0,74.996,1784421039892.0,2967.161
tc-59-0,1784421096549.8245,1784421096702,1784421099892.0,1784421099966.9963,152.176,3190.0,74.996,1784421039892.0,3417.172
tc-6-0,1784421093899.8442,1784421094602,1784421099892.0,1784421099967.0327,702.156,5290.0,75.033,1784421039892.0,6067.188
tc-60-0,1784421096299.8389,1784421096702,1784421099892.0,1784421099967.0332,402.161,3190.0,75.033,1784421039892.0,3667.194
tc-61-0,1784421094399.8289,1784421094602,1784421099892.0,1784421099967.1218,202.171,5290.0,75.122,1784421039892.0,5567.293
tc-62-0,1784421091849.8457,1784421092503,1784421099892.0,1784421099967.1235,653.154,7389.0,75.124,1784421039892.0,8117.278
tc-63-0,1784421094699.8582,1784421095652,1784421099892.0,1784421099967.1243,952.142,4240.0,75.124,1784421039892.0,5267.266
