event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784526811825.1475,1784526812176,1784526828466.0,1784526828586.4343,350.853,16290.0,120.434,1784526768466.0,16761.287
tc-1-0,1784526813325.1423,1784526814277,1784526828475.0,1784526828586.439,951.858,14198.0,111.439,1784526768475.0,15261.297
tc-10-0,1784526809025.15,1784526809028,1784526828475.0,1784526828586.4404,2.85,19447.0,111.44,1784526768475.0,19561.291
tc-11-0,1784526810525.1382,1784526811127,1784526828475.0,1784526828586.461,601.862,17348.0,111.461,1784526768475.0,18061.323
tc-12-0,1784526796925.1392,1784526797478,1784526828476.0,1784526828586.4624,552.861,30998.0,110.462,1784526768476.0,31661.323
tc-13-0,1784526812075.137,1784526812176,1784526828476.0,1784526828586.464,100.863,16300.0,110.464,1784526768476.0,16511.327
tc-14-0,1784526812975.1348,1784526813228,1784526828476.0,1784526828586.4653,252.865,15248.0,110.465,1784526768476.0,15611.331
tc-15-0,1784526809925.1367,1784526810077,1784526828476.0,1784526828586.4707,151.863,18399.0,110.471,1784526768476.0,18661.334
tc-16-0,1784526812775.1414,1784526813228,1784526828476.0,1784526828586.4724,452.859,15248.0,110.472,1784526768476.0,15811.331
tc-17-0,1784526810325.1453,1784526811127,1784526828476.0,1784526828586.4734,801.855,17349.0,110.473,1784526768476.0,18261.328
tc-18-0,1784526807425.1536,1784526807978,1784526828476.0,1784526828586.4739,552.846,20498.0,110.474,1784526768476.0,21161.32
tc-19-0,1784526812125.1357,1784526812176,1784526828476.0,1784526828586.5195,50.864,16300.0,110.52,1784526768476.0,16461.384
tc-2-0,1784526811575.1416,1784526812176,1784526828477.0,1784526828586.5205,600.858,16301.0,109.521,1784526768477.0,17011.379
tc-20-0,1784526801525.146,1784526801678,1784526828477.0,1784526828586.5288,152.854,26799.0,109.529,1784526768477.0,27061.383
tc-21-0,1784526809425.1484,1784526810077,1784526828477.0,1784526828586.549,651.852,18400.0,109.549,1784526768477.0,19161.401
tc-22-0,1784526799825.139,1784526800628,1784526828477.0,1784526828586.5496,802.861,27849.0,109.55,1784526768477.0,28761.411
tc-23-0,1784526794575.1545,1784526795378,1784526828477.0,1784526828586.55,802.845,33099.0,109.55,1784526768477.0,34011.396
tc-24-0,1784526810375.1326,1784526811127,1784526828477.0,1784526828586.6309,751.867,17350.0,109.631,1784526768477.0,18211.498
tc-25-0,1784526807775.146,1784526807978,1784526828477.0,1784526828586.6318,202.854,20499.0,109.632,1784526768477.0,20811.486
tc-26-0,1784526808976.5632,1784526809028,1784526828477.0,1784526828586.6328,51.437,19449.0,109.633,1784526768477.0,19610.07
tc-27-0,1784526811275.1453,1784526812176,1784526828477.0,1784526828586.6335,900.855,16301.0,109.634,1784526768477.0,17311.488
tc-28-0,1784526813225.1409,1784526813228,1784526828477.0,1784526828586.6343,2.859,15249.0,109.634,1784526768477.0,15361.493
tc-29-0,1784526803775.1467,1784526803778,1784526828478.0,1784526828586.673,2.853,24700.0,108.673,1784526768478.0,24811.526
tc-3-0,1784526808775.1414,1784526809028,1784526828478.0,1784526828586.674,252.859,19450.0,108.674,1784526768478.0,19811.533
tc-30-0,1784526810575.1404,1784526811127,1784526828478.0,1784526828586.675,551.86,17351.0,108.675,1784526768478.0,18011.535
tc-31-0,1784526811375.146,1784526812176,1784526828478.0,1784526828586.7017,800.854,16302.0,108.702,1784526768478.0,17211.556
tc-32-0,1784526812825.1335,1784526813228,1784526828478.0,1784526828586.7026,402.866,15250.0,108.703,1784526768478.0,15761.569
tc-33-0,1784526810625.1458,1784526811127,1784526828478.0,1784526828586.7275,501.854,17351.0,108.728,1784526768478.0,17961.582
tc-34-0,1784526811325.1433,1784526812176,1784526828478.0,1784526828586.734,850.857,16302.0,108.734,1784526768478.0,17261.591
tc-35-0,1784526811075.1414,1784526811127,1784526828478.0,1784526828586.7688,51.859,17351.0,108.769,1784526768478.0,17511.627
tc-36-0,1784526809525.143,1784526810077,1784526828478.0,1784526828586.7695,551.857,18401.0,108.77,1784526768478.0,19061.626
tc-37-0,1784526806325.1445,1784526806927,1784526828478.0,1784526828586.8188,601.855,21551.0,108.819,1784526768478.0,22261.674
tc-38-0,1784526813375.144,1784526814277,1784526828479.0,1784526828586.8196,901.856,14202.0,107.82,1784526768479.0,15211.676
tc-39-0,1784526811525.1382,1784526812176,1784526828479.0,1784526828586.8254,650.862,16303.0,107.825,1784526768479.0,17061.687
tc-4-0,1784526812675.1492,1784526813228,1784526828479.0,1784526828586.826,552.851,15251.0,107.826,1784526768479.0,15911.677
tc-40-0,1784526807525.6436,1784526807978,1784526828479.0,1784526828586.845,452.356,20501.0,107.845,1784526768479.0,21061.201
tc-41-0,1784526807625.1453,1784526807978,1784526828479.0,1784526828586.9194,352.855,20501.0,107.919,1784526768479.0,20961.774
tc-42-0,1784526810225.149,1784526811127,1784526828479.0,1784526828586.9263,901.851,17352.0,107.926,1784526768479.0,18361.777
tc-43-0,1784526810975.1414,1784526811127,1784526828479.0,1784526828586.9268,151.859,17352.0,107.927,1784526768479.0,17611.785
tc-44-0,1784526807475.1416,1784526807978,1784526828479.0,1784526828586.927,502.858,20501.0,107.927,1784526768479.0,21111.785
tc-45-0,1784526801875.143,1784526802728,1784526828479.0,1784526828586.9275,852.857,25751.0,107.927,1784526768479.0,26711.784
tc-46-0,1784526811125.1467,1784526811127,1784526828479.0,1784526828586.9634,1.853,17352.0,107.963,1784526768479.0,17461.817
tc-47-0,1784526808675.1433,1784526809028,1784526828480.0,1784526828586.964,352.857,19452.0,106.964,1784526768480.0,19911.821
tc-48-0,1784526810925.1533,1784526811127,1784526828480.0,1784526828586.9675,201.847,17353.0,106.968,1784526768480.0,17661.814
tc-49-0,1784526813175.1418,1784526813228,1784526828480.0,1784526828586.9707,52.858,15252.0,106.971,1784526768480.0,15411.829
tc-5-0,1784526812525.1392,1784526813228,1784526828480.0,1784526828587.025,702.861,15252.0,107.025,1784526768480.0,16061.886
tc-50-0,1784526811875.1453,1784526812176,1784526828480.0,1784526828587.0254,300.855,16304.0,107.025,1784526768480.0,16711.88
tc-51-0,1784526811425.1433,1784526812176,1784526828480.0,1784526828587.0466,750.857,16304.0,107.047,1784526768480.0,17161.903
tc-52-0,1784526810825.1375,1784526811127,1784526828480.0,1784526828587.047,301.863,17353.0,107.047,1784526768480.0,17761.91
tc-53-0,1784526809475.1394,1784526810077,1784526828480.0,1784526828587.081,601.861,18403.0,107.081,1784526768480.0,19111.942
tc-54-0,1784526808725.1523,1784526809028,1784526828480.0,1784526828587.0815,302.848,19452.0,107.082,1784526768480.0,19861.929
tc-55-0,1784526787725.1448,1784526788027,1784526828480.0,1784526828587.087,301.855,40453.0,107.087,1784526768480.0,40861.942
tc-56-0,1784526797525.138,1784526798528,1784526828481.0,1784526828587.1096,1002.862,29953.0,106.11,1784526768481.0,31061.972
tc-57-0,1784526812025.1396,1784526812176,1784526828481.0,1784526828587.1138,150.86,16305.0,106.114,1784526768481.0,16561.974
tc-58-0,1784526812425.1487,1784526813228,1784526828481.0,1784526828587.15,802.851,15253.0,106.15,1784526768481.0,16162.001
tc-59-0,1784526811975.141,1784526812176,1784526828481.0,1784526828587.1912,200.859,16305.0,106.191,1784526768481.0,16612.05
