event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784416657751.4426,1784416657903,1784416661785.0,1784416661882.4229,151.557,3882.0,97.423,1784416601785.0,4130.98
tc-1-0,1784416659251.4436,1784416660002,1784416661795.0,1784416661882.4265,750.556,1793.0,87.427,1784416601795.0,2630.983
tc-10-0,1784416654951.438,1784416655803,1784416661795.0,1784416661882.4277,851.562,5992.0,87.428,1784416601795.0,6930.99
tc-11-0,1784416656451.4822,1784416656853,1784416661795.0,1784416661882.4287,401.518,4942.0,87.429,1784416601795.0,5430.947
tc-12-0,1784416642851.4534,1784416643303,1784416661795.0,1784416661882.4297,451.547,18492.0,87.43,1784416601795.0,19030.976
tc-13-0,1784416658001.447,1784416658953,1784416661795.0,1784416661882.437,951.553,2842.0,87.437,1784416601795.0,3880.99
tc-14-0,1784416658901.4429,1784416658953,1784416661795.0,1784416661882.4377,51.557,2842.0,87.438,1784416601795.0,2980.995
tc-15-0,1784416655851.464,1784416656853,1784416661795.0,1784416661882.4424,1001.536,4942.0,87.442,1784416601795.0,6030.978
tc-16-0,1784416658701.4502,1784416658953,1784416661795.0,1784416661882.444,251.55,2842.0,87.444,1784416601795.0,3180.994
tc-17-0,1784416656251.4578,1784416656853,1784416661796.0,1784416661882.4453,601.542,4943.0,86.445,1784416601796.0,5630.988
tc-18-0,1784416653351.4485,1784416653755,1784416661796.0,1784416661882.4458,403.552,8041.0,86.446,1784416601796.0,8530.997
tc-19-0,1784416658051.4514,1784416658953,1784416661796.0,1784416661882.46,901.549,2843.0,86.46,1784416601796.0,3831.009
tc-2-0,1784416657501.4666,1784416657903,1784416661796.0,1784416661882.4607,401.533,3893.0,86.461,1784416601796.0,4380.994
tc-20-0,1784416647451.4485,1784416647453,1784416661796.0,1784416661882.4614,1.552,14343.0,86.461,1784416601796.0,14431.013
tc-21-0,1784416655351.4402,1784416655803,1784416661796.0,1784416661882.462,451.56,5993.0,86.462,1784416601796.0,6531.022
tc-22-0,1784416645751.4756,1784416646404,1784416661796.0,1784416661883.5503,652.524,15392.0,87.55,1784416601796.0,16132.075
tc-23-0,1784416640501.4722,1784416641204,1784416661796.0,1784416661883.5515,702.528,20592.0,87.552,1784416601796.0,21382.079
tc-24-0,1784416656301.4438,1784416656853,1784416661796.0,1784416661883.5525,551.556,4943.0,87.552,1784416601796.0,5582.109
tc-25-0,1784416653701.469,1784416653755,1784416661796.0,1784416661883.5532,53.531,8041.0,87.553,1784416601796.0,8182.084
tc-26-0,1784416654901.4426,1784416655803,1784416661796.0,1784416661883.5537,901.557,5993.0,87.554,1784416601796.0,6982.111
tc-27-0,1784416657201.4395,1784416657903,1784416661797.0,1784416661883.5542,701.561,3894.0,86.554,1784416601797.0,4682.115
tc-28-0,1784416659151.4377,1784416660002,1784416661797.0,1784416661883.5547,850.562,1795.0,86.555,1784416601797.0,2732.117
tc-29-0,1784416649701.4539,1784416650603,1784416661797.0,1784416661883.5552,901.546,11194.0,86.555,1784416601797.0,12182.101
tc-3-0,1784416654701.4097,1784416654757,1784416661797.0,1784416661883.556,55.59,7040.0,86.556,1784416601797.0,7182.146
tc-30-0,1784416656501.4434,1784416656853,1784416661797.0,1784416661883.5564,351.557,4944.0,86.556,1784416601797.0,5382.113
tc-31-0,1784416657301.4348,1784416657903,1784416661797.0,1784416661883.5654,601.565,3894.0,86.565,1784416601797.0,4582.131
tc-32-0,1784416658751.44,1784416658953,1784416661798.0,1784416661883.5662,201.56,2845.0,85.566,1784416601798.0,3132.126
tc-33-0,1784416656551.4905,1784416656853,1784416661798.0,1784416661883.5676,301.51,4945.0,85.568,1784416601798.0,5332.077
tc-34-0,1784416657251.4407,1784416657903,1784416661798.0,1784416661883.568,651.559,3895.0,85.568,1784416601798.0,4632.127
tc-35-0,1784416657001.4353,1784416657903,1784416661798.0,1784416661883.5686,901.565,3895.0,85.569,1784416601798.0,4882.133
tc-36-0,1784416655451.4583,1784416655803,1784416661798.0,1784416661883.569,351.542,5995.0,85.569,1784416601798.0,6432.111
tc-37-0,1784416652251.4602,1784416652704,1784416661798.0,1784416661883.5696,452.54,9094.0,85.57,1784416601798.0,9632.109
tc-38-0,1784416659301.4414,1784416660002,1784416661799.0,1784416661883.57,700.559,1797.0,84.57,1784416601799.0,2582.129
