event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784588011529.1877,1784588011682,1784588015062.0,1784588015159.0579,152.812,3380.0,97.058,1784587955062.0,3629.87
tc-1-0,1784588013029.19,1784588013782,1784588015075.0,1784588015159.0627,752.81,1293.0,84.063,1784587955075.0,2129.873
tc-10-0,1784588008729.189,1784588009581,1784588015075.0,1784588015159.0645,851.811,5494.0,84.064,1784587955075.0,6429.875
tc-11-0,1784588010229.1926,1784588010634,1784588015075.0,1784588015159.0654,404.807,4441.0,84.065,1784587955075.0,4929.873
tc-12-0,1784587996629.21,1784587996983,1784588015075.0,1784588015159.0671,353.79,18092.0,84.067,1784587955075.0,18529.857
tc-13-0,1784588011779.1895,1784588012732,1784588015076.0,1784588015159.0688,952.811,2344.0,83.069,1784587955076.0,3379.879
tc-14-0,1784588012679.1843,1784588012732,1784588015076.0,1784588015159.07,52.816,2344.0,83.07,1784587955076.0,2479.886
tc-15-0,1784588009629.1946,1784588010634,1784588015076.0,1784588015159.076,1004.805,4442.0,83.076,1784587955076.0,5529.881
tc-16-0,1784588012479.1914,1784588012732,1784588015076.0,1784588015159.0786,252.809,2344.0,83.079,1784587955076.0,2679.887
tc-17-0,1784588010029.194,1784588010634,1784588015076.0,1784588015159.0874,604.806,4442.0,83.087,1784587955076.0,5129.893
tc-18-0,1784588007129.1958,1784588007482,1784588015076.0,1784588015159.0884,352.804,7594.0,83.088,1784587955076.0,8029.893
tc-19-0,1784588011830.5503,1784588012732,1784588015076.0,1784588015159.108,901.45,2344.0,83.108,1784587955076.0,3328.558
tc-2-0,1784588011279.191,1784588011682,1784588015076.0,1784588015159.1091,402.809,3394.0,83.109,1784587955076.0,3879.918
tc-20-0,1784588001229.1924,1784588002231,1784588015076.0,1784588015159.11,1001.808,12845.0,83.11,1784587955076.0,13929.918
tc-21-0,1784588009129.1914,1784588009581,1784588015077.0,1784588015159.1108,451.809,5496.0,82.111,1784587955077.0,6029.919
tc-22-0,1784587999529.192,1784588000131,1784588015077.0,1784588015159.1116,601.808,14946.0,82.112,1784587955077.0,15629.92
tc-23-0,1784587994279.1895,1784587994932,1784588015077.0,1784588015159.1123,652.811,20145.0,82.112,1784587955077.0,20879.923
tc-24-0,1784588010079.1938,1784588010634,1784588015077.0,1784588015159.1133,554.806,4443.0,82.113,1784587955077.0,5079.919
tc-25-0,1784588007479.1956,1784588007482,1784588015077.0,1784588015159.114,2.804,7595.0,82.114,1784587955077.0,7679.918
tc-26-0,1784588008679.1865,1784588009581,1784588015077.0,1784588015159.115,901.813,5496.0,82.115,1784587955077.0,6479.928
tc-27-0,1784588010979.1887,1784588011682,1784588015077.0,1784588015159.1157,702.811,3395.0,82.116,1784587955077.0,4179.927
tc-28-0,1784588012929.1912,1784588013782,1784588015077.0,1784588015159.1165,852.809,1295.0,82.116,1784587955077.0,2229.925
tc-29-0,1784588003479.1846,1784588004332,1784588015078.0,1784588015159.1238,852.815,10746.0,81.124,1784587955078.0,11679.939
tc-3-0,1784588008479.1885,1784588008531,1784588015078.0,1784588015159.1248,51.812,6547.0,81.125,1784587955078.0,6679.936
tc-30-0,1784588010279.1926,1784588010634,1784588015078.0,1784588015159.1255,354.807,4444.0,81.125,1784587955078.0,4879.933
tc-31-0,1784588011079.1982,1784588011682,1784588015078.0,1784588015159.131,602.802,3396.0,81.131,1784587955078.0,4079.933
tc-32-0,1784588012529.1897,1784588012732,1784588015078.0,1784588015159.132,202.81,2346.0,81.132,1784587955078.0,2629.942
tc-33-0,1784588010329.1912,1784588010634,1784588015078.0,1784588015159.194,304.809,4444.0,81.194,1784587955078.0,4830.003
tc-34-0,1784588011029.187,1784588011682,1784588015078.0,1784588015159.195,652.813,3396.0,81.195,1784587955078.0,4130.008
tc-35-0,1784588010779.1982,1784588011682,1784588015078.0,1784588015159.1958,902.802,3396.0,81.196,1784587955078.0,4379.998
tc-36-0,1784588009229.1882,1784588009581,1784588015078.0,1784588015159.1965,351.812,5497.0,81.197,1784587955078.0,5930.008
