event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784515285310.0452,1784515285463,1784515311042.0,1784515311164.9624,152.955,25579.0,122.962,1784515251042.0,25854.917
tc-1-0,1784515299410.0493,1784515300163,1784515311051.0,1784515311164.9656,752.951,10888.0,113.966,1784515251051.0,11754.916
tc-101-0,1784515303610.0427,1784515304312,1784515311051.0,1784515311164.9666,701.957,6739.0,113.967,1784515251051.0,7554.924
tc-103-0,1784515285410.051,1784515285463,1784515311051.0,1784515311164.9675,52.949,25588.0,113.968,1784515251051.0,25754.917
tc-104-0,1784515306360.0554,1784515306413,1784515311051.0,1784515311164.9695,52.945,4638.0,113.969,1784515251051.0,4804.914
tc-105-0,1784515290060.0505,1784515290713,1784515311051.0,1784515311164.9705,652.949,20338.0,113.97,1784515251051.0,21104.92
tc-108-0,1784515297560.0498,1784515298063,1784515311051.0,1784515311164.9714,502.95,12988.0,113.971,1784515251051.0,13604.922
tc-11-0,1784515296310.045,1784515297013,1784515311051.0,1784515311164.9768,702.955,14038.0,113.977,1784515251051.0,14854.932
tc-112-0,1784515296660.048,1784515297013,1784515311051.0,1784515311164.989,352.952,14038.0,113.989,1784515251051.0,14504.941
tc-115-0,1784515304910.046,1784515305362,1784515311051.0,1784515311164.99,451.954,5689.0,113.99,1784515251051.0,6254.944
tc-119-0,1784515282910.0457,1784515283363,1784515311052.0,1784515311164.9905,452.954,27689.0,112.99,1784515251052.0,28254.945
tc-12-0,1784515305860.0571,1784515306413,1784515311052.0,1784515311164.9907,552.943,4639.0,112.991,1784515251052.0,5304.934
tc-120-0,1784515280160.0466,1784515281297,1784515311052.0,1784515311164.9912,1136.953,29755.0,112.991,1784515251052.0,31004.945
tc-122-0,1784515288710.0396,1784515289662,1784515311052.0,1784515311164.9915,951.96,21390.0,112.991,1784515251052.0,22454.952
tc-123-0,1784515305510.0476,1784515306413,1784515311052.0,1784515311164.992,902.952,4639.0,112.992,1784515251052.0,5654.944
tc-124-0,1784515296260.0532,1784515297013,1784515311052.0,1784515311165.1135,752.947,14039.0,113.114,1784515251052.0,14905.06
tc-125-0,1784515285860.0508,1784515286514,1784515311052.0,1784515311165.1162,653.949,24538.0,113.116,1784515251052.0,25305.065
tc-126-0,1784515279610.0454,1784515281297,1784515311052.0,1784515311165.1304,1686.955,29755.0,113.13,1784515251052.0,31555.085
tc-128-0,1784515284360.043,1784515284413,1784515311052.0,1784515311165.1313,52.957,26639.0,113.131,1784515251052.0,26805.088
tc-130-0,1784515307610.0457,1784515308512,1784515311052.0,1784515311165.1323,901.954,2540.0,113.132,1784515251052.0,3555.087
tc-132-0,1784515296510.059,1784515297013,1784515311052.0,1784515311165.148,502.941,14039.0,113.148,1784515251052.0,14655.089
tc-134-0,1784515290660.0435,1784515290713,1784515311052.0,1784515311165.1487,52.957,20339.0,113.149,1784515251052.0,20505.105
tc-136-0,1784515303410.0432,1784515304312,1784515311052.0,1784515311165.1494,901.957,6740.0,113.149,1784515251052.0,7755.106
tc-14-0,1784515298310.048,1784515299112,1784515311052.0,1784515311165.15,801.952,11940.0,113.15,1784515251052.0,12855.102
tc-140-0,1784515293110.044,1784515293863,1784515311053.0,1784515311165.1506,752.956,17190.0,112.151,1784515251053.0,18055.107
tc-142-0,1784515290160.0505,1784515290713,1784515311053.0,1784515311165.2292,552.949,20340.0,112.229,1784515251053.0,21005.179
tc-143-0,1784515298160.051,1784515299112,1784515311053.0,1784515311165.2307,951.949,11941.0,112.231,1784515251053.0,13005.18
tc-146-0,1784515293710.0444,1784515293863,1784515311053.0,1784515311165.232,152.956,17190.0,112.232,1784515251053.0,17455.188
tc-147-0,1784515280110.0505,1784515281297,1784515311053.0,1784515311165.2905,1186.949,29756.0,112.291,1784515251053.0,31055.24
tc-148-0,1784515300660.0479,1784515301213,1784515311053.0,1784515311165.2917,552.952,9840.0,112.292,1784515251053.0,10505.244
tc-149-0,1784515289610.0469,1784515289662,1784515311053.0,1784515311165.2927,51.953,21391.0,112.293,1784515251053.0,21555.246
tc-150-0,1784515286510.052,1784515286514,1784515311053.0,1784515311165.3374,3.948,24539.0,112.337,1784515251053.0,24655.285
tc-152-0,1784515285660.0466,1784515286514,1784515311053.0,1784515311165.3386,853.953,24539.0,112.339,1784515251053.0,25505.292
tc-154-0,1784515289460.0493,1784515289662,1784515311053.0,1784515311165.358,201.951,21391.0,112.358,1784515251053.0,21705.309
tc-158-0,1784515293560.0605,1784515293863,1784515311053.0,1784515311165.3586,302.939,17190.0,112.359,1784515251053.0,17605.298
tc-159-0,1784515289810.0503,1784515290713,1784515311053.0,1784515311165.3591,902.95,20340.0,112.359,1784515251053.0,21355.309
tc-16-0,1784515301210.0435,1784515301213,1784515311053.0,1784515311165.3596,2.957,9840.0,112.36,1784515251053.0,9955.316
tc-162-0,1784515305160.0479,1784515305362,1784515311053.0,1784515311165.4307,201.952,5691.0,112.431,1784515251053.0,6005.383
tc-165-0,1784515308210.038,1784515308512,1784515311054.0,1784515311165.4314,301.962,2542.0,111.431,1784515251054.0,2955.393
tc-166-0,1784515285160.0469,1784515285463,1784515311054.0,1784515311165.4316,302.953,25591.0,111.432,1784515251054.0,26005.385
tc-168-0,1784515281510.0522,1784515282312,1784515311054.0,1784515311165.432,801.948,28742.0,111.432,1784515251054.0,29655.38
tc-17-0,1784515295960.0522,1784515295962,1784515311054.0,1784515311165.4326,1.948,15092.0,111.433,1784515251054.0,15205.38
tc-171-0,1784515308160.036,1784515308512,1784515311054.0,1784515311165.481,351.964,2542.0,111.481,1784515251054.0,3005.445
tc-172-0,1784515282860.0442,1784515283363,1784515311054.0,1784515311165.4814,502.956,27691.0,111.481,1784515251054.0,28305.437
tc-176-0,1784515291460.0483,1784515291763,1784515311054.0,1784515311165.4875,302.952,19291.0,111.488,1784515251054.0,19705.439
tc-178-0,1784515308710.0432,1784515309563,1784515311054.0,1784515311165.5334,852.957,1491.0,111.533,1784515251054.0,2455.49
tc-18-0,1784515297310.0425,1784515298063,1784515311054.0,1784515311165.5342,752.958,12991.0,111.534,1784515251054.0,13855.492
tc-182-0,1784515297110.0422,1784515298063,1784515311054.0,1784515311165.5347,952.958,12991.0,111.535,1784515251054.0,14055.492
tc-185-0,1784515295160.05,1784515295962,1784515311054.0,1784515311165.5684,801.95,15092.0,111.568,1784515251054.0,16005.518
tc-186-0,1784515284060.041,1784515284413,1784515311054.0,1784515311165.5688,352.959,26641.0,111.569,1784515251054.0,27105.528
tc-187-0,1784515295810.0479,1784515295962,1784515311054.0,1784515311165.6228,151.952,15092.0,111.623,1784515251054.0,15355.575
tc-189-0,1784515298910.0432,1784515299112,1784515311054.0,1784515311165.6555,201.957,11942.0,111.656,1784515251054.0,12255.612
tc-19-0,1784515301860.0496,1784515302263,1784515311055.0,1784515311165.6562,402.95,8792.0,110.656,1784515251055.0,9305.607
tc-194-0,1784515306710.0464,1784515307462,1784515311055.0,1784515311165.664,751.954,3593.0,110.664,1784515251055.0,4455.618
tc-195-0,1784515285060.0466,1784515285463,1784515311055.0,1784515311165.665,402.953,25592.0,110.665,1784515251055.0,26105.618
tc-198-0,1784515287810.0474,1784515288612,1784515311055.0,1784515311165.6963,801.953,22443.0,110.696,1784515251055.0,23355.649
tc-200-0,1784515305810.0532,1784515306413,1784515311055.0,1784515311165.7136,602.947,4642.0,110.714,1784515251055.0,5355.66
tc-201-0,1784515288260.0488,1784515288612,1784515311055.0,1784515311165.7197,351.951,22443.0,110.72,1784515251055.0,22905.671
tc-203-0,1784515303110.0483,1784515303266,1784515311055.0,1784515311165.731,155.952,7789.0,110.731,1784515251055.0,8055.683
tc-204-0,1784515304010.0417,1784515304312,1784515311055.0,1784515311165.7537,301.958,6743.0,110.754,1784515251055.0,7155.712
tc-205-0,1784515299610.0442,1784515300163,1784515311055.0,1784515311165.7744,552.956,10892.0,110.774,1784515251055.0,11555.73
tc-206-0,1784515296810.0525,1784515297013,1784515311055.0,1784515311165.809,202.948,14042.0,110.809,1784515251055.0,14355.757
tc-209-0,1784515288310.0452,1784515288612,1784515311055.0,1784515311165.8748,301.955,22443.0,110.875,1784515251055.0,22855.83
tc-21-0,1784515289910.0605,1784515290713,1784515311055.0,1784515311165.984,802.939,20342.0,110.984,1784515251055.0,21255.923
tc-210-0,1784515280660.0488,1784515281297,1784515311055.0,1784515311165.9846,636.951,29758.0,110.985,1784515251055.0,30505.936
tc-212-0,1784515308260.04,1784515308512,1784515311055.0,1784515311166.088,251.96,2543.0,111.088,1784515251055.0,2906.048
tc-213-0,1784515285110.0444,1784515285463,1784515311055.0,1784515311166.0886,352.956,25592.0,111.089,1784515251055.0,26056.044
tc-216-0,1784515290310.0488,1784515290713,1784515311056.0,1784515311166.089,402.951,20343.0,110.089,1784515251056.0,20856.04
tc-222-0,1784515303660.0437,1784515304312,1784515311056.0,1784515311166.148,651.956,6744.0,110.148,1784515251056.0,7506.104
tc-224-0,1784515293860.0532,1784515293863,1784515311056.0,1784515311166.1492,2.947,17193.0,110.149,1784515251056.0,17306.096
tc-225-0,1784515308410.0479,1784515308512,1784515311056.0,1784515311166.15,101.952,2544.0,110.15,1784515251056.0,2756.102
tc-227-0,1784515296160.0479,1784515297013,1784515311056.0,1784515311166.172,852.952,14043.0,110.172,1784515251056.0,15006.124
tc-228-0,1784515287010.0464,1784515287561,1784515311056.0,1784515311166.485,550.954,23495.0,110.485,1784515251056.0,24156.439
tc-229-0,1784515294110.0503,1784515294913,1784515311056.0,1784515311166.4868,802.95,16143.0,110.487,1784515251056.0,17056.437
tc-23-0,1784515299960.042,1784515300163,1784515311056.0,1784515311166.4878,202.958,10893.0,110.488,1784515251056.0,11206.446
tc-232-0,1784515288210.0432,1784515288612,1784515311056.0,1784515311166.4888,401.957,22444.0,110.489,1784515251056.0,22956.446
tc-234-0,1784515294910.051,1784515294913,1784515311056.0,1784515311166.4897,2.949,16143.0,110.49,1784515251056.0,16256.439
tc-235-0,1784515297960.0469,1784515298063,1784515311056.0,1784515311166.4917,102.953,12993.0,110.492,1784515251056.0,13206.445
tc-236-0,1784515302660.0588,1784515303266,1784515311056.0,1784515311166.4927,605.941,7790.0,110.493,1784515251056.0,8506.434
tc-238-0,1784515300060.0405,1784515300163,1784515311056.0,1784515311166.526,102.959,10893.0,110.526,1784515251056.0,11106.485
tc-240-0,1784515302560.052,1784515303266,1784515311056.0,1784515311166.527,705.948,7790.0,110.527,1784515251056.0,8606.475
tc-244-0,1784515296610.0513,1784515297013,1784515311056.0,1784515311166.5278,402.949,14043.0,110.528,1784515251056.0,14556.477
tc-246-0,1784515293310.0457,1784515293863,1784515311056.0,1784515311166.5286,552.954,17193.0,110.529,1784515251056.0,17856.483
tc-249-0,1784515308660.047,1784515309563,1784515311057.0,1784515311166.5293,902.953,1494.0,109.529,1784515251057.0,2506.482
tc-250-0,1784515301960.0364,1784515302263,1784515311057.0,1784515311166.5298,302.964,8794.0,109.53,1784515251057.0,9206.493
