event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784609413848.4873,1784609413900,1784609456141.0,1784609456266.449,51.513,42241.0,125.449,1784609396141.0,42417.962
tc-1-0,1784609415348.454,1784609416000,1784609456150.0,1784609456266.4526,651.546,40150.0,116.453,1784609396150.0,40917.999
tc-10-0,1784609411048.4543,1784609411801,1784609456150.0,1784609456266.4534,752.546,44349.0,116.453,1784609396150.0,45217.999
tc-11-0,1784609412548.4468,1784609412849,1784609456150.0,1784609456266.4539,300.553,43301.0,116.454,1784609396150.0,43718.007
tc-12-0,1784609398948.4502,1784609399200,1784609456150.0,1784609456266.4548,251.55,56950.0,116.455,1784609396150.0,57318.005
tc-13-0,1784609414098.468,1784609414951,1784609456150.0,1784609456266.4556,852.532,41199.0,116.456,1784609396150.0,42167.988
tc-14-0,1784609414998.4558,1784609416000,1784609456151.0,1784609456266.4658,1001.544,40151.0,115.466,1784609396151.0,41268.01
tc-15-0,1784609411948.4475,1784609412849,1784609456151.0,1784609456266.4697,900.552,43302.0,115.47,1784609396151.0,44318.022
tc-16-0,1784609414798.4512,1784609414951,1784609456151.0,1784609456266.4712,152.549,41200.0,115.471,1784609396151.0,41468.02
tc-17-0,1784609412348.4587,1784609412849,1784609456151.0,1784609456266.472,500.541,43302.0,115.472,1784609396151.0,43918.013
tc-18-0,1784609409448.4453,1784609409701,1784609456151.0,1784609456266.4778,252.555,46450.0,115.478,1784609396151.0,46818.032
tc-19-0,1784609414148.4697,1784609414951,1784609456151.0,1784609456266.4783,802.53,41200.0,115.478,1784609396151.0,42118.009
tc-2-0,1784609413598.4595,1784609413900,1784609456151.0,1784609456266.4788,301.541,42251.0,115.479,1784609396151.0,42668.019
tc-20-0,1784609403548.452,1784609404450,1784609456151.0,1784609456266.4792,901.548,51701.0,115.479,1784609396151.0,52718.027
tc-21-0,1784609411448.4343,1784609411801,1784609456151.0,1784609456266.5625,352.566,44350.0,115.562,1784609396151.0,44818.128
tc-22-0,1784609401848.4604,1784609402350,1784609456152.0,1784609456266.5635,501.54,53802.0,114.563,1784609396152.0,54418.103
tc-23-0,1784609396598.4575,1784609397100,1784609456152.0,1784609456266.564,501.542,59052.0,114.564,1784609396152.0,59668.106
tc-24-0,1784609412398.4524,1784609412849,1784609456152.0,1784609456266.5886,450.548,43303.0,114.589,1784609396152.0,43868.136
tc-25-0,1784609409798.453,1784609410750,1784609456152.0,1784609456266.589,951.547,45402.0,114.589,1784609396152.0,46468.136
tc-26-0,1784609410998.4517,1784609411801,1784609456152.0,1784609456266.5896,802.548,44351.0,114.59,1784609396152.0,45268.138
tc-27-0,1784609413298.4717,1784609413900,1784609456152.0,1784609456266.59,601.528,42252.0,114.59,1784609396152.0,42968.118
tc-28-0,1784609415248.4453,1784609416000,1784609456152.0,1784609456266.6343,751.555,40152.0,114.634,1784609396152.0,41018.189
tc-29-0,1784609405798.4553,1784609406550,1784609456152.0,1784609456266.669,751.545,49602.0,114.669,1784609396152.0,50468.214
tc-3-0,1784609410798.4473,1784609411801,1784609456152.0,1784609456266.6697,1002.553,44351.0,114.67,1784609396152.0,45468.222
tc-30-0,1784609412598.448,1784609412849,1784609456153.0,1784609456266.7454,250.552,43304.0,113.745,1784609396153.0,43668.297
tc-31-0,1784609413398.474,1784609413900,1784609456153.0,1784609456266.7522,501.526,42253.0,113.752,1784609396153.0,42868.278
tc-32-0,1784609414848.4697,1784609414951,1784609456153.0,1784609456266.7524,102.53,41202.0,113.752,1784609396153.0,41418.283
tc-33-0,1784609412648.4456,1784609412849,1784609456153.0,1784609456266.7583,200.554,43304.0,113.758,1784609396153.0,43618.313
tc-34-0,1784609413348.4468,1784609413900,1784609456153.0,1784609456266.7607,551.553,42253.0,113.761,1784609396153.0,42918.314
tc-35-0,1784609413098.4478,1784609413900,1784609456153.0,1784609456266.7893,801.552,42253.0,113.789,1784609396153.0,43168.342
tc-36-0,1784609411548.453,1784609411801,1784609456153.0,1784609456266.79,252.547,44352.0,113.79,1784609396153.0,44718.337
tc-37-0,1784609408348.4412,1784609408651,1784609456153.0,1784609456266.814,302.559,47502.0,113.814,1784609396153.0,47918.373
tc-38-0,1784609415398.4502,1784609416000,1784609456153.0,1784609456266.8145,601.55,40153.0,113.814,1784609396153.0,40868.364
tc-39-0,1784609413548.4475,1784609413900,1784609456154.0,1784609456266.9531,351.552,42254.0,112.953,1784609396154.0,42718.506
tc-4-0,1784609414698.4492,1784609414951,1784609456154.0,1784609456266.9556,252.551,41203.0,112.956,1784609396154.0,41568.506
tc-40-0,1784609409548.455,1784609409701,1784609456154.0,1784609456266.956,152.545,46453.0,112.956,1784609396154.0,46718.501
tc-41-0,1784609409648.4526,1784609409701,1784609456154.0,1784609456266.9568,52.547,46453.0,112.957,1784609396154.0,46618.504
tc-42-0,1784609412248.4495,1784609412849,1784609456154.0,1784609456266.9692,600.551,43305.0,112.969,1784609396154.0,44018.52
tc-43-0,1784609412998.4556,1784609413900,1784609456154.0,1784609456266.982,901.544,42254.0,112.982,1784609396154.0,43268.526
tc-44-0,1784609409498.4453,1784609409701,1784609456154.0,1784609456266.9824,202.555,46453.0,112.982,1784609396154.0,46768.537
tc-45-0,1784609403898.408,1784609404450,1784609456154.0,1784609456266.983,551.592,51704.0,112.983,1784609396154.0,52368.575
tc-46-0,1784609413148.456,1784609413900,1784609456154.0,1784609456266.9905,751.544,42254.0,112.99,1784609396154.0,43118.534
tc-47-0,1784609410698.451,1784609410750,1784609456154.0,1784609456267.0386,51.549,45404.0,113.039,1784609396154.0,45568.588
tc-48-0,1784609412948.451,1784609413900,1784609456155.0,1784609456267.0398,951.549,42255.0,112.04,1784609396155.0,43318.589
tc-49-0,1784609415198.4604,1784609416000,1784609456155.0,1784609456267.04,801.54,40155.0,112.04,1784609396155.0,41068.58
tc-5-0,1784609414548.4556,1784609414951,1784609456155.0,1784609456267.0522,402.544,41204.0,112.052,1784609396155.0,41718.597
tc-50-0,1784609413898.4578,1784609413900,1784609456155.0,1784609456267.053,1.542,42255.0,112.053,1784609396155.0,42368.595
tc-51-0,1784609413448.4412,1784609413900,1784609456155.0,1784609456267.0535,451.559,42255.0,112.053,1784609396155.0,42818.612
tc-52-0,1784609412848.451,1784609412849,1784609456155.0,1784609456267.1108,0.549,43306.0,112.111,1784609396155.0,43418.66
tc-53-0,1784609411498.4368,1784609411801,1784609456155.0,1784609456267.1125,302.563,44354.0,112.113,1784609396155.0,44768.676
tc-54-0,1784609410748.4734,1784609410750,1784609456155.0,1784609456267.1135,1.527,45405.0,112.114,1784609396155.0,45518.64
tc-55-0,1784609389748.47,1784609389850,1784609456155.0,1784609456267.1145,101.53,66305.0,112.115,1784609396155.0,66518.645
tc-56-0,1784609399548.473,1784609400254,1784609456155.0,1784609456267.1348,705.527,55901.0,112.135,1784609396155.0,56718.662
tc-57-0,1784609414048.4468,1784609414951,1784609456155.0,1784609456267.192,902.553,41204.0,112.192,1784609396155.0,42218.745
tc-58-0,1784609414448.4514,1784609414951,1784609456156.0,1784609456267.1943,502.549,41205.0,111.194,1784609396156.0,41818.743
tc-59-0,1784609413998.446,1784609414951,1784609456156.0,1784609456267.2065,952.554,41205.0,111.207,1784609396156.0,42268.76
tc-6-0,1784609411348.4573,1784609411801,1784609456156.0,1784609456267.2075,452.543,44355.0,111.208,1784609396156.0,44918.75
tc-60-0,1784609413748.4434,1784609413900,1784609456156.0,1784609456267.2087,151.557,42256.0,111.209,1784609396156.0,42518.765
tc-61-0,1784609411848.4507,1784609412849,1784609456156.0,1784609456267.2158,1000.549,43307.0,111.216,1784609396156.0,44418.765
tc-62-0,1784609409298.443,1784609409701,1784609456156.0,1784609456267.2168,402.557,46455.0,111.217,1784609396156.0,46968.774
tc-63-0,1784609412148.4492,1784609412849,1784609456156.0,1784609456267.218,700.551,43307.0,111.218,1784609396156.0,44118.769
tc-64-0,1784609412098.456,1784609412849,1784609456156.0,1784609456267.3289,750.544,43307.0,111.329,1784609396156.0,44168.873
tc-65-0,1784609410598.4714,1784609410750,1784609456156.0,1784609456267.3306,151.529,45406.0,111.331,1784609396156.0,45668.859
tc-66-0,1784609414198.4487,1784609414951,1784609456156.0,1784609456267.4893,752.551,41205.0,111.489,1784609396156.0,42069.041
tc-67-0,1784609415098.452,1784609416000,1784609456156.0,1784609456267.4915,901.548,40156.0,111.491,1784609396156.0,41169.04
tc-68-0,1784609406498.4695,1784609406550,1784609456157.0,1784609456267.4934,51.531,49607.0,110.493,1784609396157.0,49769.024
tc-69-0,1784609402448.4563,1784609403400,1784609456157.0,1784609456267.4946,951.544,52757.0,110.495,1784609396157.0,53819.038
tc-7-0,1784609413048.4614,1784609413900,1784609456157.0,1784609456267.4954,851.539,42257.0,110.495,1784609396157.0,43219.034
tc-70-0,1784609414498.4497,1784609414951,1784609456157.0,1784609456267.5203,452.55,41206.0,110.52,1784609396157.0,41769.071
tc-71-0,1784609398048.4807,1784609398151,1784609456157.0,1784609456267.521,102.519,58006.0,110.521,1784609396157.0,58219.04
tc-72-0,1784609414648.465,1784609414951,1784609456157.0,1784609456267.5925,302.535,41206.0,110.593,1784609396157.0,41619.127
tc-73-0,1784609388848.451,1784609389850,1784609456157.0,1784609456267.5945,1001.549,66307.0,110.594,1784609396157.0,67419.144
tc-74-0,1784609415148.4573,1784609416000,1784609456157.0,1784609456267.5955,851.543,40157.0,110.595,1784609396157.0,41119.138
tc-75-0,1784609413798.4507,1784609413900,1784609456157.0,1784609456267.5962,101.549,42257.0,110.596,1784609396157.0,42469.146
tc-76-0,1784609415298.4495,1784609416000,1784609456157.0,1784609456267.597,701.551,40157.0,110.597,1784609396157.0,40969.147
tc-77-0,1784609408848.4458,1784609409701,1784609456157.0,1784609456267.6567,852.554,46456.0,110.657,1784609396157.0,47419.211
tc-78-0,1784609407248.458,1784609407601,1784609456157.0,1784609456267.658,352.542,48556.0,110.658,1784609396157.0,49019.2
tc-79-0,1784609399698.4546,1784609400254,1784609456158.0,1784609456267.66,555.545,55904.0,109.66,1784609396158.0,56569.205
tc-8-0,1784609409998.4128,1784609410750,1784609456158.0,1784609456267.6973,751.587,45408.0,109.697,1784609396158.0,46269.284
tc-80-0,1784609408898.4473,1784609409701,1784609456158.0,1784609456267.698,802.553,46457.0,109.698,1784609396158.0,47369.251
tc-81-0,1784609414898.4639,1784609414951,1784609456158.0,1784609456267.6987,52.536,41207.0,109.699,1784609396158.0,41369.235
tc-82-0,1784609414348.4556,1784609414951,1784609456158.0,1784609456267.7056,602.544,41207.0,109.706,1784609396158.0,41919.25
tc-83-0,1784609411698.4634,1784609411801,1784609456158.0,1784609456267.7063,102.537,44357.0,109.706,1784609396158.0,44569.243
tc-84-0,1784609410398.4526,1784609410750,1784609456158.0,1784609456267.8044,351.547,45408.0,109.804,1784609396158.0,45869.352
tc-85-0,1784609411898.4702,1784609412849,1784609456158.0,1784609456267.8066,950.53,43309.0,109.807,1784609396158.0,44369.336
tc-86-0,1784609407898.4507,1784609408651,1784609456158.0,1784609456267.8354,752.549,47507.0,109.835,1784609396158.0,48369.385
tc-87-0,1784609414248.4463,1784609414951,1784609456158.0,1784609456267.845,702.554,41207.0,109.845,1784609396158.0,42019.399
tc-88-0,1784609407848.4478,1784609408651,1784609456158.0,1784609456267.9014,802.552,47507.0,109.901,1784609396158.0,48419.454
tc-89-0,1784609414948.4568,1784609414951,1784609456158.0,1784609456267.9026,2.543,41207.0,109.903,1784609396158.0,41319.446
tc-9-0,1784609415048.456,1784609416000,1784609456158.0,1784609456267.903,951.544,40158.0,109.903,1784609396158.0,41219.447
tc-90-0,1784609413698.4448,1784609413900,1784609456159.0,1784609456267.9036,201.555,42259.0,108.904,1784609396159.0,42569.459
tc-91-0,1784609414748.4548,1784609414951,1784609456159.0,1784609456267.904,202.545,41208.0,108.904,1784609396159.0,41519.449
tc-92-0,1784609414298.4583,1784609414951,1784609456159.0,1784609456267.9336,652.542,41208.0,108.934,1784609396159.0,41969.475
tc-93-0,1784609411098.4426,1784609411801,1784609456159.0,1784609456267.9348,702.557,44358.0,108.935,1784609396159.0,45169.492
tc-94-0,1784609411648.471,1784609411801,1784609456159.0,1784609456267.939,152.529,44358.0,108.939,1784609396159.0,44619.468
tc-95-0,1784609407498.4424,1784609407601,1784609456159.0,1784609456267.9458,102.558,48558.0,108.946,1784609396159.0,48769.503
tc-96-0,1784609411198.4626,1784609411801,1784609456159.0,1784609456267.958,602.537,44358.0,108.958,1784609396159.0,45069.495
tc-97-0,1784609414398.4553,1784609414951,1784609456159.0,1784609456267.9585,552.545,41208.0,108.958,1784609396159.0,41869.503
