event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784419225680.6272,1784419225682,1784419228813.0,1784419228913.3813,1.373,3131.0,100.381,1784419168813.0,3232.754
tc-1-0,1784419227180.6372,1784419227736,1784419228821.0,1784419228913.384,555.363,1085.0,92.384,1784419168821.0,1732.747
tc-10-0,1784419222880.6418,1784419223631,1784419228821.0,1784419228913.385,750.358,5190.0,92.385,1784419168821.0,6032.743
tc-11-0,1784419224380.6274,1784419224632,1784419228821.0,1784419228913.3855,251.373,4189.0,92.385,1784419168821.0,4532.758
tc-12-0,1784419210780.6309,1784419211232,1784419228822.0,1784419228913.3867,451.369,17590.0,91.387,1784419168822.0,18132.756
tc-13-0,1784419225930.6238,1784419226733,1784419228822.0,1784419228913.3872,802.376,2089.0,91.387,1784419168822.0,2982.763
tc-14-0,1784419226830.612,1784419227736,1784419228822.0,1784419228913.3877,905.388,1086.0,91.388,1784419168822.0,2082.776
tc-15-0,1784419223780.6423,1784419224632,1784419228822.0,1784419228913.4014,851.358,4190.0,91.401,1784419168822.0,5132.759
tc-16-0,1784419226630.6467,1784419226733,1784419228822.0,1784419228913.4067,102.353,2089.0,91.407,1784419168822.0,2282.76
tc-17-0,1784419224180.6335,1784419224632,1784419228822.0,1784419228913.4075,451.366,4190.0,91.407,1784419168822.0,4732.774
tc-18-0,1784419221280.6355,1784419221581,1784419228822.0,1784419228913.4077,300.365,7241.0,91.408,1784419168822.0,7632.772
tc-19-0,1784419225980.6243,1784419226733,1784419228822.0,1784419228913.408,752.376,2089.0,91.408,1784419168822.0,2932.784
tc-2-0,1784419225430.628,1784419225682,1784419228822.0,1784419228913.4082,251.372,3140.0,91.408,1784419168822.0,3482.78
tc-20-0,1784419215380.619,1784419216382,1784419228823.0,1784419228913.4087,1001.381,12441.0,90.409,1784419168823.0,13532.79
tc-21-0,1784419223280.6357,1784419223631,1784419228823.0,1784419228913.409,350.364,5192.0,90.409,1784419168823.0,5632.773
tc-22-0,1784419213680.6367,1784419214332,1784419228823.0,1784419228913.4092,651.363,14491.0,90.409,1784419168823.0,15232.772
tc-23-0,1784419208430.6277,1784419209183,1784419228823.0,1784419228913.4094,752.372,19640.0,90.409,1784419168823.0,20482.782
tc-24-0,1784419224230.6367,1784419224632,1784419228823.0,1784419228913.515,401.363,4191.0,90.515,1784419168823.0,4682.878
tc-25-0,1784419221630.6294,1784419222582,1784419228823.0,1784419228913.5186,951.371,6241.0,90.519,1784419168823.0,7282.889
tc-26-0,1784419222830.6348,1784419223631,1784419228823.0,1784419228913.5193,800.365,5192.0,90.519,1784419168823.0,6082.885
tc-27-0,1784419225130.62,1784419225682,1784419228823.0,1784419228913.5205,551.38,3141.0,90.521,1784419168823.0,3782.9
tc-28-0,1784419227080.642,1784419227736,1784419228823.0,1784419228913.5212,655.358,1087.0,90.521,1784419168823.0,1832.879
tc-29-0,1784419217630.6255,1784419218482,1784419228823.0,1784419228913.5225,851.375,10341.0,90.522,1784419168823.0,11282.897
tc-3-0,1784419222630.6318,1784419223631,1784419228824.0,1784419228913.5237,1000.368,5193.0,89.524,1784419168824.0,6282.892
tc-30-0,1784419224430.6355,1784419224632,1784419228824.0,1784419228913.5405,201.365,4192.0,89.541,1784419168824.0,4482.905
tc-31-0,1784419225230.676,1784419225682,1784419228824.0,1784419228913.5542,451.324,3142.0,89.554,1784419168824.0,3682.878
tc-32-0,1784419226680.6401,1784419226733,1784419228824.0,1784419228913.5557,52.36,2091.0,89.556,1784419168824.0,2232.916
tc-33-0,1784419224480.6333,1784419224632,1784419228824.0,1784419228913.5571,151.367,4192.0,89.557,1784419168824.0,4432.924
tc-34-0,1784419225180.6245,1784419225682,1784419228824.0,1784419228913.5708,501.375,3142.0,89.571,1784419168824.0,3732.946
tc-35-0,1784419224930.6853,1784419225682,1784419228824.0,1784419228913.5718,751.315,3142.0,89.572,1784419168824.0,3982.886
tc-36-0,1784419223380.622,1784419223631,1784419228824.0,1784419228913.5725,250.378,5193.0,89.573,1784419168824.0,5532.95
tc-37-0,1784419220180.6616,1784419220581,1784419228824.0,1784419228913.5735,400.338,8243.0,89.573,1784419168824.0,8732.912
tc-38-0,1784419227230.6194,1784419227736,1784419228824.0,1784419228913.5845,505.381,1088.0,89.584,1784419168824.0,1682.965
tc-39-0,1784419225380.6245,1784419225682,1784419228825.0,1784419228913.6497,301.375,3143.0,88.65,1784419168825.0,3533.025
tc-4-0,1784419226530.6318,1784419226733,1784419228825.0,1784419228913.6506,202.368,2092.0,88.651,1784419168825.0,2383.019
tc-40-0,1784419221380.6272,1784419221581,1784419228825.0,1784419228913.6565,200.373,7244.0,88.656,1784419168825.0,7533.029
tc-41-0,1784419221480.6265,1784419221581,1784419228825.0,1784419228913.657,100.374,7244.0,88.657,1784419168825.0,7433.031
tc-42-0,1784419224080.6316,1784419224632,1784419228825.0,1784419228913.6855,551.368,4193.0,88.686,1784419168825.0,4833.054
tc-43-0,1784419224830.6575,1784419225682,1784419228825.0,1784419228913.7405,851.343,3143.0,88.74,1784419168825.0,4083.083
tc-44-0,1784419221330.6453,1784419221581,1784419228825.0,1784419228913.7476,250.355,7244.0,88.748,1784419168825.0,7583.102
tc-45-0,1784419215730.658,1784419216382,1784419228825.0,1784419228913.7483,651.342,12443.0,88.748,1784419168825.0,13183.09
tc-46-0,1784419224980.655,1784419225682,1784419228825.0,1784419228913.7534,701.345,3143.0,88.753,1784419168825.0,3933.098
tc-47-0,1784419222530.673,1784419222582,1784419228825.0,1784419228913.7651,51.327,6243.0,88.765,1784419168825.0,6383.092
tc-48-0,1784419224780.661,1784419225682,1784419228826.0,1784419228913.7659,901.339,3144.0,87.766,1784419168826.0,4133.105
tc-49-0,1784419227030.621,1784419227736,1784419228826.0,1784419228913.8057,705.379,1090.0,87.806,1784419168826.0,1883.185
tc-5-0,1784419226380.6245,1784419226733,1784419228826.0,1784419228913.8066,352.375,2093.0,87.807,1784419168826.0,2533.182
tc-50-0,1784419225730.6245,1784419226733,1784419228826.0,1784419228913.8076,1002.375,2093.0,87.808,1784419168826.0,3183.183
tc-51-0,1784419225280.6602,1784419225682,1784419228826.0,1784419228913.863,401.34,3144.0,87.863,1784419168826.0,3633.203
tc-52-0,1784419224680.6292,1784419225682,1784419228826.0,1784419228913.8647,1001.371,3144.0,87.865,1784419168826.0,4233.236
tc-53-0,1784419223330.6318,1784419223631,1784419228826.0,1784419228913.8655,300.368,5195.0,87.865,1784419168826.0,5583.234
tc-54-0,1784419222580.6345,1784419222582,1784419228826.0,1784419228913.8738,1.365,6244.0,87.874,1784419168826.0,6333.239
tc-55-0,1784419201580.637,1784419201983,1784419228826.0,1784419228913.958,402.363,26843.0,87.958,1784419168826.0,27333.321
tc-56-0,1784419211380.6345,1784419212282,1784419228826.0,1784419228913.9592,901.365,16544.0,87.959,1784419168826.0,17533.325
tc-57-0,1784419225880.6257,1784419226733,1784419228826.0,1784419228913.9614,852.374,2093.0,87.961,1784419168826.0,3033.336
tc-58-0,1784419226280.6257,1784419226733,1784419228827.0,1784419228913.9692,452.374,2094.0,86.969,1784419168827.0,2633.344
tc-59-0,1784419225830.6375,1784419226733,1784419228827.0,1784419228913.9702,902.363,2094.0,86.97,1784419168827.0,3083.333
tc-6-0,1784419223180.6353,1784419223631,1784419228827.0,1784419228913.9707,450.365,5196.0,86.971,1784419168827.0,5733.335
tc-60-0,1784419225580.668,1784419225682,1784419228827.0,1784419228913.9717,101.332,3145.0,86.972,1784419168827.0,3333.304
tc-61-0,1784419223680.6304,1784419224632,1784419228827.0,1784419228913.9922,951.37,4195.0,86.992,1784419168827.0,5233.362
tc-62-0,1784419221130.638,1784419221581,1784419228827.0,1784419228913.999,450.362,7246.0,86.999,1784419168827.0,7783.361
tc-63-0,1784419223980.6223,1784419224632,1784419228827.0,1784419228914.005,651.378,4195.0,87.005,1784419168827.0,4933.383
tc-64-0,1784419223930.6548,1784419224632,1784419228827.0,1784419228914.0916,701.345,4195.0,87.092,1784419168827.0,4983.437
tc-65-0,1784419222430.651,1784419222582,1784419228827.0,1784419228914.0925,151.349,6245.0,87.093,1784419168827.0,6483.442
tc-66-0,1784419226030.6353,1784419226733,1784419228827.0,1784419228914.1838,702.365,2094.0,87.184,1784419168827.0,2883.549
tc-67-0,1784419226930.6235,1784419227736,1784419228828.0,1784419228914.1904,805.376,1092.0,86.19,1784419168828.0,1983.567
tc-68-0,1784419218330.6245,1784419218482,1784419228828.0,1784419228914.192,151.375,10346.0,86.192,1784419168828.0,10583.567
tc-69-0,1784419214280.614,1784419214332,1784419228828.0,1784419228914.2336,51.386,14496.0,86.234,1784419168828.0,14633.62
tc-7-0,1784419224880.6597,1784419225682,1784419228828.0,1784419228914.374,801.34,3146.0,86.374,1784419168828.0,4033.714
tc-70-0,1784419226330.642,1784419226733,1784419228828.0,1784419228914.3755,402.358,2095.0,86.375,1784419168828.0,2583.733
tc-71-0,1784419209880.6575,1784419210232,1784419228828.0,1784419228914.3762,351.343,18596.0,86.376,1784419168828.0,19033.719
tc-72-0,1784419226480.6353,1784419226733,1784419228828.0,1784419228914.377,252.365,2095.0,86.377,1784419168828.0,2433.742
tc-73-0,1784419200680.6658,1784419200932,1784419228828.0,1784419228914.3777,251.334,27896.0,86.378,1784419168828.0,28233.712
tc-74-0,1784419226980.6228,1784419227736,1784419228828.0,1784419228914.3784,755.377,1092.0,86.378,1784419168828.0,1933.756
tc-75-0,1784419225630.6316,1784419225682,1784419228828.0,1784419228914.3792,51.368,3146.0,86.379,1784419168828.0,3283.748
tc-76-0,1784419227130.6213,1784419227736,1784419228828.0,1784419228914.4111,605.379,1092.0,86.411,1784419168828.0,1783.79
tc-77-0,1784419220680.6296,1784419221581,1784419228829.0,1784419228914.412,900.37,7248.0,85.412,1784419168829.0,8233.782
tc-78-0,1784419219080.661,1784419219532,1784419228829.0,1784419228914.4229,451.339,9297.0,85.423,1784419168829.0,9833.762
tc-79-0,1784419211530.639,1784419212282,1784419228829.0,1784419228914.4792,751.361,16547.0,85.479,1784419168829.0,17383.84
tc-8-0,1784419221830.6628,1784419222582,1784419228829.0,1784419228914.4802,751.337,6247.0,85.48,1784419168829.0,7083.817
tc-80-0,1784419220730.6277,1784419221581,1784419228829.0,1784419228914.481,850.372,7248.0,85.481,1784419168829.0,8183.853
tc-81-0,1784419226733.4082,1784419227736,1784419228829.0,1784419228914.547,1002.592,1093.0,85.547,1784419168829.0,2181.139
tc-82-0,1784419226180.6348,1784419226733,1784419228829.0,1784419228914.5483,552.365,2096.0,85.548,1784419168829.0,2733.914
tc-83-0,1784419223530.638,1784419223631,1784419228829.0,1784419228914.549,100.362,5198.0,85.549,1784419168829.0,5383.911
tc-84-0,1784419222230.6445,1784419222582,1784419228829.0,1784419228914.6428,351.355,6247.0,85.643,1784419168829.0,6683.998
tc-85-0,1784419223730.665,1784419224632,1784419228829.0,1784419228914.6445,901.335,4197.0,85.645,1784419168829.0,5183.979
tc-86-0,1784419219730.6255,1784419220581,1784419228829.0,1784419228914.6714,850.375,8248.0,85.671,1784419168829.0,9184.046
tc-87-0,1784419226080.6313,1784419226733,1784419228829.0,1784419228914.6814,652.369,2096.0,85.681,1784419168829.0,2834.05
tc-88-0,1784419219680.6301,1784419220581,1784419228829.0,1784419228914.8303,900.37,8248.0,85.83,1784419168829.0,9234.2
tc-89-0,1784419226780.624,1784419227736,1784419228830.0,1784419228914.8318,955.376,1094.0,84.832,1784419168830.0,2134.208
tc-9-0,1784419226880.639,1784419227736,1784419228830.0,1784419228914.8325,855.361,1094.0,84.833,1784419168830.0,2034.194
tc-90-0,1784419225530.6274,1784419225682,1784419228830.0,1784419228914.8333,151.373,3148.0,84.833,1784419168830.0,3384.206
