event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784584174526.224,1784584174729,1784584178922.0,1784584179008.356,202.776,4193.0,86.356,1784584118922.0,4482.132
tc-1-0,1784584176026.2312,1784584176830,1784584178935.0,1784584179008.3604,803.769,2105.0,73.36,1784584118935.0,2982.129
tc-10-0,1784584171726.2246,1784584172628,1784584178935.0,1784584179008.362,901.775,6307.0,73.362,1784584118935.0,7282.137
tc-11-0,1784584173226.2231,1784584173679,1784584178935.0,1784584179008.363,452.777,5256.0,73.363,1784584118935.0,5782.14
tc-12-0,1784584159626.219,1784584160028,1784584178935.0,1784584179008.3647,401.781,18907.0,73.365,1784584118935.0,19382.146
tc-13-0,1784584174776.227,1784584175778,1784584178935.0,1784584179008.3662,1001.773,3157.0,73.366,1784584118935.0,4232.139
tc-14-0,1784584175676.2195,1784584175778,1784584178935.0,1784584179008.3672,101.781,3157.0,73.367,1784584118935.0,3332.148
tc-15-0,1784584172626.2258,1784584172628,1784584178935.0,1784584179008.3738,1.774,6307.0,73.374,1784584118935.0,6382.148
tc-16-0,1784584175476.223,1784584175778,1784584178936.0,1784584179008.3762,301.777,3158.0,72.376,1784584118936.0,3532.153
tc-17-0,1784584173026.2256,1784584173679,1784584178936.0,1784584179008.378,652.774,5257.0,72.378,1784584118936.0,5982.152
tc-18-0,1784584170126.2207,1784584170528,1784584178936.0,1784584179008.379,401.779,8408.0,72.379,1784584118936.0,8882.158
tc-19-0,1784584174826.2175,1784584175778,1784584178936.0,1784584179008.3796,951.782,3158.0,72.38,1784584118936.0,4182.162
tc-2-0,1784584174276.2258,1784584174729,1784584178936.0,1784584179008.3804,452.774,4207.0,72.38,1784584118936.0,4732.155
tc-20-0,1784584164226.2363,1784584164228,1784584178936.0,1784584179008.3813,1.764,14708.0,72.381,1784584118936.0,14782.145
tc-21-0,1784584172126.2327,1784584172628,1784584178937.0,1784584179008.382,501.767,6309.0,71.382,1784584118937.0,6882.149
tc-22-0,1784584162526.224,1784584163181,1784584178937.0,1784584179008.383,654.776,15756.0,71.383,1784584118937.0,16482.159
tc-23-0,1784584157276.208,1784584157928,1784584178937.0,1784584179008.4038,651.792,21009.0,71.404,1784584118937.0,21732.196
tc-24-0,1784584173076.2246,1784584173679,1784584178937.0,1784584179008.405,602.775,5258.0,71.405,1784584118937.0,5932.18
tc-25-0,1784584170476.2253,1784584170528,1784584178937.0,1784584179008.4058,51.775,8409.0,71.406,1784584118937.0,8532.18
tc-26-0,1784584171676.2185,1784584172628,1784584178937.0,1784584179008.4065,951.781,6309.0,71.406,1784584118937.0,7332.188
tc-27-0,1784584173976.2239,1784584174729,1784584178937.0,1784584179008.4075,752.776,4208.0,71.407,1784584118937.0,5032.184
tc-28-0,1784584175926.2234,1784584176830,1784584178937.0,1784584179008.4082,903.777,2107.0,71.408,1784584118937.0,3082.185
tc-29-0,1784584166476.2634,1784584167379,1784584178938.0,1784584179008.4092,902.737,11559.0,70.409,1784584118938.0,12532.146
tc-3-0,1784584171476.227,1784584171578,1784584178938.0,1784584179008.41,101.773,7360.0,70.41,1784584118938.0,7532.183
tc-30-0,1784584173276.223,1784584173679,1784584178938.0,1784584179008.4106,402.777,5259.0,70.411,1784584118938.0,5732.188
tc-31-0,1784584174076.2222,1784584174729,1784584178938.0,1784584179008.4194,652.778,4209.0,70.419,1784584118938.0,4932.197
tc-32-0,1784584175526.2285,1784584175778,1784584178938.0,1784584179008.4253,251.771,3160.0,70.425,1784584118938.0,3482.197
tc-33-0,1784584173326.2253,1784584173679,1784584178938.0,1784584179008.4265,352.775,5259.0,70.427,1784584118938.0,5682.201
tc-34-0,1784584174026.224,1784584174729,1784584178939.0,1784584179008.427,702.776,4210.0,69.427,1784584118939.0,4982.203
tc-35-0,1784584173776.229,1784584174729,1784584178939.0,1784584179008.4277,952.771,4210.0,69.428,1784584118939.0,5232.199
tc-36-0,1784584172226.2214,1784584172628,1784584178939.0,1784584179008.4282,401.779,6311.0,69.428,1784584118939.0,6782.207
tc-37-0,1784584169026.2285,1784584169478,1784584178939.0,1784584179008.4287,451.771,9461.0,69.429,1784584118939.0,9982.2
tc-38-0,1784584176076.224,1784584176830,1784584178939.0,1784584179008.4292,753.776,2109.0,69.429,1784584118939.0,2932.205
tc-39-0,1784584174226.2253,1784584174729,1784584178939.0,1784584179008.4302,502.775,4210.0,69.43,1784584118939.0,4782.205
tc-4-0,1784584175376.2168,1784584175778,1784584178939.0,1784584179008.4307,401.783,3161.0,69.431,1784584118939.0,3632.214
tc-40-0,1784584170226.2224,1784584170528,1784584178940.0,1784584179008.4312,301.778,8412.0,68.431,1784584118940.0,8782.209
