event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784515973394.7544,1784515973597,1784515976881.0,1784515977015.724,202.246,3284.0,134.724,1784515916881.0,3620.97
tc-1-0,1784515974894.7578,1784515975696,1784515976888.0,1784515977015.729,801.242,1192.0,127.729,1784515916888.0,2120.971
tc-10-0,1784515970594.7546,1784515971497,1784515976889.0,1784515977015.7305,902.245,5392.0,126.73,1784515916889.0,6420.976
tc-11-0,1784515972094.7524,1784515972546,1784515976889.0,1784515977015.7312,451.248,4343.0,126.731,1784515916889.0,4920.979
tc-12-0,1784515958494.7554,1784515958898,1784515976889.0,1784515977015.7456,403.245,17991.0,126.746,1784515916889.0,18520.99
tc-13-0,1784515973644.7544,1784515974647,1784515976889.0,1784515977015.7473,1002.246,2242.0,126.747,1784515916889.0,3370.993
tc-14-0,1784515974544.7673,1784515974647,1784515976889.0,1784515977015.7483,102.233,2242.0,126.748,1784515916889.0,2470.981
tc-15-0,1784515971494.7568,1784515971497,1784515976889.0,1784515977015.754,2.243,5392.0,126.754,1784515916889.0,5520.997
tc-16-0,1784515974344.7642,1784515974647,1784515976889.0,1784515977015.7559,302.236,2242.0,126.756,1784515916889.0,2670.992
tc-17-0,1784515971894.7483,1784515972546,1784515976889.0,1784515977015.757,651.252,4343.0,126.757,1784515916889.0,5121.009
tc-18-0,1784515968994.752,1784515969396,1784515976889.0,1784515977015.7727,401.248,7493.0,126.773,1784515916889.0,8021.021
tc-19-0,1784515973694.752,1784515974647,1784515976889.0,1784515977015.7734,952.248,2242.0,126.773,1784515916889.0,3321.021
tc-2-0,1784515973144.7615,1784515973597,1784515976889.0,1784515977015.7742,452.239,3292.0,126.774,1784515916889.0,3871.013
tc-20-0,1784515963094.7644,1784515963097,1784515976889.0,1784515977015.775,2.236,13792.0,126.775,1784515916889.0,13921.01
tc-21-0,1784515970994.7542,1784515971497,1784515976890.0,1784515977015.7754,502.246,5393.0,125.775,1784515916890.0,6021.021
