event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784613350335.908,1784613350488,1784613391782.0,1784613391914.5981,152.092,41294.0,132.598,1784613331782.0,41578.69
tc-1-0,1784613351835.9563,1784613352588,1784613391791.0,1784613391914.6028,752.044,39203.0,123.603,1784613331791.0,40078.646
tc-10-0,1784613347535.9084,1784613348387,1784613391791.0,1784613391914.6042,851.092,43404.0,123.604,1784613331791.0,44378.696
tc-11-0,1784613349035.9065,1784613349438,1784613391791.0,1784613391914.6055,402.094,42353.0,123.605,1784613331791.0,42878.699
tc-12-0,1784613335435.9294,1784613335788,1784613391791.0,1784613391914.607,352.071,56003.0,123.607,1784613331791.0,56478.677
tc-13-0,1784613350585.937,1784613351537,1784613391791.0,1784613391914.6082,951.063,40254.0,123.608,1784613331791.0,41328.671
tc-14-0,1784613351485.924,1784613351537,1784613391791.0,1784613391914.625,51.076,40254.0,123.625,1784613331791.0,40428.701
tc-15-0,1784613348435.9153,1784613349438,1784613391792.0,1784613391914.631,1002.085,42354.0,122.631,1784613331792.0,43478.716
tc-16-0,1784613351285.9321,1784613351537,1784613391792.0,1784613391914.6335,251.068,40255.0,122.634,1784613331792.0,40628.701
tc-17-0,1784613348835.908,1784613349438,1784613391792.0,1784613391914.635,602.092,42354.0,122.635,1784613331792.0,43078.727
tc-18-0,1784613345935.9202,1784613346289,1784613391792.0,1784613391914.6357,353.08,45503.0,122.636,1784613331792.0,45978.716
tc-19-0,1784613350635.916,1784613351537,1784613391792.0,1784613391914.6367,901.084,40255.0,122.637,1784613331792.0,41278.721
tc-2-0,1784613350085.912,1784613350488,1784613391792.0,1784613391914.6372,402.088,41304.0,122.637,1784613331792.0,41828.725
tc-20-0,1784613340035.9136,1784613341038,1784613391792.0,1784613391914.6384,1002.086,50754.0,122.638,1784613331792.0,51878.725
tc-21-0,1784613347935.9124,1784613348387,1784613391792.0,1784613391914.639,451.088,43405.0,122.639,1784613331792.0,43978.727
tc-22-0,1784613338335.9084,1784613338939,1784613391792.0,1784613391914.6462,603.092,52853.0,122.646,1784613331792.0,53578.738
tc-23-0,1784613333085.913,1784613333688,1784613391792.0,1784613391914.6472,602.087,58104.0,122.647,1784613331792.0,58828.734
tc-24-0,1784613348885.912,1784613349438,1784613391792.0,1784613391914.6482,552.088,42354.0,122.648,1784613331792.0,43028.736
tc-25-0,1784613346285.921,1784613346289,1784613391792.0,1784613391914.7122,3.079,45503.0,122.712,1784613331792.0,45628.791
tc-26-0,1784613347485.934,1784613348387,1784613391793.0,1784613391914.7332,901.066,43406.0,121.733,1784613331793.0,44428.799
tc-27-0,1784613349785.9263,1784613350488,1784613391793.0,1784613391914.734,702.074,41305.0,121.734,1784613331793.0,42128.808
tc-28-0,1784613351735.9248,1784613352588,1784613391793.0,1784613391914.7341,852.075,39205.0,121.734,1784613331793.0,40178.809
tc-29-0,1784613342285.9062,1784613343139,1784613391793.0,1784613391914.7346,853.094,48654.0,121.735,1784613331793.0,49628.828
