event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784407071412.8906,1784407071915,1784407076137.0,1784407076227.0066,502.109,4222.0,90.007,1784407016137.0,4814.116
tc-1-0,1784407072912.8875,1784407072966,1784407076145.0,1784407076227.0103,53.113,3179.0,82.01,1784407016145.0,3314.123
tc-10-0,1784407068612.8745,1784407068765,1784407076145.0,1784407076227.0115,152.125,7380.0,82.011,1784407016145.0,7614.137
tc-11-0,1784407070113.5413,1784407070865,1784407076145.0,1784407076227.012,751.459,5280.0,82.012,1784407016145.0,6113.471
tc-12-0,1784407056512.8896,1784407057215,1784407076145.0,1784407076227.0127,702.11,18930.0,82.013,1784407016145.0,19714.123
tc-13-0,1784407071662.8647,1784407071915,1784407076145.0,1784407076227.0132,252.135,4230.0,82.013,1784407016145.0,4564.148
tc-14-0,1784407072562.8804,1784407072966,1784407076145.0,1784407076227.0137,403.12,3179.0,82.014,1784407016145.0,3664.133
tc-15-0,1784407069512.8967,1784407069815,1784407076145.0,1784407076227.0178,302.103,6330.0,82.018,1784407016145.0,6714.121
tc-16-0,1784407072362.8772,1784407072966,1784407076145.0,1784407076227.023,603.123,3179.0,82.023,1784407016145.0,3864.146
tc-17-0,1784407069912.8755,1784407070865,1784407076145.0,1784407076227.024,952.125,5280.0,82.024,1784407016145.0,6314.148
tc-18-0,1784407067012.8853,1784407067715,1784407076145.0,1784407076227.0242,702.115,8430.0,82.024,1784407016145.0,9214.139
tc-19-0,1784407071712.866,1784407071915,1784407076145.0,1784407076227.025,202.134,4230.0,82.025,1784407016145.0,4514.159
tc-2-0,1784407071162.8728,1784407071915,1784407076145.0,1784407076227.0251,752.127,4230.0,82.025,1784407016145.0,5064.152
tc-20-0,1784407061112.8691,1784407061416,1784407076145.0,1784407076227.0254,303.131,14729.0,82.025,1784407016145.0,15114.156
tc-21-0,1784407069012.8896,1784407069815,1784407076145.0,1784407076227.026,802.11,6330.0,82.026,1784407016145.0,7214.136
tc-22-0,1784407059412.8914,1784407060366,1784407076146.0,1784407076227.0264,953.109,15780.0,81.026,1784407016146.0,16814.135
tc-23-0,1784407054162.8696,1784407055115,1784407076146.0,1784407076227.0266,952.13,21031.0,81.027,1784407016146.0,22064.157
tc-24-0,1784407069962.8696,1784407070865,1784407076146.0,1784407076227.027,902.13,5281.0,81.027,1784407016146.0,6264.157
tc-25-0,1784407067362.8835,1784407067715,1784407076146.0,1784407076227.0273,352.116,8431.0,81.027,1784407016146.0,8864.144
tc-26-0,1784407068562.873,1784407068765,1784407076146.0,1784407076227.0278,202.127,7381.0,81.028,1784407016146.0,7664.155
tc-27-0,1784407070862.8828,1784407070865,1784407076146.0,1784407076227.028,2.117,5281.0,81.028,1784407016146.0,5364.145
tc-28-0,1784407072812.8638,1784407072966,1784407076146.0,1784407076227.0283,153.136,3180.0,81.028,1784407016146.0,3414.165
tc-29-0,1784407063362.8623,1784407063516,1784407076146.0,1784407076227.0288,153.138,12630.0,81.029,1784407016146.0,12864.167
tc-3-0,1784407068362.8628,1784407068765,1784407076146.0,1784407076227.029,402.137,7381.0,81.029,1784407016146.0,7864.166
tc-30-0,1784407070162.893,1784407070865,1784407076146.0,1784407076227.0293,702.107,5281.0,81.029,1784407016146.0,6064.136
tc-31-0,1784407070962.873,1784407071915,1784407076146.0,1784407076227.0322,952.127,4231.0,81.032,1784407016146.0,5264.159
tc-32-0,1784407072412.867,1784407072966,1784407076146.0,1784407076227.0325,553.133,3180.0,81.032,1784407016146.0,3814.166
tc-33-0,1784407070212.8997,1784407070865,1784407076146.0,1784407076227.0334,652.1,5281.0,81.033,1784407016146.0,6014.134
tc-34-0,1784407070912.9146,1784407071915,1784407076146.0,1784407076227.0337,1002.085,4231.0,81.034,1784407016146.0,5314.119
tc-35-0,1784407070662.866,1784407070865,1784407076146.0,1784407076227.034,202.134,5281.0,81.034,1784407016146.0,5564.168
tc-36-0,1784407069112.888,1784407069815,1784407076146.0,1784407076227.0342,702.112,6331.0,81.034,1784407016146.0,7114.146
tc-37-0,1784407065912.8777,1784407066665,1784407076147.0,1784407076227.0344,752.122,9482.0,80.034,1784407016147.0,10314.157
tc-38-0,1784407072962.9043,1784407072966,1784407076147.0,1784407076227.0347,3.096,3181.0,80.035,1784407016147.0,3264.13
tc-39-0,1784407071112.8923,1784407071915,1784407076147.0,1784407076227.0354,802.108,4232.0,80.035,1784407016147.0,5114.143
tc-4-0,1784407072262.865,1784407072966,1784407076147.0,1784407076227.0356,703.135,3181.0,80.036,1784407016147.0,3964.171
tc-40-0,1784407067112.9084,1784407067715,1784407076147.0,1784407076227.049,602.092,8432.0,80.049,1784407016147.0,9114.141
tc-41-0,1784407067212.899,1784407067715,1784407076147.0,1784407076227.0496,502.101,8432.0,80.05,1784407016147.0,9014.151
tc-42-0,1784407069812.8762,1784407069815,1784407076147.0,1784407076227.0498,2.124,6332.0,80.05,1784407016147.0,6414.174
tc-43-0,1784407070562.8892,1784407070865,1784407076147.0,1784407076227.05,302.111,5282.0,80.05,1784407016147.0,5664.161
tc-44-0,1784407067062.8682,1784407067715,1784407076147.0,1784407076227.0525,652.132,8432.0,80.052,1784407016147.0,9164.184
tc-45-0,1784407061462.8992,1784407062465,1784407076147.0,1784407076227.0527,1002.101,13682.0,80.053,1784407016147.0,14764.154
tc-46-0,1784407070712.8682,1784407070865,1784407076147.0,1784407076227.0557,152.132,5282.0,80.056,1784407016147.0,5514.188
tc-47-0,1784407068262.8757,1784407068765,1784407076147.0,1784407076227.9849,502.124,7382.0,80.985,1784407016147.0,7965.109
tc-48-0,1784407070512.9019,1784407070865,1784407076147.0,1784407076227.9875,352.098,5282.0,80.988,1784407016147.0,5715.086
tc-49-0,1784407072762.863,1784407072966,1784407076147.0,1784407076227.988,203.137,3181.0,80.988,1784407016147.0,3465.125
tc-5-0,1784407072112.8838,1784407072966,1784407076147.0,1784407076227.9885,853.116,3181.0,80.989,1784407016147.0,4115.105
tc-50-0,1784407071462.864,1784407071915,1784407076147.0,1784407076227.9893,452.136,4232.0,80.989,1784407016147.0,4765.125
tc-51-0,1784407071012.8948,1784407071915,1784407076148.0,1784407076227.9897,902.105,4233.0,79.99,1784407016148.0,5215.095
tc-52-0,1784407070412.8909,1784407070865,1784407076148.0,1784407076227.9905,452.109,5283.0,79.99,1784407016148.0,5815.1
tc-53-0,1784407069062.8752,1784407069815,1784407076148.0,1784407076227.991,752.125,6333.0,79.991,1784407016148.0,7165.116
tc-54-0,1784407068312.8743,1784407068765,1784407076148.0,1784407076227.9915,452.126,7383.0,79.991,1784407016148.0,7915.117
tc-55-0,1784407047312.888,1784407047766,1784407076148.0,1784407076227.992,453.112,28382.0,79.992,1784407016148.0,28915.104
tc-56-0,1784407057112.9536,1784407057215,1784407076148.0,1784407076227.9924,102.046,18933.0,79.992,1784407016148.0,19115.039
tc-57-0,1784407071612.8708,1784407071915,1784407076148.0,1784407076227.9946,302.129,4233.0,79.995,1784407016148.0,4615.124
tc-58-0,1784407072012.8677,1784407072966,1784407076148.0,1784407076227.995,953.132,3182.0,79.995,1784407016148.0,4215.127
tc-59-0,1784407071562.929,1784407071915,1784407076148.0,1784407076227.9954,352.071,4233.0,79.995,1784407016148.0,4665.066
tc-6-0,1784407068912.8972,1784407069815,1784407076148.0,1784407076227.9958,902.103,6333.0,79.996,1784407016148.0,7315.099
tc-60-0,1784407071312.887,1784407071915,1784407076148.0,1784407076227.9963,602.113,4233.0,79.996,1784407016148.0,4915.109
tc-61-0,1784407069412.893,1784407069815,1784407076148.0,1784407076227.9968,402.107,6333.0,79.997,1784407016148.0,6815.104
tc-62-0,1784407066862.8652,1784407067715,1784407076148.0,1784407076227.997,852.135,8433.0,79.997,1784407016148.0,9365.132
