event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784561355310.1812,1784561355562,1784561359644.0,1784561359726.0073,251.819,4082.0,82.007,1784561299644.0,4415.826
tc-1-0,1784561356810.1853,1784561357661,1784561359653.0,1784561359726.0112,850.815,1992.0,73.011,1784561299653.0,2915.826
tc-10-0,1784561352510.184,1784561353462,1784561359653.0,1784561359726.0125,951.816,6191.0,73.012,1784561299653.0,7215.828
tc-11-0,1784561354010.182,1784561354512,1784561359653.0,1784561359726.0134,501.818,5141.0,73.013,1784561299653.0,5715.832
tc-12-0,1784561340410.183,1784561340863,1784561359653.0,1784561359726.0203,452.817,18790.0,73.02,1784561299653.0,19315.837
tc-13-0,1784561355560.187,1784561355562,1784561359653.0,1784561359726.0215,1.813,4091.0,73.021,1784561299653.0,4165.834
tc-14-0,1784561356460.185,1784561356612,1784561359653.0,1784561359726.0227,151.815,3041.0,73.023,1784561299653.0,3265.838
tc-15-0,1784561353410.1914,1784561353462,1784561359653.0,1784561359726.0283,51.809,6191.0,73.028,1784561299653.0,6315.837
tc-16-0,1784561356260.1804,1784561356612,1784561359653.0,1784561359726.043,351.82,3041.0,73.043,1784561299653.0,3465.863
tc-17-0,1784561353810.1873,1784561354512,1784561359653.0,1784561359726.0447,701.813,5141.0,73.045,1784561299653.0,5915.857
tc-18-0,1784561350910.1855,1784561351362,1784561359653.0,1784561359726.0457,451.814,8291.0,73.046,1784561299653.0,8815.86
tc-19-0,1784561355610.1885,1784561356612,1784561359654.0,1784561359726.0461,1001.812,3042.0,72.046,1784561299654.0,4115.858
tc-2-0,1784561355060.1812,1784561355562,1784561359654.0,1784561359726.0466,501.819,4092.0,72.047,1784561299654.0,4665.865
tc-20-0,1784561345010.184,1784561345063,1784561359654.0,1784561359726.0474,52.816,14591.0,72.047,1784561299654.0,14715.863
tc-21-0,1784561352910.182,1784561353462,1784561359654.0,1784561359726.0479,551.818,6192.0,72.048,1784561299654.0,6815.866
