event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784168011555.7715,1784168013998,1784168014020.0,1784168014426.2673,2442.229,22.0,406.267,2870.496
e-1,1784168011604.7212,1784168013998,1784168014043.0,1784168014426.2712,2393.279,45.0,383.271,2821.55
e-2,1784168011654.2827,1784168013998,1784168014043.0,1784168014426.2734,2343.717,45.0,383.273,2771.991
e-3,1784168011704.613,1784168013998,1784168014044.0,1784168014426.2754,2293.387,46.0,382.275,2721.662
e-4,1784168011754.263,1784168013998,1784168014044.0,1784168014426.2766,2243.737,46.0,382.277,2672.014
e-5,1784168011804.2761,1784168013998,1784168014044.0,1784168014426.2778,2193.724,46.0,382.278,2622.002
e-6,1784168011854.2483,1784168013998,1784168014044.0,1784168014426.279,2143.752,46.0,382.279,2572.031
e-7,1784168011904.2566,1784168013998,1784168014044.0,1784168014426.2844,2093.743,46.0,382.284,2522.028
e-8,1784168011954.2825,1784168013998,1784168014044.0,1784168014426.3013,2043.718,46.0,382.301,2472.019
e-9,1784168012004.2686,1784168013998,1784168014044.0,1784168014426.3025,1993.731,46.0,382.302,2422.034
e-10,1784168012054.258,1784168013998,1784168014045.0,1784168014426.3035,1943.742,47.0,381.303,2372.045
e-11,1784168012104.258,1784168013998,1784168014045.0,1784168014426.3042,1893.742,47.0,381.304,2322.046
e-12,1784168012154.2588,1784168013998,1784168014045.0,1784168014426.305,1843.741,47.0,381.305,2272.046
e-13,1784168012204.2583,1784168013998,1784168014045.0,1784168014426.3057,1793.742,47.0,381.306,2222.047
e-14,1784168012254.207,1784168013998,1784168014045.0,1784168014426.319,1743.793,47.0,381.319,2172.112
e-15,1784168012304.2705,1784168013998,1784168014045.0,1784168014426.3276,1693.729,47.0,381.328,2122.057
e-16,1784168012354.2551,1784168013998,1784168014046.0,1784168014426.3284,1643.745,48.0,380.328,2072.073
e-17,1784168012404.2458,1784168013998,1784168014046.0,1784168014426.3489,1593.754,48.0,380.349,2022.103
e-18,1784168012454.2668,1784168013998,1784168014046.0,1784168014426.3499,1543.733,48.0,380.35,1972.083
e-19,1784168012504.2688,1784168013998,1784168014046.0,1784168014426.3801,1493.731,48.0,380.38,1922.111
e-20,1784168012554.261,1784168013998,1784168014046.0,1784168014426.381,1443.739,48.0,380.381,1872.12
e-21,1784168012605.6104,1784168013998,1784168014046.0,1784168014426.4,1392.39,48.0,380.4,1820.79
e-22,1784168012654.3237,1784168013998,1784168014046.0,1784168014426.4006,1343.676,48.0,380.401,1772.077
e-23,1784168012704.2524,1784168013998,1784168014047.0,1784168014426.4429,1293.748,49.0,379.443,1722.19
e-24,1784168012754.252,1784168013998,1784168014047.0,1784168014426.4438,1243.748,49.0,379.444,1672.192
e-25,1784168012805.4712,1784168013998,1784168014047.0,1784168014426.5771,1192.529,49.0,379.577,1621.106
e-26,1784168012854.2937,1784168013998,1784168014047.0,1784168014426.578,1143.706,49.0,379.578,1572.284
e-27,1784168012904.3003,1784168013998,1784168014047.0,1784168014426.5784,1093.7,49.0,379.578,1522.278
e-28,1784168012954.2754,1784168013998,1784168014047.0,1784168014426.5789,1043.725,49.0,379.579,1472.303
e-29,1784168013004.3062,1784168013998,1784168014047.0,1784168014426.5857,993.694,49.0,379.586,1422.28
e-30,1784168013054.266,1784168013998,1784168014048.0,1784168014426.5862,943.734,50.0,378.586,1372.32
e-31,1784168013104.2632,1784168013998,1784168014048.0,1784168014426.587,893.737,50.0,378.587,1322.324
e-32,1784168013154.261,1784168013998,1784168014048.0,1784168014426.5925,843.739,50.0,378.593,1272.332
e-33,1784168013204.623,1784168013998,1784168014048.0,1784168014426.5938,793.377,50.0,378.594,1221.971
e-34,1784168013254.251,1784168013998,1784168014048.0,1784168014426.6199,743.749,50.0,378.62,1172.369
e-35,1784168013305.7964,1784168013998,1784168014048.0,1784168014426.6208,692.204,50.0,378.621,1120.824
e-36,1784168013354.2773,1784168013998,1784168014048.0,1784168014426.658,643.723,50.0,378.658,1072.381
e-37,1784168013404.2996,1784168013998,1784168014049.0,1784168014426.6587,593.7,51.0,377.659,1022.359
e-38,1784168013454.2607,1784168013998,1784168014049.0,1784168014426.664,543.739,51.0,377.664,972.403
e-39,1784168013504.2632,1784168013998,1784168014049.0,1784168014426.6843,493.737,51.0,377.684,922.421
e-40,1784168013554.2458,1784168013998,1784168014049.0,1784168014426.6897,443.754,51.0,377.69,872.444
e-41,1784168013604.2305,1784168013998,1784168014049.0,1784168014426.709,393.77,51.0,377.709,822.479
e-42,1784168013654.217,1784168013998,1784168014049.0,1784168014426.7725,343.783,51.0,377.772,772.555
e-43,1784168013704.2593,1784168013998,1784168014049.0,1784168014426.773,293.741,51.0,377.773,722.514
e-44,1784168013754.2173,1784168013998,1784168014050.0,1784168014426.7734,243.783,52.0,376.773,672.556
e-45,1784168013804.2068,1784168013998,1784168014050.0,1784168014426.7812,193.793,52.0,376.781,622.574
e-46,1784168013854.2212,1784168013998,1784168014050.0,1784168014426.7856,143.779,52.0,376.786,572.564
e-47,1784168013904.2136,1784168013998,1784168014050.0,1784168014426.8413,93.786,52.0,376.841,522.628
e-48,1784168013954.2449,1784168013998,1784168014050.0,1784168014426.8423,43.755,52.0,376.842,472.597
e-49,1784168014004.2593,1784168015006,1784168015011.0,1784168015436.7393,1001.741,5.0,425.739,1432.48
