event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
e-0,1784301538813.6099,1784301541516,1784301541535.0,1784301541767.205,2702.39,19.0,232.205,2953.595
e-1,1784301538862.609,1784301541516,1784301541734.0,1784301542838.5835,2653.391,218.0,1104.583,3975.975
e-2,1784301538912.5789,1784301541516,1784301541734.0,1784301542838.5872,2603.421,218.0,1104.587,3926.008
e-3,1784301538962.5728,1784301541516,1784301541734.0,1784301542838.589,2553.427,218.0,1104.589,3876.016
e-4,1784301539012.6133,1784301541516,1784301541734.0,1784301542838.5903,2503.387,218.0,1104.59,3825.977
e-5,1784301539062.5657,1784301541516,1784301541735.0,1784301542838.592,2453.434,219.0,1103.592,3776.026
e-6,1784301539112.5586,1784301541516,1784301541735.0,1784301542838.593,2403.441,219.0,1103.593,3726.034
e-7,1784301539162.5645,1784301541516,1784301541735.0,1784301542838.5989,2353.436,219.0,1103.599,3676.034
e-8,1784301539212.58,1784301541516,1784301541735.0,1784301542838.6003,2303.42,219.0,1103.6,3626.02
e-9,1784301539262.6045,1784301541516,1784301541735.0,1784301542838.6172,2253.396,219.0,1103.617,3576.013
e-10,1784301539312.5925,1784301541516,1784301541736.0,1784301542838.618,2203.407,220.0,1102.618,3526.025
e-11,1784301539362.6177,1784301541516,1784301541736.0,1784301542838.619,2153.382,220.0,1102.619,3476.001
e-12,1784301539412.5955,1784301541516,1784301541736.0,1784301542838.6196,2103.405,220.0,1102.62,3426.024
e-13,1784301539462.6025,1784301541516,1784301541736.0,1784301542838.6277,2053.397,220.0,1102.628,3376.025
e-14,1784301539513.3992,1784301541516,1784301541736.0,1784301542838.6284,2002.601,220.0,1102.628,3325.229
e-15,1784301539562.616,1784301541516,1784301541736.0,1784301542838.6292,1953.384,220.0,1102.629,3276.013
e-16,1784301539612.6309,1784301541516,1784301541737.0,1784301542838.6296,1903.369,221.0,1101.63,3225.999
e-17,1784301539662.6453,1784301541516,1784301541737.0,1784301542838.6855,1853.355,221.0,1101.686,3176.04
