event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
e-0,1784506500439.4304,1784506502994,1784506503027.0,1784506503520.6677,2554.57,33.0,493.668,,3081.237
e-1,1784506500449.5117,1784506502994,1784506503055.0,1784506503520.6697,2544.488,61.0,465.67,,3071.158
e-2,1784506500459.489,1784506502994,1784506503055.0,1784506503520.6704,2534.511,61.0,465.67,,3061.181
e-3,1784506500469.5078,1784506502994,1784506503055.0,1784506503520.671,2524.492,61.0,465.671,,3051.163
e-4,1784506500480.491,1784506502994,1784506503056.0,1784506503520.6716,2513.509,62.0,464.672,,3040.181
e-5,1784506500489.4817,1784506502994,1784506503056.0,1784506503520.6724,2504.518,62.0,464.672,,3031.191
e-6,1784506500499.4915,1784506502994,1784506503056.0,1784506503520.6729,2494.509,62.0,464.673,,3021.181
e-7,1784506500509.4817,1784506502994,1784506503057.0,1784506503520.6768,2484.518,63.0,463.677,,3011.195
e-8,1784506500519.482,1784506502994,1784506503057.0,1784506503520.6775,2474.518,63.0,463.677,,3001.196
e-9,1784506500529.4832,1784506502994,1784506503057.0,1784506503520.6782,2464.517,63.0,463.678,,2991.195
e-10,1784506500539.4731,1784506502994,1784506503057.0,1784506503520.6787,2454.527,63.0,463.679,,2981.206
e-11,1784506500549.4614,1784506502994,1784506503058.0,1784506503520.6792,2444.539,64.0,462.679,,2971.218
e-12,1784506500559.5166,1784506502994,1784506503058.0,1784506503520.6794,2434.483,64.0,462.679,,2961.163
e-13,1784506500569.5208,1784506502994,1784506503058.0,1784506503520.68,2424.479,64.0,462.68,,2951.159
e-14,1784506500579.4844,1784506502994,1784506503058.0,1784506503520.6848,2414.516,64.0,462.685,,2941.2
e-15,1784506500589.4817,1784506502994,1784506503059.0,1784506503520.6853,2404.518,65.0,461.685,,2931.204
e-16,1784506500599.4897,1784506502994,1784506503059.0,1784506503520.6855,2394.51,65.0,461.686,,2921.196
e-17,1784506500609.4822,1784506502994,1784506503059.0,1784506503520.686,2384.518,65.0,461.686,,2911.204
e-18,1784506500619.543,1784506502994,1784506503060.0,1784506503520.6863,2374.457,66.0,460.686,,2901.143
e-19,1784506500629.5642,1784506502994,1784506503060.0,1784506503520.6868,2364.436,66.0,460.687,,2891.123
e-20,1784506500639.492,1784506502994,1784506503060.0,1784506503520.69,2354.508,66.0,460.69,,2881.198
e-21,1784506500649.5142,1784506502994,1784506503061.0,1784506503520.6902,2344.486,67.0,459.69,,2871.176
e-22,1784506500659.4854,1784506502994,1784506503061.0,1784506503520.6904,2334.515,67.0,459.69,,2861.205
e-23,1784506500669.479,1784506502994,1784506503061.0,1784506503520.691,2324.521,67.0,459.691,,2851.212
e-24,1784506500679.48,1784506502994,1784506503061.0,1784506503520.6917,2314.52,67.0,459.692,,2841.212
e-25,1784506500689.4912,1784506502994,1784506503062.0,1784506503520.6924,2304.509,68.0,458.692,,2831.201
e-26,1784506500699.491,1784506502994,1784506503062.0,1784506503520.6926,2294.509,68.0,458.693,,2821.202
e-27,1784506500709.4893,1784506502994,1784506503062.0,1784506503520.6929,2284.511,68.0,458.693,,2811.204
e-28,1784506500719.486,1784506502994,1784506503063.0,1784506503520.6934,2274.514,69.0,457.693,,2801.207
e-29,1784506500729.48,1784506502994,1784506503063.0,1784506503520.6936,2264.52,69.0,457.694,,2791.214
e-30,1784506500739.4866,1784506502994,1784506503063.0,1784506503520.6938,2254.513,69.0,457.694,,2781.207
e-31,1784506500749.4834,1784506502994,1784506503064.0,1784506503520.694,2244.517,70.0,456.694,,2771.211
e-32,1784506500759.4854,1784506502994,1784506503064.0,1784506503520.6943,2234.515,70.0,456.694,,2761.209
e-33,1784506500769.478,1784506502994,1784506503064.0,1784506503520.6953,2224.522,70.0,456.695,,2751.217
e-34,1784506500779.4746,1784506502994,1784506503064.0,1784506503520.6958,2214.525,70.0,456.696,,2741.221
e-35,1784506500790.5637,1784506502994,1784506503065.0,1784506503520.704,2203.436,71.0,455.704,,2730.14
e-36,1784506500799.483,1784506502994,1784506503065.0,1784506503520.7046,2194.517,71.0,455.705,,2721.222
e-37,1784506500809.4805,1784506502994,1784506503065.0,1784506503520.7048,2184.52,71.0,455.705,,2711.224
e-38,1784506500819.4785,1784506502994,1784506503066.0,1784506503520.7053,2174.521,72.0,454.705,,2701.227
e-39,1784506500829.4827,1784506502994,1784506503066.0,1784506503520.7056,2164.517,72.0,454.706,,2691.223
e-40,1784506500839.478,1784506502994,1784506503066.0,1784506503520.706,2154.522,72.0,454.706,,2681.228
e-41,1784506500849.4849,1784506502994,1784506503067.0,1784506503520.707,2144.515,73.0,453.707,,2671.222
e-42,1784506500859.4873,1784506502994,1784506503067.0,1784506503520.7075,2134.513,73.0,453.708,,2661.22
e-43,1784506500869.4856,1784506502994,1784506503067.0,1784506503520.7078,2124.514,73.0,453.708,,2651.222
e-44,1784506500879.4739,1784506502994,1784506503067.0,1784506503520.708,2114.526,73.0,453.708,,2641.234
e-45,1784506500889.48,1784506502994,1784506503068.0,1784506503520.7085,2104.52,74.0,452.708,,2631.229
e-46,1784506500899.4734,1784506502994,1784506503068.0,1784506503520.7087,2094.527,74.0,452.709,,2621.235
e-47,1784506500910.5752,1784506502994,1784506503068.0,1784506503520.7092,2083.425,74.0,452.709,,2610.134
e-48,1784506500919.5046,1784506502994,1784506503069.0,1784506503520.7097,2074.495,75.0,451.71,,2601.205
e-49,1784506500929.4844,1784506502994,1784506503069.0,1784506503520.71,2064.516,75.0,451.71,,2591.226
e-50,1784506500939.484,1784506502994,1784506503069.0,1784506503520.7102,2054.516,75.0,451.71,,2581.226
e-51,1784506500949.4863,1784506502994,1784506503069.0,1784506503520.7104,2044.514,75.0,451.71,,2571.224
e-52,1784506500959.48,1784506502994,1784506503070.0,1784506503520.711,2034.52,76.0,450.711,,2561.231
e-53,1784506500969.492,1784506502994,1784506503070.0,1784506503520.712,2024.508,76.0,450.712,,2551.22
e-54,1784506500979.4753,1784506502994,1784506503070.0,1784506503520.7122,2014.525,76.0,450.712,,2541.237
e-55,1784506500989.4841,1784506502994,1784506503070.0,1784506503520.7126,2004.516,76.0,450.713,,2531.229
e-56,1784506500999.489,1784506502994,1784506503071.0,1784506503520.713,1994.511,77.0,449.713,,2521.224
e-57,1784506501009.5032,1784506502994,1784506503071.0,1784506503520.7166,1984.497,77.0,449.717,,2511.213
e-58,1784506501019.5146,1784506502994,1784506503071.0,1784506503520.7173,1974.485,77.0,449.717,,2501.203
e-59,1784506501029.482,1784506502994,1784506503071.0,1784506503520.7175,1964.518,77.0,449.718,,2491.236
e-60,1784506501039.5227,1784506502994,1784506503071.0,1784506503520.7373,1954.477,77.0,449.737,,2481.215
e-61,1784506501049.5112,1784506502994,1784506503072.0,1784506503520.7378,1944.489,78.0,448.738,,2471.227
e-62,1784506501059.5051,1784506502994,1784506503072.0,1784506503520.7383,1934.495,78.0,448.738,,2461.233
e-63,1784506501069.49,1784506502994,1784506503072.0,1784506503520.7388,1924.51,78.0,448.739,,2451.249
e-64,1784506501079.5132,1784506502994,1784506503073.0,1784506503520.7395,1914.487,79.0,447.74,,2441.226
e-65,1784506501089.4785,1784506502994,1784506503073.0,1784506503520.7405,1904.521,79.0,447.74,,2431.262
e-66,1784506501099.6582,1784506502994,1784506503073.0,1784506503520.7407,1894.342,79.0,447.741,,2421.083
e-67,1784506501109.4854,1784506502994,1784506503073.0,1784506503520.7412,1884.515,79.0,447.741,,2411.256
e-68,1784506501119.4504,1784506502994,1784506503074.0,1784506503520.7415,1874.55,80.0,446.741,,2401.291
e-69,1784506501129.474,1784506502994,1784506503074.0,1784506503520.742,1864.526,80.0,446.742,,2391.268
e-70,1784506501139.486,1784506502994,1784506503074.0,1784506503520.7424,1854.514,80.0,446.742,,2381.256
e-71,1784506501149.5166,1784506502994,1784506503074.0,1784506503520.743,1844.483,80.0,446.743,,2371.226
e-72,1784506501159.508,1784506502994,1784506503074.0,1784506503520.7432,1834.492,80.0,446.743,,2361.235
e-73,1784506501169.5122,1784506502994,1784506503074.0,1784506503520.7437,1824.488,80.0,446.744,,2351.231
e-74,1784506501179.4817,1784506502994,1784506503074.0,1784506503520.744,1814.518,80.0,446.744,,2341.262
e-75,1784506501189.488,1784506502994,1784506503074.0,1784506503520.7444,1804.512,80.0,446.744,,2331.256
e-76,1784506501199.4868,1784506502994,1784506503074.0,1784506503520.7446,1794.513,80.0,446.745,,2321.258
