event_id,send_time_ns,receive_time_ns,latency_ms
e-0,845699290091979,845702283250073,2993.158
e-1,845699340176366,845702283253043,2943.077
e-3,845699440196770,845702283254483,2843.058
e-4,845699490190767,845702283255233,2793.064
e-5,845699540187114,845702283255913,2743.069
e-8,845699690194226,845702283256953,2593.063
e-9,845699740188763,845702283257773,2543.069
e-10,845699790221300,845702283261223,2493.04
e-11,845699840157268,845702283262103,2443.105
e-12,845699890161905,845702283263033,2393.101
e-13,845699940167422,845702283263533,2343.096
e-15,845700040180647,845702283264043,2243.083
e-16,845700090164354,845702283264503,2193.1
e-17,845700140173251,845702283265053,2143.092
e-21,845700340148311,845702283265533,1943.117
e-23,845700440146805,845702283265943,1843.119
e-28,845700690182433,845702283266363,1593.084
e-30,845700790158998,845702283266903,1493.108
e-31,845700840153545,845702283267393,1443.114
e-33,845700940150511,845702283267813,1343.117
e-34,845700990162518,845702283268473,1293.106
e-38,845701190187649,845702283268933,1093.081
e-39,845701240173426,845702283274553,1043.101
e-42,845701390165439,845702283275073,893.11
e-44,845701490159754,845702283275593,793.116
e-45,845701540157552,845702283276423,743.119
e-46,845701590192850,845703316910437,1726.718
e-47,845701640165107,845703316912447,1676.747
e-48,845701690173795,845703316913567,1626.74
e-49,845701740224563,845703316914067,1576.69
e-50,845701790217941,845703316914527,1526.697
e-56,845702090177928,845703316915017,1226.737
e-57,845702140169716,845703316933567,1176.764
e-58,845702190169174,845703316935457,1126.766
e-59,845702240181132,845703316936217,1076.755
e-60,845702290171770,845703316936857,1026.765
e-61,845702340153017,845703316937567,976.785
e-64,845702490165351,845703316938087,826.773
e-65,845702540156629,845703316938527,776.782
e-66,845702590166437,845703316939007,726.773
e-67,845702640163045,845704366872572,1726.71
e-77,845703140167816,845704366875752,1226.708
e-78,845703190157014,845704366876152,1176.719
e-80,845703290172591,845704366876932,1076.704
e-81,845703340158959,845704366877352,1026.718
e-83,845703440162405,845704366877672,926.715
e-84,845703490152873,845704366886152,876.733
e-85,845703540165872,845704366886422,826.721
e-86,845703590166730,845704366886642,776.72
e-90,845703790162724,845704366886862,576.724
e-91,845703840162662,845704366887102,526.724
e-92,845703890170230,845704366897892,476.728
e-94,845703990165337,845704366898162,376.733
e-95,845704040171796,845704366898752,326.727
e-96,845704090206794,845704366898982,276.692
e-97,845704140198982,845704366899222,226.7
