event_id,send_time_ns,receive_time_ns,latency_ms
tc-0-0,848774247645229,848776092709692,1845.064
tc-1-0,848774097642626,848776092712642,1995.07
tc-10-0,848773947631304,848776092717562,2145.086
tc-11-0,848772447657058,848776092718302,3645.061
tc-12-0,848770847635104,848776092719022,5245.084
tc-13-0,848770697689532,848776092719462,5395.03
tc-14-0,848773097695923,848776092719832,2995.024
tc-15-0,848771747644589,848776092723322,4345.079
tc-16-0,848773247646015,848776092724272,2845.078
tc-17-0,848773597638615,848776092735962,2495.097
tc-19-0,848773997649518,848776092736272,2095.087
tc-2-0,848772947644940,848776092736552,3145.092
tc-21-0,848773447642002,848776092736792,2645.095
tc-23-0,848771347650426,848776092739882,4745.089
tc-24-0,848770797625110,848776092740222,5295.115
tc-28-0,848770297637038,848776092740592,5795.104
tc-29-0,848773897665800,848776092746162,2195.08
tc-31-0,848773297630769,848776092769162,2795.138
tc-33-0,848774197639295,848776092769512,1895.13
tc-34-0,848772497656522,848776092804012,3595.147
tc-35-0,848773547638351,848776092807172,2545.169
tc-38-0,848771497643778,848776092824752,4595.181
tc-39-0,848772697667879,848776092860283,3395.192
tc-4-0,848769747648633,848776092860753,6345.212
tc-40-0,848772197654287,848776092873903,3895.22
tc-41-0,848769348573822,848776092880603,6744.307
tc-43-0,848771597654557,848776092916563,4495.262
tc-45-0,848773797631431,848776092924933,2295.294
tc-46-0,848769597662840,848776092933593,6495.271
tc-48-0,848773847637776,848776092965383,2245.328
tc-5-0,848771997650030,848776092965673,4095.316
tc-50-0,848773347602053,848776092978323,2745.376
tc-51-0,848773497642136,848776093038283,2595.396
tc-53-0,848774297685953,848776093041973,1795.356
tc-54-0,848769947669249,848776093044803,6145.376
tc-55-0,848773647632879,848776093078293,2445.445
tc-57-0,848772797651147,848776093081293,3295.43
tc-58-0,848772397647013,848776093116563,3695.47
tc-59-0,848772997645604,848776093116933,3095.471
tc-6-0,848770247682504,848776093154173,5845.472
tc-62-0,848771947682716,848776093154603,4145.472
tc-63-0,848773397635558,848776093185263,2695.55
tc-64-0,848769697647458,848776093188383,6395.541
tc-68-0,848771097625165,848776093219854,4995.595
tc-69-0,848770497645735,848776093222314,5595.577
tc-7-0,848773147678807,848776093255904,2945.577
tc-70-0,848773697633223,848776093258974,2395.626
tc-71-0,848770597674273,848776093387054,5495.713
tc-72-0,848770947621962,848776093389974,5145.768
tc-73-0,848772747668823,848776093391054,3345.722
tc-74-0,848772347647729,848776093391874,3745.744
tc-75-0,848774147628800,848776093418914,1945.79
tc-76-0,848772297650565,848776093419514,3795.769
tc-77-0,848771697644915,848776093420684,4395.776
tc-79-0,848770997630187,848776093421224,5095.791
tc-8-0,848772597647671,848776093426184,3495.779
tc-80-0,848770097634542,848776093426684,5995.792
tc-83-0,848769447647538,848776093427504,6645.78
tc-84-0,848774047638102,848776093449994,2045.812
tc-85-0,848772897642326,848776093450634,3195.808
tc-87-0,848770647635468,848776093454704,5445.819
tc-88-0,848772247644651,848776093455064,3845.81
tc-89-0,848772547650957,848776093489174,3545.838
tc-9-0,848769497687012,848776093600085,6595.913
tc-90-0,848773747684507,848776093600885,2345.916
tc-91-0,848772847671552,848776093601645,3245.93
tc-93-0,848772647654015,848776093606475,3445.952
tc-96-0,848771847644888,848776093606735,4245.962
tc-97-0,848772097643109,848776093619865,3995.977
tc-98-0,848773197641941,848776093659665,2896.018
tc-99-0,848771397645590,848776093659925,4696.014
