event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
tc-0-0,1784194288744.1165,1784194289627,1784194291684.0,1784194291743.904,882.884,2057.0,59.904,2999.788
tc-1-0,1784194289044.0942,1784194289627,1784194291693.0,1784194291743.9082,582.906,2066.0,50.908,2699.814
tc-10-0,1784194288184.0996,1784194288619,1784194291693.0,1784194291743.91,434.9,3074.0,50.91,3559.81
tc-11-0,1784194288484.128,1784194288619,1784194291693.0,1784194291743.911,134.872,3074.0,50.911,3259.783
tc-12-0,1784194285764.0837,1784194286597,1784194291693.0,1784194291743.9126,832.916,5096.0,50.913,5979.829
tc-13-0,1784194288794.1206,1784194289627,1784194291693.0,1784194291743.914,832.879,2066.0,50.914,2949.793
tc-14-0,1784194288974.0955,1784194289627,1784194291693.0,1784194291743.9297,652.905,2066.0,50.93,2769.834
tc-15-0,1784194288364.1096,1784194288619,1784194291693.0,1784194291743.9358,254.89,3074.0,50.936,3379.826
tc-16-0,1784194288934.0945,1784194289627,1784194291693.0,1784194291743.9377,692.906,2066.0,50.938,2809.843
tc-17-0,1784194288444.1199,1784194288619,1784194291693.0,1784194291743.9395,174.88,3074.0,50.939,3299.82
tc-18-0,1784194287864.0918,1784194288619,1784194291694.0,1784194291743.9404,754.908,3075.0,49.94,3879.849
tc-19-0,1784194288804.0996,1784194289627,1784194291694.0,1784194291743.9412,822.9,2067.0,49.941,2939.842
tc-2-0,1784194288694.106,1784194289627,1784194291694.0,1784194291744.0564,932.894,2067.0,50.056,3049.95
tc-20-0,1784194286684.0884,1784194287606,1784194291694.0,1784194291744.0593,921.912,4088.0,50.059,5059.971
tc-21-0,1784194288264.0928,1784194288619,1784194291694.0,1784194291744.0605,354.907,3075.0,50.061,3479.968
tc-22-0,1784194286344.0713,1784194286597,1784194291694.0,1784194291744.0615,252.929,5097.0,50.062,5399.99
tc-23-0,1784194285294.0898,1784194285605,1784194291694.0,1784194291744.0623,310.91,6089.0,50.062,6449.972
tc-24-0,1784194288454.112,1784194288619,1784194291694.0,1784194291744.0935,164.888,3075.0,50.094,3289.981
tc-25-0,1784194287934.0994,1784194288619,1784194291694.0,1784194291744.0945,684.901,3075.0,50.094,3809.995
tc-26-0,1784194288174.122,1784194288619,1784194291695.0,1784194291744.095,444.878,3076.0,49.095,3569.973
tc-27-0,1784194288634.085,1784194289627,1784194291695.0,1784194291744.0957,992.915,2068.0,49.096,3110.011
tc-28-0,1784194289024.0886,1784194289627,1784194291695.0,1784194291744.0962,602.911,2068.0,49.096,2720.008
tc-29-0,1784194287134.1033,1784194287606,1784194291695.0,1784194291744.102,471.897,4089.0,49.102,4609.999
tc-3-0,1784194288134.09,1784194288619,1784194291695.0,1784194291744.103,484.91,3076.0,49.103,3610.013
tc-30-0,1784194288494.1165,1784194288619,1784194291695.0,1784194291744.1147,124.884,3076.0,49.115,3249.998
