event_id,t0_ms,t1_ms,t2_ms,t3_ms,write_to_input_append_latency_ms,input_append_to_result_emission_latency_ms,l_visibility_ms,l_closure_ms,latency_ms
tc-0-0,1784624451088.4517,1784624451809,1784624471738.0,1784624471877.5269,720.548,19929.0,139.527,1784624411738.0,20789.075
tc-1-0,1784624451388.4678,1784624451809,1784624471746.0,1784624471877.5312,420.532,19937.0,131.531,1784624411746.0,20489.063
tc-10-0,1784624450528.467,1784624450800,1784624471746.0,1784624471877.5322,271.533,20946.0,131.532,1784624411746.0,21349.065
tc-11-0,1784624450828.4639,1784624451809,1784624471746.0,1784624471877.533,980.536,19937.0,131.533,1784624411746.0,21049.069
tc-12-0,1784624448108.4724,1784624448780,1784624471746.0,1784624471877.5342,671.528,22966.0,131.534,1784624411746.0,23769.062
tc-13-0,1784624451138.4663,1784624451809,1784624471746.0,1784624471877.535,670.534,19937.0,131.535,1784624411746.0,20739.069
tc-14-0,1784624451318.4578,1784624451809,1784624471746.0,1784624471877.5474,490.542,19937.0,131.547,1784624411746.0,20559.09
tc-15-0,1784624450708.469,1784624450800,1784624471746.0,1784624471877.5525,91.531,20946.0,131.552,1784624411746.0,21169.083
tc-16-0,1784624451278.4578,1784624451809,1784624471746.0,1784624471877.5542,530.542,19937.0,131.554,1784624411746.0,20599.096
tc-17-0,1784624450788.4636,1784624450800,1784624471746.0,1784624471877.555,11.536,20946.0,131.555,1784624411746.0,21089.091
tc-18-0,1784624450208.4558,1784624450800,1784624471747.0,1784624471877.5554,591.544,20947.0,130.555,1784624411747.0,21669.1
tc-19-0,1784624451148.4763,1784624451809,1784624471747.0,1784624471877.5562,660.524,19938.0,130.556,1784624411747.0,20729.08
tc-2-0,1784624451038.456,1784624451809,1784624471747.0,1784624471877.5566,770.544,19938.0,130.557,1784624411747.0,20839.101
tc-20-0,1784624449028.461,1784624449791,1784624471747.0,1784624471877.5571,762.539,21956.0,130.557,1784624411747.0,22849.096
tc-21-0,1784624450608.4656,1784624450800,1784624471747.0,1784624471877.5576,191.534,20947.0,130.558,1784624411747.0,21269.092
tc-22-0,1784624448688.4778,1784624448780,1784624471747.0,1784624471877.558,91.522,22967.0,130.558,1784624411747.0,23189.08
tc-23-0,1784624447638.4592,1784624447787,1784624471747.0,1784624471877.5586,148.541,23960.0,130.559,1784624411747.0,24239.099
tc-24-0,1784624450798.4636,1784624450800,1784624471747.0,1784624471877.559,1.536,20947.0,130.559,1784624411747.0,21079.095
tc-25-0,1784624450278.4644,1784624450800,1784624471747.0,1784624471877.5596,521.536,20947.0,130.56,1784624411747.0,21599.095
tc-26-0,1784624450518.4543,1784624450800,1784624471747.0,1784624471877.5603,281.546,20947.0,130.56,1784624411747.0,21359.106
tc-27-0,1784624450978.4673,1784624451809,1784624471747.0,1784624471877.5608,830.533,19938.0,130.561,1784624411747.0,20899.094
tc-28-0,1784624451368.47,1784624451809,1784624471747.0,1784624471877.561,440.53,19938.0,130.561,1784624411747.0,20509.091
tc-29-0,1784624449478.4688,1784624449791,1784624471747.0,1784624471877.589,312.531,21956.0,130.589,1784624411747.0,22399.12
tc-3-0,1784624450478.4841,1784624450800,1784624471748.0,1784624471877.5898,321.516,20948.0,129.59,1784624411748.0,21399.106
tc-30-0,1784624450838.453,1784624451809,1784624471748.0,1784624471877.5906,970.547,19939.0,129.591,1784624411748.0,21039.138
tc-31-0,1784624450998.4595,1784624451809,1784624471748.0,1784624471877.603,810.541,19939.0,129.603,1784624411748.0,20879.144
tc-32-0,1784624451288.4585,1784624451809,1784624471748.0,1784624471877.6067,520.542,19939.0,129.607,1784624411748.0,20589.148
tc-33-0,1784624450848.457,1784624451809,1784624471748.0,1784624471877.6218,960.543,19939.0,129.622,1784624411748.0,21029.165
tc-34-0,1784624450988.4553,1784624451809,1784624471748.0,1784624471877.6226,820.545,19939.0,129.623,1784624411748.0,20889.167
tc-35-0,1784624450938.4607,1784624451809,1784624471748.0,1784624471877.626,870.539,19939.0,129.626,1784624411748.0,20939.165
tc-36-0,1784624450628.4575,1784624450800,1784624471748.0,1784624471877.6494,171.542,20948.0,129.649,1784624411748.0,21249.192
tc-37-0,1784624449988.4575,1784624450800,1784624471748.0,1784624471877.65,811.542,20948.0,129.65,1784624411748.0,21889.192
tc-38-0,1784624451398.4753,1784624451809,1784624471748.0,1784624471877.6501,410.525,19939.0,129.65,1784624411748.0,20479.175
tc-39-0,1784624451028.4663,1784624451809,1784624471748.0,1784624471877.696,780.534,19939.0,129.696,1784624411748.0,20849.23
tc-4-0,1784624451258.4512,1784624451809,1784624471748.0,1784624471877.6965,550.549,19939.0,129.697,1784624411748.0,20619.245
tc-40-0,1784624450228.4646,1784624450800,1784624471748.0,1784624471877.7231,571.535,20948.0,129.723,1784624411748.0,21649.259
tc-41-0,1784624450248.4534,1784624450800,1784624471749.0,1784624471877.733,551.547,20949.0,128.733,1784624411749.0,21629.28
tc-42-0,1784624450768.4636,1784624450800,1784624471749.0,1784624471877.7366,31.536,20949.0,128.737,1784624411749.0,21109.273
tc-43-0,1784624450918.4675,1784624451809,1784624471749.0,1784624471877.737,890.532,19940.0,128.737,1784624411749.0,20959.27
tc-44-0,1784624450218.4534,1784624450800,1784624471749.0,1784624471877.7373,581.547,20949.0,128.737,1784624411749.0,21659.284
tc-45-0,1784624449098.4675,1784624449791,1784624471749.0,1784624471877.7441,692.532,21958.0,128.744,1784624411749.0,22779.277
