timestamp_ms,topic,lag
1784623724606,bench-w3-latency-input,101
1784623724606,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,202
1784623731515,bench-w3-latency-input,101
1784623731515,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,304
1784623738419,bench-w3-latency-input,0
1784623738419,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,102
1784623745312,bench-w3-latency-input,0
1784623745312,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,102
1784623752314,bench-w3-latency-input,101
1784623752314,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,203
1784623759187,bench-w3-latency-input,101
1784623759187,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,203
1784623766116,bench-w3-latency-input,0
1784623766116,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,101
1784623773018,bench-w3-latency-input,101
1784623773018,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,202
1784623779881,bench-w3-latency-input,0
1784623779881,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623786748,bench-w3-latency-input,0
1784623786748,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623793616,bench-w3-latency-input,0
1784623793616,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623800464,bench-w3-latency-input,0
1784623800464,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623807313,bench-w3-latency-input,0
1784623807313,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623814182,bench-w3-latency-input,0
1784623814182,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623821042,bench-w3-latency-input,0
1784623821042,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623827897,bench-w3-latency-input,0
1784623827897,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623834823,bench-w3-latency-input,0
1784623834823,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623841675,bench-w3-latency-input,0
1784623841675,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623848622,bench-w3-latency-input,0
1784623848622,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623855472,bench-w3-latency-input,0
1784623855472,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623862352,bench-w3-latency-input,0
1784623862352,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623869258,bench-w3-latency-input,0
1784623869258,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623876193,bench-w3-latency-input,0
1784623876193,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623883115,bench-w3-latency-input,0
1784623883115,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623889933,bench-w3-latency-input,0
1784623889933,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623896770,bench-w3-latency-input,0
1784623896770,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623903589,bench-w3-latency-input,0
1784623903589,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623910443,bench-w3-latency-input,0
1784623910443,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623917307,bench-w3-latency-input,0
1784623917307,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
1784623924171,bench-w3-latency-input,0
1784623924171,stream-state-bench-w3-latency-tumbling_count-tuning-commit-1000_trial2-tumbling-count-store-repartition,0
