event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
tc-0-0,1784302197085.6572,1784302197189,1784302217222.0,1784302217279.5466,103.343,20033.0,57.547,20193.889
tc-1-0,1784302196935.6775,1784302197189,1784302217233.0,1784302217279.5515,253.323,20044.0,46.552,20343.874
tc-10-0,1784302196785.6545,1784302197189,1784302217233.0,1784302217279.553,403.345,20044.0,46.553,20493.898
tc-11-0,1784302195285.6487,1784302195638,1784302217234.0,1784302217279.5542,352.351,21596.0,45.554,21993.906
tc-12-0,1784302193685.6604,1784302194626,1784302217234.0,1784302217279.556,940.34,22608.0,45.556,23593.896
tc-13-0,1784302193535.6694,1784302194626,1784302217234.0,1784302217279.5574,1090.331,22608.0,45.557,23743.888
tc-14-0,1784302195935.6577,1784302196688,1784302217234.0,1784302217279.5586,752.342,20546.0,45.559,21343.901
tc-15-0,1784302194585.6777,1784302194626,1784302217234.0,1784302217279.5876,40.322,22608.0,45.588,22693.91
tc-16-0,1784302196085.691,1784302196688,1784302217234.0,1784302217279.5894,602.309,20546.0,45.589,21193.898
tc-17-0,1784302196435.691,1784302196688,1784302217235.0,1784302217279.5908,252.309,20547.0,44.591,20843.9
tc-19-0,1784302196835.6692,1784302197189,1784302217235.0,1784302217279.5923,353.331,20046.0,44.592,20443.923
tc-2-0,1784302195785.6667,1784302196688,1784302217235.0,1784302217279.5933,902.333,20547.0,44.593,21493.927
tc-21-0,1784302196285.6794,1784302196688,1784302217235.0,1784302217279.6006,402.321,20547.0,44.601,20993.921
tc-23-0,1784302194185.7,1784302194626,1784302217235.0,1784302217281.8132,440.3,22609.0,46.813,23096.113
tc-24-0,1784302193635.659,1784302194626,1784302217235.0,1784302217281.8152,990.341,22609.0,46.815,23646.156
tc-28-0,1784302193135.671,1784302194626,1784302217235.0,1784302217281.8213,1490.329,22609.0,46.821,24146.15
tc-29-0,1784302196735.6406,1784302197189,1784302217236.0,1784302217281.8223,453.359,20047.0,45.822,20546.182
tc-31-0,1784302196135.6855,1784302196688,1784302217236.0,1784302217281.8232,552.314,20548.0,45.823,21146.138
tc-33-0,1784302197035.6624,1784302197189,1784302217236.0,1784302217281.824,153.338,20047.0,45.824,20246.162
tc-34-0,1784302195335.6575,1784302195638,1784302217236.0,1784302217281.8247,302.343,21598.0,45.825,21946.167
tc-35-0,1784302196385.6748,1784302196688,1784302217236.0,1784302217281.8254,302.325,20548.0,45.825,20896.151
tc-38-0,1784302194335.7031,1784302194626,1784302217236.0,1784302217281.826,290.297,22610.0,45.826,22946.123
tc-39-0,1784302195535.664,1784302195638,1784302217236.0,1784302217281.8264,102.336,21598.0,45.826,21746.162
tc-4-0,1784302192585.6584,1784302194626,1784302217236.0,1784302217281.827,2040.342,22610.0,45.827,24696.168
tc-40-0,1784302195035.686,1784302195638,1784302217237.0,1784302217281.8274,602.314,21599.0,44.827,22246.141
tc-41-0,1784302192186.3276,1784302194626,1784302217237.0,1784302217281.8286,2439.672,22611.0,44.829,25095.501
tc-43-0,1784302194435.6748,1784302194626,1784302217237.0,1784302217281.829,190.325,22611.0,44.829,22846.154
tc-45-0,1784302196635.6482,1784302196688,1784302217237.0,1784302217281.8296,52.352,20549.0,44.83,20646.181
