event_id,t0_ms,t1_ms,t2_ms,t3_ms,t1_t0_ms,t2_t1_ms,t3_t2_ms,latency_ms
tc-0-0,1784302740228.383,1784302740332,1784302741499.0,1784302741559.0994,103.617,1167.0,60.099,1330.716
tc-1-0,1784302740078.383,1784302740332,1784302741507.0,1784302741559.1035,253.617,1175.0,52.104,1480.72
tc-10-0,1784302739928.3843,1784302740332,1784302741507.0,1784302741559.1045,403.616,1175.0,52.104,1630.72
tc-11-0,1784302738428.3853,1784302738830,1784302741507.0,1784302741559.1055,401.615,2677.0,52.105,3130.72
tc-12-0,1784302736828.3687,1784302737799,1784302741507.0,1784302741559.107,970.631,3708.0,52.107,4730.738
tc-13-0,1784302736678.39,1784302737799,1784302741508.0,1784302741559.108,1120.61,3709.0,51.108,4880.718
tc-14-0,1784302739078.384,1784302739881,1784302741508.0,1784302741559.113,802.616,1627.0,51.113,2480.729
tc-15-0,1784302737728.3833,1784302737799,1784302741508.0,1784302741559.1191,70.617,3709.0,51.119,3830.736
tc-16-0,1784302739228.4158,1784302739881,1784302741508.0,1784302741559.12,652.584,1627.0,51.12,2330.704
tc-17-0,1784302739578.4368,1784302739881,1784302741508.0,1784302741559.1216,302.563,1627.0,51.122,1980.685
tc-19-0,1784302739978.3757,1784302740332,1784302741508.0,1784302741559.1226,353.624,1176.0,51.123,1580.747
tc-2-0,1784302738928.3674,1784302739881,1784302741508.0,1784302741559.1255,952.633,1627.0,51.125,2630.758
tc-21-0,1784302739428.4229,1784302739881,1784302741509.0,1784302741559.1257,452.577,1628.0,50.126,2130.703
tc-23-0,1784302737328.4224,1784302737799,1784302741509.0,1784302741559.1262,470.578,3710.0,50.126,4230.704
tc-24-0,1784302736778.4033,1784302737799,1784302741509.0,1784302741559.1736,1020.597,3710.0,50.174,4780.77
tc-28-0,1784302736278.3914,1784302737799,1784302741509.0,1784302741559.182,1520.609,3710.0,50.182,5280.791
tc-29-0,1784302739878.3782,1784302739881,1784302741509.0,1784302741559.1824,2.622,1628.0,50.182,1680.804
tc-31-0,1784302739278.419,1784302739881,1784302741509.0,1784302741559.183,602.581,1628.0,50.183,2280.764
tc-33-0,1784302740178.3904,1784302740332,1784302741509.0,1784302741559.1836,153.61,1177.0,50.184,1380.793
tc-34-0,1784302738478.3835,1784302738830,1784302741509.0,1784302741559.1838,351.616,2679.0,50.184,3080.8
tc-35-0,1784302739528.394,1784302739881,1784302741509.0,1784302741559.1843,352.606,1628.0,50.184,2030.79
tc-38-0,1784302737478.4248,1784302737799,1784302741509.0,1784302741559.1846,320.575,3710.0,50.185,4080.76
tc-39-0,1784302738678.3845,1784302738830,1784302741509.0,1784302741559.185,151.615,2679.0,50.185,2880.801
tc-4-0,1784302735728.3835,1784302737799,1784302741510.0,1784302741559.1853,2070.616,3711.0,49.185,5830.802
tc-40-0,1784302738178.4067,1784302738830,1784302741510.0,1784302741559.1858,651.593,2680.0,49.186,3380.779
tc-41-0,1784302735329.1453,1784302737799,1784302741510.0,1784302741559.187,2469.855,3711.0,49.187,6230.042
tc-43-0,1784302737578.3918,1784302737799,1784302741510.0,1784302741559.1873,220.608,3711.0,49.187,3980.795
tc-45-0,1784302739778.4773,1784302739881,1784302741510.0,1784302741559.1877,102.523,1629.0,49.188,1780.71
tc-46-0,1784302735578.4226,1784302737799,1784302741510.0,1784302741559.1882,2220.577,3711.0,49.188,5980.766
tc-48-0,1784302739828.3853,1784302739881,1784302741510.0,1784302741560.7368,52.615,1629.0,50.737,1732.352
tc-5-0,1784302737978.3826,1784302738830,1784302741510.0,1784302741560.7385,851.617,2680.0,50.739,3582.356
tc-50-0,1784302739328.411,1784302739881,1784302741510.0,1784302741560.7393,552.589,1629.0,50.739,2232.328
tc-51-0,1784302739478.4,1784302739881,1784302741510.0,1784302741560.7402,402.6,1629.0,50.74,2082.34
tc-53-0,1784302740278.3857,1784302740332,1784302741510.0,1784302741560.7427,53.614,1178.0,50.743,1282.357
tc-54-0,1784302735928.4048,1784302737799,1784302741511.0,1784302741560.7437,1870.595,3712.0,49.744,5632.339
tc-55-0,1784302739628.3928,1784302739881,1784302741511.0,1784302741560.7449,252.607,1630.0,49.745,1932.352
tc-57-0,1784302738778.4055,1784302738830,1784302741511.0,1784302741560.7456,51.594,2681.0,49.746,2782.34
