event_id,send_time_ns,receive_time_ns,latency_ms
ss-0-60000,849434755880075,849436309141237,1553.261
ss-1-60000,849434680868896,849436309143477,1628.275
ss-10-60000,849434605855507,849436309144097,1703.289
ss-11-60000,849433855857397,849436309144687,2453.287
ss-12-60000,849433055882526,849436309157517,3253.275
ss-13-60000,849432980883087,849436309161487,3328.278
ss-14-60000,849434180889520,849436309161997,2128.272
ss-15-60000,849433505867989,849436309235077,2803.367
ss-16-60000,849434255858549,849436309235707,2053.377
ss-17-60000,849434430892953,849436309236317,1878.343
ss-19-60000,849434630870964,849436309270087,1678.399
ss-2-60000,849434105853401,849436309287467,2203.434
ss-21-60000,849434355880144,849436309287767,1953.408
ss-23-60000,849433305909039,849436309302148,3003.393
ss-24-60000,849433030892519,849436309310108,3278.418
ss-28-60000,849432780927817,849436309325898,3528.398
ss-29-60000,849434580861661,849436309341238,1728.48
ss-31-60000,849434280853895,849436309358468,2028.505
ss-33-60000,849434730841839,849436309376008,1578.534
ss-34-60000,849433880856324,849436309400358,2428.544
ss-35-60000,849434405892477,849436309408788,1903.516
ss-38-60000,849433380870858,849436309422928,2928.552
ss-39-60000,849433980855269,849436309438348,2328.583
ss-4-60000,849432505870717,849436309453978,3803.583
ss-40-60000,849433730876676,849436309471718,2578.595
ss-41-60000,849432306620669,849436309487568,4002.867
ss-43-60000,849433430872910,849436309510068,2878.637
ss-45-60000,849434530870808,849436309526048,1778.655
ss-46-60000,849432430867298,849436309542898,3878.676
ss-48-60000,849434555858905,849436309558038,1753.699
ss-5-60000,849433630877721,849436309575238,2678.698
ss-50-60000,849434305864732,849436309590958,2003.726
ss-51-60000,849434380898710,849436309612498,1928.714
ss-53-60000,849434780880382,849436309626118,1528.746
ss-54-60000,849432605900892,849436309640778,3703.74
ss-55-60000,849434455864069,849436309655088,1853.791
ss-57-60000,849434030874812,849436309669508,2278.795
ss-58-60000,849433830859591,849436309685779,2478.826
ss-59-60000,849434130850597,849436309719499,2178.869
ss-6-60000,849432755895480,849436309719909,3553.824
ss-62-60000,849433605886144,849436309737099,2703.851
ss-63-60000,849434330865328,849436309785799,1978.92
ss-64-60000,849432480874371,849436309786349,3828.912
ss-68-60000,849433181049578,849436309786789,3128.737
ss-69-60000,849432880883332,849436309808809,3428.925
ss-7-60000,849434205860176,849436309824419,2103.964
ss-70-60000,849434480871946,849436309840029,1828.968
ss-71-60000,849432930883404,849436309859029,3378.976
ss-72-60000,849433105897378,849436309874379,3203.977
ss-73-60000,849434005879756,849436309892919,2304.013
ss-74-60000,849433805878605,849436309896239,2504.018
ss-75-60000,849434705867073,849436309925449,1604.058
ss-76-60000,849433780888678,849436309928579,2529.04
ss-77-60000,849433480876533,849436309959919,2829.083
ss-79-60000,849433130887605,849436309960249,3179.073
ss-8-60000,849433930852526,849436309996329,2379.144
ss-80-60000,849432680884161,849436309996739,3629.113
ss-83-60000,849432355893709,849436310023029,3954.129
ss-84-60000,849434655870010,849436310043709,1654.174
ss-85-60000,849434080869205,849436310058420,2229.189
ss-87-60000,849432955875021,849436310074330,3354.199
ss-88-60000,849433755893262,849436310089160,2554.196
ss-89-60000,849433905864390,849436310105570,2404.241
ss-9-60000,849432380889506,849436310211890,3929.322
ss-90-60000,849434505896792,849436310212790,1804.316
ss-91-60000,849434055854038,849436310218750,2254.365
ss-93-60000,849433955868013,849436310247730,2354.38
ss-96-60000,849433555859952,849436310259860,2754.4
ss-97-60000,849433680888783,849436310276430,2629.388
ss-98-60000,849434230858943,849436310413550,2079.555
ss-99-60000,849433330889295,849436310415260,2979.526
ss-0-120000,849434755880075,849436310416240,1554.536
ss-1-120000,849434680868896,849436310491631,1629.623
ss-10-120000,849434605855507,849436310492251,1704.637
ss-11-120000,849433855857397,849436310492531,2454.635
ss-12-120000,849433055882526,849436310492891,3254.61
ss-13-120000,849432980883087,849436310507091,3329.624
ss-14-120000,849434180889520,849436310507851,2129.618
ss-15-120000,849433505867989,849436310540441,2804.672
ss-16-120000,849434255858549,849436310540711,2054.682
ss-17-120000,849434430892953,849436310599881,1879.707
ss-19-120000,849434630870964,849436310601271,1679.73
ss-2-120000,849434105853401,849436310733901,2204.881
ss-21-120000,849434355880144,849436310866252,1954.986
ss-23-120000,849433305909039,849436310867042,3004.958
ss-24-120000,849433030892519,849436310867472,3279.975
ss-28-120000,849432780927817,849436310867882,3529.94
ss-29-120000,849434580861661,849436310868262,1730.007
ss-31-120000,849434280853895,849436310868632,2030.015
ss-33-120000,849434730841839,849436310868972,1580.027
ss-34-120000,849433880856324,849436310869282,2430.013
ss-35-120000,849434405892477,849436310869602,1904.977
ss-38-120000,849433380870858,849436310907012,2930.036
ss-39-120000,849433980855269,849436310915552,2330.06
ss-4-120000,849432505870717,849436310916012,3805.045
ss-40-120000,849433730876676,849436310961462,2580.085
ss-41-120000,849432306620669,849436310962182,4004.342
ss-43-120000,849433430872910,849436310974142,2880.101
ss-45-120000,849434530870808,849436311524033,1780.653
ss-46-120000,849432430867298,849436311524823,3880.658
ss-48-120000,849434555858905,849436311525243,1755.666
ss-5-120000,849433630877721,849436311525593,2680.648
ss-50-120000,849434305864732,849436311531283,2005.667
ss-51-120000,849434380898710,849436311531543,1930.633
ss-53-120000,849434780880382,849436311531813,1530.651
ss-54-120000,849432605900892,849436311532053,3705.631
ss-55-120000,849434455864069,849436311532293,1855.668
ss-57-120000,849434030874812,849436311532523,2280.658
ss-58-120000,849433830859591,849436311532753,2480.673
ss-59-120000,849434130850597,849436311533283,2180.683
ss-6-120000,849432755895480,849436311533563,3555.638
ss-62-120000,849433605886144,849436311533793,2705.648
ss-63-120000,849434330865328,849436311534053,1980.669
ss-64-120000,849432480874371,849436311534283,3830.66
ss-68-120000,849433181049578,849436311534513,3130.485
ss-69-120000,849432880883332,849436311534733,3430.651
ss-7-120000,849434205860176,849436311534963,2105.675
ss-70-120000,849434480871946,849436311535183,1830.663
ss-71-120000,849432930883404,849436311535413,3380.652
ss-72-120000,849433105897378,849436311537743,3205.64
ss-73-120000,849434005879756,849436311538173,2305.658
ss-74-120000,849433805878605,849436311538403,2505.66
ss-75-120000,849434705867073,849436311538623,1605.672
ss-76-120000,849433780888678,849436311538853,2530.65
ss-77-120000,849433480876533,849436311539083,2830.663
ss-79-120000,849433130887605,849436311544173,3180.657
ss-8-120000,849433930852526,849436311654724,2380.802
ss-80-120000,849432680884161,849436311767714,3630.884
ss-83-120000,849432355893709,849436311787004,3955.893
ss-84-120000,849434655870010,849436311787944,1655.918
ss-85-120000,849434080869205,849436311792994,2230.924
ss-87-120000,849432955875021,849436311824034,3355.949
ss-88-120000,849433755893262,849436311837514,2555.944
ss-89-120000,849433905864390,849436311837934,2405.974
ss-9-120000,849432380889506,849436311904254,3931.015
ss-90-120000,849434505896792,849436311904794,1806.008
ss-91-120000,849434055854038,849436311922794,2256.069
ss-93-120000,849433955868013,849436311923214,2356.055
ss-96-120000,849433555859952,849436311942454,2756.083
ss-97-120000,849433680888783,849436311981205,2631.092
ss-98-120000,849434230858943,849436311984975,2081.126
ss-99-120000,849433330889295,849436312117005,2981.228
ss-0-180000,849434755880075,849436312138875,1556.259
ss-1-180000,849434680868896,849436312153225,1631.284
ss-10-180000,849434605855507,849436312210505,1706.355
ss-11-180000,849433855857397,849436312270655,2456.413
ss-12-180000,849433055882526,849436312271295,3256.389
ss-13-180000,849432980883087,849436312276025,3331.393
ss-14-180000,849434180889520,849436312276485,2131.387
ss-15-180000,849433505867989,849436312277345,2806.409
ss-16-180000,849434255858549,849436312285595,2056.427
ss-17-180000,849434430892953,849436312289425,1881.396
ss-19-180000,849434630870964,849436312301995,1681.431
ss-2-180000,849434105853401,849436312305235,2206.452
ss-21-180000,849434355880144,849436312314045,1956.434
ss-23-180000,849433305909039,849436312335265,3006.426
ss-24-180000,849433030892519,849436312359576,3281.467
ss-28-180000,849432780927817,849436312360126,3531.432
ss-29-180000,849434580861661,849436312363656,1731.502
ss-31-180000,849434280853895,849436312389816,2031.536
ss-33-180000,849434730841839,849436312412896,1581.571
ss-34-180000,849433880856324,849436312430966,2431.575
ss-35-180000,849434405892477,849436312431546,1906.539
ss-38-180000,849433380870858,849436313340968,2932.47
ss-39-180000,849433980855269,849436313341708,2332.486
ss-4-180000,849432505870717,849436313342058,3807.471
ss-40-180000,849433730876676,849436313342438,2582.466
ss-41-180000,849432306620669,849436313342798,4006.722
ss-43-180000,849433430872910,849436313343118,2882.47
ss-45-180000,849434530870808,849436313343478,1782.473
ss-46-180000,849432430867298,849436313346308,3882.479
ss-48-180000,849434555858905,849436313346628,1757.488
ss-5-180000,849433630877721,849436313346908,2682.469
ss-50-180000,849434305864732,849436313347928,2007.483
ss-51-180000,849434380898710,849436313348308,1932.45
ss-53-180000,849434780880382,849436313348658,1532.468
ss-54-180000,849432605900892,849436313348978,3707.448
ss-55-180000,849434455864069,849436313349398,1857.485
ss-57-180000,849434030874812,849436313349728,2282.475
ss-58-180000,849433830859591,849436313350048,2482.49
ss-59-180000,849434130850597,849436313350368,2182.5
ss-6-180000,849432755895480,849436313350698,3557.455
ss-62-180000,849433605886144,849436313351028,2707.465
ss-63-180000,849434330865328,849436313351378,1982.486
ss-64-180000,849432480874371,849436313351708,3832.477
ss-68-180000,849433181049578,849436313352028,3132.302
ss-69-180000,849432880883332,849436313352348,3432.469
ss-7-180000,849434205860176,849436313352708,2107.493
ss-70-180000,849434480871946,849436313353048,1832.481
ss-71-180000,849432930883404,849436313353398,3382.47
ss-72-180000,849433105897378,849436313356318,3207.459
ss-73-180000,849434005879756,849436313357188,2307.477
ss-74-180000,849433805878605,849436313357628,2507.479
ss-75-180000,849434705867073,849436313357988,1607.491
ss-76-180000,849433780888678,849436313358358,2532.47
ss-77-180000,849433480876533,849436313358718,2832.482
ss-79-180000,849433130887605,849436313359078,3182.471
ss-8-180000,849433930852526,849436313359398,2382.507
ss-80-180000,849432680884161,849436313359698,3632.476
ss-83-180000,849432355893709,849436313360038,3957.466
ss-84-180000,849434655870010,849436313360378,1657.49
ss-85-180000,849434080869205,849436313360938,2232.492
ss-87-180000,849432955875021,849436313361318,3357.486
ss-88-180000,849433755893262,849436313361688,2557.468
ss-89-180000,849433905864390,849436313362018,2407.498
ss-9-180000,849432380889506,849436313362348,3932.473
ss-90-180000,849434505896792,849436313362718,1807.466
ss-91-180000,849434055854038,849436313363078,2257.509
ss-93-180000,849433955868013,849436313363398,2357.495
ss-96-180000,849433555859952,849436313365838,2757.506
ss-97-180000,849433680888783,849436313366158,2632.477
ss-98-180000,849434230858943,849436313366488,2082.508
ss-99-180000,849433330889295,849436313366828,2982.478
ss-0-240000,849434755880075,849436313367188,1557.487
ss-1-240000,849434680868896,849436313367528,1632.499
ss-10-240000,849434605855507,849436313367878,1707.512
ss-11-240000,849433855857397,849436313370668,2457.513
ss-12-240000,849433055882526,849436313371038,3257.489
ss-13-240000,849432980883087,849436313371358,3332.488
ss-14-240000,849434180889520,849436313371658,2132.482
ss-15-240000,849433505867989,849436313371988,2807.504
ss-16-240000,849434255858549,849436313372308,2057.514
ss-17-240000,849434430892953,849436313372648,1882.48
ss-19-240000,849434630870964,849436313372958,1682.502
ss-2-240000,849434105853401,849436313373288,2207.52
ss-21-240000,849434355880144,849436313373638,1957.493
ss-23-240000,849433305909039,849436313373948,3007.465
ss-24-240000,849433030892519,849436313381858,3282.489
ss-28-240000,849432780927817,849436313382298,3532.454
ss-29-240000,849434580861661,849436313382648,1732.521
ss-31-240000,849434280853895,849436313382988,2032.529
ss-33-240000,849434730841839,849436313383288,1582.541
ss-34-240000,849433880856324,849436313383598,2432.527
ss-35-240000,849434405892477,849436313384058,1907.492
ss-38-240000,849433380870858,849436313384418,2932.514
ss-39-240000,849433980855269,849436313384738,2332.529
ss-4-240000,849432505870717,849436313385058,3807.514
ss-40-240000,849433730876676,849436313385388,2582.509
ss-41-240000,849432306620669,849436313385678,4006.765
ss-43-240000,849433430872910,849436313385968,2882.513
ss-45-240000,849434530870808,849436313389528,1782.519
ss-46-240000,849432430867298,849436313409688,3882.542
ss-48-240000,849434555858905,849436313410158,1757.551
ss-5-240000,849433630877721,849436313416368,2682.539
ss-50-240000,849434305864732,849436313437958,2007.573
ss-51-240000,849434380898710,849436313438378,1932.54
ss-53-240000,849434780880382,849436313453629,1532.573
ss-54-240000,849432605900892,849436313468729,3707.568
ss-55-240000,849434455864069,849436313508659,1857.645
ss-57-240000,849434030874812,849436313509109,2282.634
ss-58-240000,849433830859591,849436313540329,2482.681
ss-59-240000,849434130850597,849436313540789,2182.69
ss-6-240000,849432755895480,849436313556089,3557.661
ss-62-240000,849433605886144,849436313573269,2707.687
ss-63-240000,849434330865328,849436313573819,1982.708
ss-64-240000,849432480874371,849436313731969,3832.858
ss-68-240000,849433181049578,849436313755059,3132.705
ss-69-240000,849432880883332,849436313755489,3432.872
ss-7-240000,849434205860176,849436313766619,2107.906
ss-70-240000,849434480871946,849436313790179,1832.918
ss-71-240000,849432930883404,849436313790579,3382.907
ss-72-240000,849433105897378,849436313790959,3207.894
ss-73-240000,849434005879756,849436313812060,2307.932
ss-74-240000,849433805878605,849436313839090,2507.96
ss-75-240000,849434705867073,849436313839550,1607.972
ss-76-240000,849433780888678,849436313881260,2532.993
ss-77-240000,849433480876533,849436313881810,2833.005
ss-79-240000,849433130887605,849436313882180,3182.995
ss-8-240000,849433930852526,849436313894270,2383.042
