timestamp_ms,topic,lag
1784300949184,bench-w5-latency-left-input,100
1784300949184,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,203
1784300955959,bench-w5-latency-left-input,101
1784300955959,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,202
1784300962720,bench-w5-latency-left-input,101
1784300962720,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,202
1784300969516,bench-w5-latency-left-input,0
1784300969516,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,101
1784300976299,bench-w5-latency-left-input,100
1784300976299,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,201
1784300983028,bench-w5-latency-left-input,101
1784300983028,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,203
1784300989791,bench-w5-latency-left-input,0
1784300989791,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,137
1784300996610,bench-w5-latency-left-input,0
1784300996610,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,102
1784301003374,bench-w5-latency-left-input,100
1784301003374,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,202
1784301010156,bench-w5-latency-left-input,0
1784301010156,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,102
1784301016900,bench-w5-latency-left-input,101
1784301016900,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,202
1784301023676,bench-w5-latency-left-input,101
1784301023676,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,203
1784301030382,bench-w5-latency-left-input,160
1784301030382,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,126
1784301037149,bench-w5-latency-left-input,0
1784301037149,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,102
1784301043961,bench-w5-latency-left-input,0
1784301043961,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,102
1784301050754,bench-w5-latency-left-input,0
1784301050754,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,102
1784301057489,bench-w5-latency-left-input,0
1784301057489,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,102
1784301064263,bench-w5-latency-left-input,0
1784301064263,bench-w5-latency-right-input,0
1784301064263,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301071025,bench-w5-latency-left-input,0
1784301071025,bench-w5-latency-right-input,101
1784301071025,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301071025,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301077748,bench-w5-latency-left-input,0
1784301077748,bench-w5-latency-right-input,101
1784301077748,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301077748,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301084549,bench-w5-latency-left-input,0
1784301084549,bench-w5-latency-right-input,101
1784301084549,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301084549,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301091310,bench-w5-latency-left-input,0
1784301091310,bench-w5-latency-right-input,101
1784301091310,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301091310,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301098053,bench-w5-latency-left-input,0
1784301098053,bench-w5-latency-right-input,0
1784301098053,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301098053,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,101
1784301104819,bench-w5-latency-left-input,0
1784301104819,bench-w5-latency-right-input,0
1784301104819,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301104819,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,101
1784301111591,bench-w5-latency-left-input,0
1784301111591,bench-w5-latency-right-input,0
1784301111591,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301111591,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,102
1784301118341,bench-w5-latency-left-input,0
1784301118341,bench-w5-latency-right-input,101
1784301118341,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301118341,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,102
1784301125062,bench-w5-latency-left-input,0
1784301125062,bench-w5-latency-right-input,0
1784301125062,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301125062,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,101
1784301131854,bench-w5-latency-left-input,0
1784301131854,bench-w5-latency-right-input,101
1784301131854,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301131854,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301138625,bench-w5-latency-left-input,0
1784301138625,bench-w5-latency-right-input,101
1784301138625,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301138625,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301145352,bench-w5-latency-left-input,0
1784301145352,bench-w5-latency-right-input,0
1784301145352,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301145352,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,102
1784301152144,bench-w5-latency-left-input,0
1784301152144,bench-w5-latency-right-input,101
1784301152144,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301152144,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301158908,bench-w5-latency-left-input,0
1784301158908,bench-w5-latency-right-input,101
1784301158908,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301158908,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301165686,bench-w5-latency-left-input,0
1784301165686,bench-w5-latency-right-input,0
1784301165686,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301165686,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,102
1784301172377,bench-w5-latency-left-input,0
1784301172377,bench-w5-latency-right-input,101
1784301172377,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000001-repartition,0
1784301172377,stream-state-bench-w5-latency-stream_stream_join-stability_100-KSTREAM-KEY-SELECT-0000000003-repartition,203
1784301179178,bench-w5-latency-left-input,0
1784301179178,bench-w5-latency-right-input,101
