engine,workload_id,workload,rate_per_sec,runs,all_passed,median_p50_ms,p50_ci_low,p50_ci_high,median_p95_ms,p95_ci_low,p95_ci_high,median_p99_ms,p99_ci_low,p99_ci_high,mean_p99_write_to_input_append_latency_ms,mean_p99_input_append_to_result_emission_latency_ms,mean_p99_l_visibility_ms,mean_p99_l_closure_ms,mean_p50_semantic_wait_ms,mean_p95_semantic_wait_ms,mean_p99_semantic_wait_ms,mean_p50_engine_compute_ms,mean_p95_engine_compute_ms,mean_p99_engine_compute_ms,mean_p50_visibility_ms,mean_p95_visibility_ms,mean_p99_visibility_ms,effect_size_ms
flink,,identity,20.0,30,True,1143.72,1133.144,1146.872,2454.16,2091.088,2976.31,10045.805,9731.301,10140.797,1499.064,5050.033,2040.852,,,,,,,,,,,0.0
flink,,sliding_sum,20.0,30,True,14526.157,14302.035,15452.93,172958.546,170044.784,175472.513,215726.876,214317.802,218424.465,1002.019,28063.4,948.098,1784536127469.967,,,,,,,,,,0.0
flink,,tumbling_count,20.0,30,True,5472.896,5404.683,5572.089,25353.591,25008.5,25809.545,30048.937,29827.199,30244.148,1002.488,21939.033,920.951,1784534616621.767,,,,,,,,,,0.0
flink,w1,identity,10.0,1,True,1260.707,1105.568,1405.558,2010.173,1883.876,2260.661,2362.687,2063.614,2460.697,,,,,,,,,,,,,,0.0
flink,w1,identity,20.0,2,True,1268.519,1119.196,1434.253,2758.868,2505.737,2958.832,3142.847,2924.984,3238.821,,,,,,,,,,,,,,0.0
flink,w1,identity,40.0,1,True,1990.019,1765.241,2277.911,3091.752,2981.439,3166.776,3189.768,3114.981,3214.316,,,,,,,,,,,,,,0.0
flink,w1,identity,100.0,1,True,1021.984,1012.531,1024.146,1702.34,1686.371,1705.067,1865.16,1862.199,1873.864,,,,,,,,,,,,,,0.0
flink,w2,filter_map,10.0,1,True,1332.854,1067.5,1468.136,2162.805,1867.632,2392.813,2424.815,2044.172,2532.823,,,,,,,,,,,,,,0.0
flink,w2,filter_map,20.0,2,True,1198.102,1100.832,1323.069,2878.105,2663.606,3150.619,3196.114,2922.221,3300.628,,,,,,,,,,,,,,0.0
flink,w2,filter_map,40.0,1,True,2088.45,1675.507,2277.729,3170.597,3016.76,3213.16,3236.175,3128.088,3263.193,,,,,,,,,,,,,,0.0
flink,w2,filter_map,100.0,1,True,1007.823,999.26,1010.407,1680.664,1687.607,1702.013,1859.354,1861.032,1878.252,,,,,,,,,,,,,,0.0
flink,w3,tumbling_count,10.0,1,True,4178.247,3478.314,5180.761,9782.852,8628.247,10228.55,10259.553,9496.381,10328.561,,,,,,,,,,,,,,0.0
flink,w3,tumbling_count,20.0,4,True,2988.36,2601.155,3385.831,6428.205,5583.268,6843.11,7433.633,6823.946,7756.724,,,,,,,,,,,,,,0.0
flink,w3,tumbling_count,40.0,1,True,2064.577,1877.22,2314.739,3466.688,3216.922,3578.066,3585.811,3468.88,3603.05,,,,,,,,,,,,,,0.0
flink,w3,tumbling_count,100.0,1,True,1785.342,1774.094,1799.957,4065.234,3997.131,4104.404,5454.569,5381.502,5559.927,,,,,,,,,,,,,,0.0
flink,w4,sliding_sum,10.0,1,True,4091.697,3892.425,4292.263,9891.223,9651.648,10089.939,10388.427,10191.343,10391.167,,,,,,,,,,,,,,0.0
flink,w4,sliding_sum,20.0,2,True,2491.278,2429.142,2587.598,5388.936,5277.386,5417.134,5688.149,5640.578,5784.923,,,,,,,,,,,,,,0.0
flink,w4,sliding_sum,40.0,1,True,1965.928,1904.73,2030.605,3415.809,3364.678,3464.494,3537.56,3490.919,3540.691,,,,,,,,,,,,,,0.0
flink,w4,sliding_sum,100.0,1,True,1840.042,1824.811,1852.44,4164.183,4106.22,4222.837,5685.444,5559.434,5770.89,,,,,,,,,,,,,,0.0
flink,w5,stream_stream_join,10.0,1,True,1135.848,1035.878,1231.725,1939.246,1835.652,2209.725,2439.139,2162.007,2439.144,,,,,,,,,,,,,,0.0
flink,w5,stream_stream_join,20.0,2,True,1237.981,1143.697,1281.375,2759.306,2509.41,2885.56,3209.295,3023.059,3259.219,2263.375,81.0,687.67,1784429719369.0,,,,,,,,,,0.0
flink,w5,stream_stream_join,40.0,1,True,1531.194,1391.799,1681.14,2680.074,2575.047,2755.056,2805.049,2738.061,2805.058,,,,,,,,,,,,,,0.0
kafka_streams,,identity,20.0,30,True,1293.257,1286.046,1323.469,30694.12,29911.794,31667.434,42081.993,41449.081,42344.088,1459.321,14350.7,1025.586,,,,,,,,,,,-4179.639
kafka_streams,,sliding_sum,20.0,28,False,5652.173,5592.746,5713.129,20176.714,20001.224,20560.79,24561.856,23898.643,27940.589,1001.988,30336.643,289.009,1784548545343.714,,,,,,,,,,179.277
kafka_streams,,tumbling_count,20.0,30,False,7474.941,7324.925,7632.476,41051.935,40624.425,41320.431,46337.161,45916.963,46761.824,1002.27,34907.7,100.976,1784549907133.667,,,,,,,,,,2002.045
kafka_streams,w1,identity,10.0,1,True,1022.525,922.276,1130.807,2244.484,1744.447,2539.661,2636.436,2138.374,2734.456,,,,,,,,,,,,,,-238.182
kafka_streams,w1,identity,20.0,3,True,1226.389,1132.253,1322.324,3011.129,2682.756,3244.379,3583.014,3352.988,3726.034,,,,,,,,,,,,,,-42.13
kafka_streams,w1,identity,40.0,1,True,1704.546,1454.553,1942.656,2806.013,2645.141,2879.798,2903.996,2829.242,2928.505,,,,,,,,,,,,,,-285.473
kafka_streams,w1,identity,100.0,2,True,1221.701,1217.155,1228.408,1853.46,1847.282,1858.056,1958.568,1955.081,1967.17,2254.513,103.0,1120.693,,,,,,,,,,,199.717
kafka_streams,w2,filter_map,10.0,1,True,1221.64,1024.498,1326.532,2356.467,1831.239,2526.477,2618.477,2164.472,2726.476,,,,,,,,,,,,,,-111.214
kafka_streams,w2,filter_map,20.0,3,True,1410.407,1227.275,1516.971,3055.206,2764.697,3310.224,3467.214,3229.182,3610.211,,,,,,,,,,,,,,212.305
kafka_streams,w2,filter_map,40.0,1,True,1765.886,1490.921,2115.729,2848.1,2730.203,2905.616,2913.614,2813.981,2940.609,,,,,,,,,,,,,,-322.564
kafka_streams,w2,filter_map,100.0,1,True,987.601,982.299,996.471,1747.21,1728.703,1758.613,1913.636,1908.122,1918.842,,,,,,,,,,,,,,-20.222
kafka_streams,w3,tumbling_count,10.0,1,True,5282.157,4482.124,6337.267,10887.104,9377.235,11331.978,11362.979,10600.264,11431.98,,,,,,,,,,,,,,1103.91
kafka_streams,w3,tumbling_count,20.0,5,True,4081.173,3834.119,4364.029,22946.123,22214.947,23672.642,24286.169,23846.18,24696.168,,,,,,,,,,,,,,1092.812
kafka_streams,w3,tumbling_count,40.0,1,True,2356.183,2181.555,2612.775,3757.323,3482.203,3869.13,3876.813,3693.016,3893.914,,,,,,,,,,,,,,291.606
kafka_streams,w3,tumbling_count,100.0,1,True,2869.044,2862.938,2893.024,5132.525,5093.784,5176.996,6491.819,6392.498,6621.034,,,,,,,,,,,,,,1083.702
kafka_streams,w4,sliding_sum,10.0,1,True,4865.798,4614.967,5066.628,10665.705,10464.49,10865.791,11163.239,10966.454,11165.515,,,,,,,,,,,,,,774.101
kafka_streams,w4,sliding_sum,20.0,3,True,3392.398,3318.231,3465.624,6213.373,6163.356,6247.301,6967.016,6875.998,7014.726,,,,,,,,,,,,,,901.12
kafka_streams,w4,sliding_sum,40.0,1,True,2433.497,2381.612,2507.651,3882.517,3830.293,3933.021,4004.224,3957.939,4008.418,,,,,,,,,,,,,,467.569
kafka_streams,w4,sliding_sum,100.0,1,True,2922.02,2910.71,2941.507,5229.866,5150.625,5271.959,6737.909,6638.148,6811.425,,,,,,,,,,,,,,1081.978
kafka_streams,w5,stream_stream_join,10.0,1,True,1835.608,1719.303,1919.346,2935.434,2504.934,3325.908,3435.413,3251.391,3435.417,,,,,,,,,,,,,,699.76
kafka_streams,w5,stream_stream_join,20.0,2,True,2542.649,2479.488,2598.105,3848.77,3696.175,3948.775,4096.136,4046.15,4098.725,,,,,,,,,,,,,,1304.668
kafka_streams,w5,stream_stream_join,40.0,1,True,2195.37,2104.536,2340.565,3313.275,3197.899,3405.911,3438.281,3381.434,3438.284,,,,,,,,,,,,,,664.176
kafka_streams,w5,stream_stream_join,100.0,1,True,2175.196,2165.049,2180.067,2747.088,2743.087,2754.743,2868.693,2859.818,2876.958,,,,,,,,,,,,,,0.0
