engine,workload_id,workload,run_label,rate_per_sec,produced_records,expected_output_records,matched_records,consumed_records,passed,p50_ms,p95_ms,p99_ms,max_ms,p99_write_to_input_append_latency_ms,p99_input_append_to_result_emission_latency_ms,p99_l_visibility_ms,p99_l_closure_ms,result_dir
flink,,identity,failure_broker_kill,20.0,2000,2000,2000,2000,True,1096.124,1841.978,2323.333,3322.718,1489.048,125.0,1065.306,,experiments/results/flink_identity_latency_failure_broker_kill
flink,,identity,failure_broker_kill_trial1,20.0,2000,2000,2000,2000,True,1455.017,23482.774,27480.725,28480.77,26309.127,129.0,1199.248,,experiments/results/flink_identity_latency_failure_broker_kill_trial1
flink,,identity,failure_broker_kill_trial2,20.0,2000,2000,2000,2000,True,1110.107,1852.954,2442.643,3443.9,1406.429,84.0,1057.434,,experiments/results/flink_identity_latency_failure_broker_kill_trial2
flink,,identity,failure_broker_kill_trial3,20.0,2000,2000,2000,2000,True,1102.664,1809.871,2338.033,3338.142,1454.591,84.0,1011.579,,experiments/results/flink_identity_latency_failure_broker_kill_trial3
flink,,identity,failure_broker_kill_trial4,20.0,2000,2000,2000,2000,True,1119.878,1873.143,2307.188,3306.698,1417.952,99.0,1121.739,,experiments/results/flink_identity_latency_failure_broker_kill_trial4
flink,,identity,failure_broker_kill_trial5,20.0,2000,2000,2000,2000,True,1143.464,1897.446,2615.79,3615.812,1463.39,108.0,1120.593,,experiments/results/flink_identity_latency_failure_broker_kill_trial5
flink,,identity,failure_changelog_restore,20.0,2000,2000,2000,2000,True,1134.238,1888.645,2568.458,3568.539,1798.46,115.0,1075.387,,experiments/results/flink_identity_latency_failure_changelog_restore
flink,,identity,failure_changelog_restore_trial1,20.0,2000,2000,2000,2000,True,1138.245,1863.684,2504.232,3504.257,1428.084,96.0,1072.292,,experiments/results/flink_identity_latency_failure_changelog_restore_trial1
flink,,identity,failure_changelog_restore_trial2,20.0,2000,2000,2000,2000,True,1152.738,1860.693,2071.245,2778.478,1484.542,84.0,1124.964,,experiments/results/flink_identity_latency_failure_changelog_restore_trial2
flink,,identity,failure_changelog_restore_trial3,20.0,2000,2000,2000,2000,True,1184.453,1894.897,2118.417,2768.448,1445.075,112.0,1257.714,,experiments/results/flink_identity_latency_failure_changelog_restore_trial3
flink,,identity,failure_changelog_restore_trial4,20.0,2000,2000,2000,2000,True,1160.331,1868.151,2541.707,3541.664,1379.085,94.0,1078.62,,experiments/results/flink_identity_latency_failure_changelog_restore_trial4
flink,,identity,failure_changelog_restore_trial5,20.0,2000,2000,2000,2000,True,1128.862,1875.392,2321.526,3321.492,1525.227,109.0,1037.714,,experiments/results/flink_identity_latency_failure_changelog_restore_trial5
flink,,identity,failure_jvm_kill,20.0,2000,2000,2000,2000,True,1216.058,6917.511,10917.44,11917.406,1862.086,10305.0,1118.757,,experiments/results/flink_identity_latency_failure_jvm_kill
flink,,identity,failure_jvm_kill_trial1,20.0,2000,2000,2000,2000,True,1194.812,7072.921,11071.154,12071.107,1539.88,10191.0,1103.835,,experiments/results/flink_identity_latency_failure_jvm_kill_trial1
flink,,identity,failure_jvm_kill_trial2,20.0,2000,2000,2000,2000,True,1205.79,7147.897,11146.903,12146.847,1397.935,10657.0,1079.26,,experiments/results/flink_identity_latency_failure_jvm_kill_trial2
flink,,identity,failure_jvm_kill_trial3,20.0,2000,2000,2000,2000,True,1217.88,6852.813,10852.314,11852.113,1458.636,10056.0,1043.566,,experiments/results/flink_identity_latency_failure_jvm_kill_trial3
flink,,identity,failure_jvm_kill_trial4,20.0,2000,2000,2000,2000,True,1219.691,7157.812,11155.639,12155.515,1520.66,10323.0,1071.656,,experiments/results/flink_identity_latency_failure_jvm_kill_trial4
flink,,identity,failure_jvm_kill_trial5,20.0,2000,2000,2000,2000,True,1229.004,6929.838,10928.374,11928.343,1385.933,10169.0,1043.65,,experiments/results/flink_identity_latency_failure_jvm_kill_trial5
flink,,identity,failure_kraft_failover,20.0,2000,2000,2000,2000,True,1105.452,1852.723,2342.289,3341.611,1596.31,78.0,1104.319,,experiments/results/flink_identity_latency_failure_kraft_failover
flink,,identity,failure_kraft_failover_trial1,20.0,2000,2000,2000,2000,True,1135.932,1849.064,2477.433,3477.439,1394.913,121.0,1058.257,,experiments/results/flink_identity_latency_failure_kraft_failover_trial1
flink,,identity,failure_kraft_failover_trial2,20.0,2000,2000,2000,2000,True,1099.064,1804.273,2331.281,3331.285,1401.791,85.0,1049.877,,experiments/results/flink_identity_latency_failure_kraft_failover_trial2
flink,,identity,failure_kraft_failover_trial3,20.0,2000,2000,2000,2000,True,1097.942,1877.358,2327.341,3326.966,1445.222,110.0,1138.538,,experiments/results/flink_identity_latency_failure_kraft_failover_trial3
flink,,identity,failure_kraft_failover_trial4,20.0,2000,2000,2000,2000,True,1140.381,1883.285,2616.185,3616.04,1560.844,110.0,1132.065,,experiments/results/flink_identity_latency_failure_kraft_failover_trial4
flink,,identity,failure_kraft_failover_trial5,20.0,2000,2000,2000,2000,True,1117.247,1817.611,2330.55,3330.58,1385.058,89.0,1061.554,,experiments/results/flink_identity_latency_failure_kraft_failover_trial5
